,no,case_number,property_type,city,district,neighborhood,address_number,apartment_block,floor,room,apartment_name,full_address,auction_date,percentage,result,auction_count,appraised_value,minimum_bid_price,sale_price,sale_rate,number_of_bidders,land_m2,land_pyung,building_m2,building_pyung,image
0,1,2021-110650(1),아파트,서울특별시,강서구,화곡동,343-49,,9.0,904,혜성오피아파트,"서울특별시 강서구 화곡동 343-49 제9층 제904호 (화곡동, 혜성오피아파트)",2023-08-16,80,매각,12,203000000,162400000,175999999,87,7,6.52,1.97,22.49,6.8,http://img1.speedauction.co.kr/new_gamimg/2022/A04/2021/110650/23589_AUTO_26.jpg
1,2,2022-114352(1),아파트,서울특별시,영등포구,대림동,1101-1,,7.0,703,,서울특별시 영등포구 대림동 1101-1 유탑유블레스 제7층 제703호,2023-08-16,100,매각,0,110000000,110000000,110000000,100,1,5.62,1.7,14.46,4.37,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/114352/33452_AUTO_295.jpg
2,3,2022-114512(1),아파트,서울특별시,양천구,신정동,325,1108동,6.0,605,목동신시가지아파트,서울특별시 양천구 신정동 325외 1필지 목동신시가지아파트 제1108동 제6층 제605호,2023-08-16,100,매각,0,1000000000,1000000000,1060199999,106,7,54.95,16.62,51.48,15.57,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/114512/46356_AUTO_304.jpg
3,4,2021-3441(30),아파트,서울특별시,성북구,안암동,5,,6.0,501,,"서울특별시 성북구 안암동5가 160-16 주상복합건물 제5,6층 제501호",2023-08-16,64,매각,2,2117000000,1354880000,1363000000,64,1,153.11,46.32,274.87,83.15,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2021/3441/519252.jpg
4,5,2022-1886(1),아파트,서울특별시,성북구,길음동,1285,704동,10.0,1002,길음7구역 두산위브아파트,"서울특별시 성북구 길음동 1285 704동 10층1002호 (길음동,길음7구역 두산위브아파트)",2023-08-16,80,매각,1,919000000,735200000,744999999,81,3,34.99,10.58,59.99,18.15,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/1886/533241.jpg
5,6,2022-1954(1),아파트,서울특별시,성북구,동소문동,4,116동,8.0,802,동소문2차한신휴플러스,"서울특별시 성북구 동소문동4가 280 116동 8층802호 (동소문동4가,동소문2차한신휴플러스)",2023-08-16,64,매각,2,1348000000,862720000,1081008000,80,4,86.72,26.23,156.33,47.29,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/1954/532923.jpg
6,7,2022-2582(1),아파트,서울특별시,중랑구,면목동,494,3동,7.0,705,,서울특별시 중랑구 면목동 494외 2필지 용마금호타운 제3동 제7층 제705호,2023-08-16,80,매각,1,830000000,664000000,664466440,80,1,37.23,11.26,84.9,25.68,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/2582/7435.jpg
7,8,2022-1408(1),아파트,서울특별시,성동구,성수동,2,101동,8.0,804,강변임광아파트,서울특별시 성동구 성수동2가 609-2 강변임광아파트 제101동 제8층 제804호,2023-08-14,80,매각,1,2340000000,1872000000,2339000000,100,1,40.122,12.14,84.77,25.64,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/1408/815873.jpg
8,9,2022-53027(1),아파트,서울특별시,성동구,금호동,1,302동,1.0,103,벽산아파트,"서울특별시 성동구 금호동1가 633 302동 1층103호 (금호동1가,벽산아파트)",2023-08-14,64,매각,2,1520000000,972800000,1191000007,78,8,59.53,18.01,114.57,34.66,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/53027/1392472.jpg
9,10,2020-104683(1),아파트,서울특별시,서초구,잠원동,58-24,323동,2.0,210,신반포아파트,"서울특별시 서초구 잠원동 58-24 323동 2층210호 (잠원동,신반포아파트)",2023-08-10,100,매각,0,2003000000,2003000000,2207600000,110,1,43.96,13.3,76.4,23.11,http://img1.speedauction.co.kr/new_gamimg/2021/A01/2020/104683/54307.jpg
