,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,e편한세상명지(주상복합),113C㎡,부산시 강서구 명지동,2644010400,3599-1,부산시 강서구 명지국제2로 80,35.098585,128.909304,377,0,27,27,415,59,540,대림산업주식회사,HT005,113.9,87.98,77,3,2,71,계단식,279900,657810,55980,321930,0,0,0,,307119,255375,"5억 5,500","8억 5,000",,,,"3,000/120",,"3,000/120",,,,
1,e편한세상명지(주상복합),114B㎡,부산시 강서구 명지동,2644010400,3599-1,부산시 강서구 명지국제2로 80,35.098585,128.909304,377,0,27,27,415,59,540,대림산업주식회사,HT005,114.21,87.98,77,3,2,71,계단식,264600,628740,52920,311220,0,0,0,,307126,255381,"5억 9,000","6억 5,000",3억,"3억 5,000",,"4,000/110",,"4,000/110",,,,
2,e편한세상명지(주상복합),116A㎡,부산시 강서구 명지동,2644010400,3599-1,부산시 강서구 명지국제2로 80,35.098585,128.909304,377,0,27,27,415,59,540,대림산업주식회사,HT005,116.29,87.85,76,3,2,140,계단식,275400,649260,55080,318780,0,0,0,,306661,254995,"5억 6,000","7억 5,000","3억 5,000","3억 6,000",,,,,,,,
3,e편한세상명지(주상복합),128B㎡,부산시 강서구 명지동,2644010400,3599-1,부산시 강서구 명지국제2로 80,35.098585,128.909304,377,0,27,27,415,59,540,대림산업주식회사,HT005,128.38,98.96,77,4,2,24,계단식,285300,668070,57060,325710,0,0,0,,345467,287263,"6억 7,000",9억,"3억 9,000",4억,,"5,000/135",,"5,000/135",,,,
4,e편한세상명지(주상복합),128C㎡,부산시 강서구 명지동,2644010400,3599-1,부산시 강서구 명지국제2로 80,35.098585,128.909304,377,0,27,27,415,59,540,대림산업주식회사,HT005,128.63,98.97,77,4,2,24,계단식,295200,686880,59040,332640,0,0,0,,345481,287274,,"7억 5,000",,,,"3,000/140",,"3,000/140",,,,
5,e편한세상명지(주상복합),130A,부산시 강서구 명지동,2644010400,3599-1,부산시 강서구 명지국제2로 80,35.098585,128.909304,377,0,27,27,415,59,540,대림산업주식회사,HT005,130.17,98.96,76,4,2,47,계단식,286200,669780,57240,326340,0,0,0,,345461,287257,"6억 7,000","7억 5,000",,,,,,,,,,
0,극동스타클래스,112B㎡,부산시 강서구 명지동,2644010400,3233,부산시 강서구 명지오션시티2로 71,35.083239,128.90173,1124,0,15,13,219,18,1551,극동건설(주),HT001,112.63,84.97,75,3,2,257,계단식,82500,256500,16500,157500,0,0,0,,209109,198372,"3억 5,000","5억 8,000",,"2억 4,000",,,,,,,,
1,극동스타클래스,112C㎡,부산시 강서구 명지동,2644010400,3233,부산시 강서구 명지오션시티2로 71,35.083239,128.90173,1124,0,15,13,219,18,1551,극동건설(주),HT001,112.63,84.97,75,3,2,90,계단식,82500,256500,16500,157500,0,0,0,,209109,198372,"3억 5,000",4억,,,,"3,000/90",,"3,000/90",,,,
2,극동스타클래스,113A㎡,부산시 강서구 명지동,2644010400,3233,부산시 강서구 명지오션시티2로 71,35.083239,128.90173,1124,0,15,13,219,18,1551,극동건설(주),HT001,113.07,84.99,75,3,2,79,계단식,85200,263520,17040,161280,0,0,0,,209158,198419,"3억 4,000","5억 6,000",,,,,,,,,,
3,극동스타클래스,129A㎡,부산시 강서구 명지동,2644010400,3233,부산시 강서구 명지오션시티2로 71,35.083239,128.90173,1124,0,15,13,219,18,1551,극동건설(주),HT001,129.74,101.96,79,3,2,168,계단식,114450,339570,22890,202230,0,0,0,,250921,238037,"4억 1,800","6억 9,000",3억,"3억 7,000",,,,,,,,
