,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,강한베스트빌(주상복합),50㎡,부산시 금정구 구서동,2641010700,86-40,부산시 금정구 금정로233번길 61-10,35.247181,129.090643,9,0,7,4,386,73,3,(주)유관종합건설,HT001,50.91,38.76,76,2,1,3,계단식,30540,79404,6108,42756,0,0,0,,,,,,,,,,,,,,,
1,강한베스트빌(주상복합),53㎡,부산시 금정구 구서동,2641010700,86-40,부산시 금정구 금정로233번길 61-10,35.247181,129.090643,9,0,7,4,386,73,3,(주)유관종합건설,HT001,53.91,41.04,76,2,1,3,계단식,32340,84084,6468,45276,0,0,0,,,,,,,,,,,,,,,
2,강한베스트빌(주상복합),88,부산시 금정구 구서동,2641010700,86-40,부산시 금정구 금정로233번길 61-10,35.247181,129.090643,9,0,7,4,386,73,3,(주)유관종합건설,HT001,88.59,67.44,76,3,2,3,계단식,53760,139776,10752,75264,0,0,0,,,,,,,,,,,,,,,
0,거북맨션,50㎡,부산시 금정구 구서동,2641010700,178-10,부산시 금정구 안뜰로15번길 33,35.256272,129.093017,41,0,5,3,0,0,0,,HT001,50.64,44.2,87,2,1,5,복도식,22950,91800,4590,64260,0,0,0,,,,,,,"7,000",,,,,,,,
1,거북맨션,56㎡,부산시 금정구 구서동,2641010700,178-10,부산시 금정구 안뜰로15번길 33,35.256272,129.093017,41,0,5,3,0,0,0,,HT001,56.06,49.62,89,2,1,10,복도식,25650,102600,5130,71820,0,0,0,,,,,,,,,,,,,,,
2,거북맨션,62㎡,부산시 금정구 구서동,2641010700,178-10,부산시 금정구 안뜰로15번길 33,35.256272,129.093017,41,0,5,3,0,0,0,,HT001,62.25,55.81,90,2,1,6,복도식,26550,106200,5310,74340,0,0,0,,,,,,,,,,,,,,,
3,거북맨션,68㎡,부산시 금정구 구서동,2641010700,178-10,부산시 금정구 안뜰로15번길 33,35.256272,129.093017,41,0,5,3,0,0,0,,HT001,68.6,62.16,91,2,1,15,복도식,31200,123120,6240,85680,0,0,0,,,,,,,,,,,,,,,
4,거북맨션,71,부산시 금정구 구서동,2641010700,178-10,부산시 금정구 안뜰로15번길 33,35.256272,129.093017,41,0,5,3,0,0,0,,HT001,71.6,58.14,81,2,1,5,복도식,29025,116100,5805,81270,0,0,0,,,,,,,,,,,,,,,
0,거성,89㎡,부산시 금정구 구서동,2641010700,1017-32,부산시 금정구 두실로37번길 3,35.260675,129.087158,19,0,11,11,398,59,13,(주)경원건설,HT001,89.93,77.33,86,3,2,1,계단식,24300,97200,4860,68040,0,0,0,,,,,,,,,,,,,,,
1,거성,97A㎡,부산시 금정구 구서동,2641010700,1017-32,부산시 금정구 두실로37번길 3,35.260675,129.087158,19,0,11,11,398,59,13,(주)경원건설,HT001,97.99,84.26,86,3,2,1,계단식,31650,124290,6330,86310,0,0,0,,,,,,,,,,,,,,,
