,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,금사센스빌,77A㎡,부산시 금정구 금사동,2641011100,58-5,부산시 금정구 사천로7번길 49,35.221932,129.111113,6,0,6,3,288,59,2,센스종합건설(주),HT001,77.76,77.76,100,3,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
1,금사센스빌,78B,부산시 금정구 금사동,2641011100,58-5,부산시 금정구 사천로7번길 49,35.221932,129.111113,6,0,6,3,288,59,2,센스종합건설(주),HT001,78.93,78.93,100,3,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
0,문화파크,59㎡,부산시 금정구 금사동,2641011100,64-15,부산시 금정구 삼어로 237,35.214593,129.113777,72,0,6,6,0,0,0,,HT001,59.01,52.38,89,2,1,6,복도식,14130,56520,2826,39564,0,0,0,,,,,,,,,,,,,,,
1,문화파크,72㎡,부산시 금정구 금사동,2641011100,64-15,부산시 금정구 삼어로 237,35.214593,129.113777,72,0,6,6,0,0,0,,HT001,72.87,66.24,91,2,1,12,복도식,18113,72451,3623,50715,0,0,0,,,,,,,,,"1,000/40",,"1,000/40",,,,
2,문화파크,84,부산시 금정구 금사동,2641011100,64-15,부산시 금정구 삼어로 237,35.214593,129.113777,72,0,6,6,0,0,0,,HT001,84.75,78.12,92,3,1,54,복도식,21578,86311,4316,60417,0,0,0,,,,"1억 3,000","1억 4,000",,,,,,,,,,
0,삼한,101C㎡,부산시 금정구 금사동,2641011100,561-1,부산시 금정구 중군진로 21,35.213071,129.109681,131,0,15,14,0,0,0,,HT001,101.61,84.6,83,3,1,42,계단식,28350,113400,5670,79380,0,0,0,,,,,,,,,,,,,,,
1,삼한,101A㎡,부산시 금정구 금사동,2641011100,561-1,부산시 금정구 중군진로 21,35.213071,129.109681,131,0,15,14,0,0,0,,HT001,101.3,84.34,83,3,1,15,복합식,29700,118800,5940,83160,0,0,0,,,,2억 500,"2억 2,000",,,,,,,,,,
2,삼한,101B㎡,부산시 금정구 금사동,2641011100,561-1,부산시 금정구 중군진로 21,35.213071,129.109681,131,0,15,14,0,0,0,,HT001,101.4,84.43,83,3,1,15,계단식,28350,113400,5670,79380,0,0,0,,,,,,,,,,,,,,,
3,삼한,101D㎡,부산시 금정구 금사동,2641011100,561-1,부산시 금정구 중군진로 21,35.213071,129.109681,131,0,15,14,0,0,0,,HT001,101.62,84.61,83,3,1,15,계단식,28350,113400,5670,79380,0,0,0,,,,,,,,,,,,,,,
4,삼한,105㎡,부산시 금정구 금사동,2641011100,561-1,부산시 금정구 중군진로 21,35.213071,129.109681,131,0,15,14,0,0,0,,HT001,105.44,87.79,83,3,2,14,계단식,28800,115200,5760,80640,0,0,0,,,,,,,,,,,,,,,
