,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,금성타운(주상복합),70㎡,부산시 금정구 회동동,2641011200,551,부산시 금정구 금사로 156,35.225134,129.116305,78,0,10,8,397,59,72,금성토건주식회사,HT001,70.94,52.2,74,2,1,4,계단식,18000,72000,3600,50400,0,0,0,,,,,,,,,,,,,,,
1,금성타운(주상복합),77㎡,부산시 금정구 회동동,2641011200,551,부산시 금정구 금사로 156,35.225134,129.116305,78,0,10,8,397,59,72,금성토건주식회사,HT001,77.31,56.72,73,2,1,24,계단식,22433,89731,4487,62811,0,0,0,,,,,"1억 5,800",,,,,,,,,,
2,금성타운(주상복합),92㎡,부산시 금정구 회동동,2641011200,551,부산시 금정구 금사로 156,35.225134,129.116305,78,0,10,8,397,59,72,금성토건주식회사,HT001,92.73,70.43,76,2,1,12,계단식,27675,110700,5535,77490,0,0,0,,,,,,,,,,,,,,,
3,금성타운(주상복합),96㎡,부산시 금정구 회동동,2641011200,551,부산시 금정구 금사로 156,35.225134,129.116305,78,0,10,8,397,59,72,금성토건주식회사,HT001,96.53,65.59,68,2,1,2,계단식,24525,98100,4905,68670,0,0,0,,,,,,,,,,,,,,,
4,금성타운(주상복합),102㎡,부산시 금정구 회동동,2641011200,551,부산시 금정구 금사로 156,35.225134,129.116305,78,0,10,8,397,59,72,금성토건주식회사,HT001,102.01,78.48,77,3,2,18,계단식,32100,125460,6420,86940,0,0,0,,,,,,,,,,,,,,,
5,금성타운(주상복합),104,부산시 금정구 회동동,2641011200,551,부산시 금정구 금사로 156,35.225134,129.116305,78,0,10,8,397,59,72,금성토건주식회사,HT001,104.84,82.45,79,3,2,18,계단식,36150,135990,7230,92610,0,0,0,,,,,,,,,,,,,,,
0,동성베스트,70㎡,부산시 금정구 회동동,2641011200,208-9,부산시 금정구 회천로5번길 25,35.225752,129.115687,19,0,8,7,318,53,19,(주)덕일종합건설,HT001,70.61,59.85,85,3,1,6,계단식,19575,78300,3915,54810,0,0,0,,,,,,,,,,,,,,,
1,동성베스트,92㎡,부산시 금정구 회동동,2641011200,208-9,부산시 금정구 회천로5번길 25,35.225752,129.115687,19,0,8,7,318,53,19,(주)덕일종합건설,HT001,92.9,78.74,85,3,2,2,계단식,23175,92700,4635,64890,0,0,0,,,,,,,,,,,,,,,
2,동성베스트,94A㎡,부산시 금정구 회동동,2641011200,208-9,부산시 금정구 회천로5번길 25,35.225752,129.115687,19,0,8,7,318,53,19,(주)덕일종합건설,HT001,94.54,80.13,85,3,2,1,계단식,21803,87211,4361,61047,0,0,0,,,,,,,,,,,,,,,
3,동성베스트,96B,부산시 금정구 회동동,2641011200,208-9,부산시 금정구 회천로5번길 25,35.225752,129.115687,19,0,8,7,318,53,19,(주)덕일종합건설,HT001,96.92,82.15,85,3,2,10,계단식,26550,106200,5310,74340,0,0,0,,,,,,,,,,,,,,,
