,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,e편한세상일광,100A㎡,부산시 기장군 일광읍,2671025900,삼성리 773,부산시 기장군 해빛2로 21,35.268492,129.22535,913,0,29,29,199,16,1104,"대림산업(주),(주)신화종합건설",HT001,100.83,74.97,74,3,2,194,계단식,190800,488520,38160,259560,0,0,0,,174172,190692,"4억 7,000","5억 3,000",,,,,,,,,,
1,e편한세상일광,100B㎡,부산시 기장군 일광읍,2671025900,삼성리 773,부산시 기장군 해빛2로 21,35.268492,129.22535,913,0,29,29,199,16,1104,"대림산업(주),(주)신화종합건설",HT001,100.61,74.97,75,3,2,187,계단식,189000,485100,37800,258300,0,0,0,,174186,190708,"4억 5,000","5억 2,000",,3억,,,,,,,,
2,e편한세상일광,107㎡,부산시 기장군 일광읍,2671025900,삼성리 773,부산시 기장군 해빛2로 21,35.268492,129.22535,913,0,29,29,199,16,1104,"대림산업(주),(주)신화종합건설",HT001,107.91,79.98,74,3,2,150,계단식,218700,541530,43740,279090,0,0,0,,185821,203446,"4억 9,000","6억 9,000",,,"3,000/120","5,000/110","3,000/120","5,000/110",,,,
3,e편한세상일광,113A㎡,부산시 기장군 일광읍,2671025900,삼성리 773,부산시 기장군 해빛2로 21,35.268492,129.22535,913,0,29,29,199,16,1104,"대림산업(주),(주)신화종합건설",HT001,113.01,84.98,75,3,2,379,계단식,238500,579150,47700,292950,0,0,0,,197436,216163,5억,"7억 5,000","3억 1,000","3억 5,000","3,000/120","5,000/110","3,000/120","5,000/110",,,,
4,e편한세상일광,116B,부산시 기장군 일광읍,2671025900,삼성리 773,부산시 기장군 해빛2로 21,35.268492,129.22535,913,0,29,29,199,16,1104,"대림산업(주),(주)신화종합건설",HT001,116.91,84.97,73,3,2,3,계단식,267300,633870,53460,313110,0,0,0,,197415,216141,,7억,,,,,,,,,,
0,가화일광타워,83㎡,부산시 기장군 일광읍,2671025900,이천리 921-1,부산시 기장군 이천10길 37,35.269224,129.235716,449,0,33,20,259,14,359,주식회사가화건설,HT001,83.38,59.86,72,3,2,223,계단식,,,,,,,,,155793,151972,"2억 5,500","3억 5,000","1억 8,000","2억 2,000","3,000/70","5,000/50","3,000/70","5,000/50",,,,
1,가화일광타워,84,부산시 기장군 일광읍,2671025900,이천리 921-1,부산시 기장군 이천10길 37,35.269224,129.235716,449,0,33,20,259,14,359,주식회사가화건설,HT001,84.59,59.89,71,3,2,226,계단식,,,,,,,,,155858,152036,"2억 5,000","3억 5,000","1억 8,000",2억,"3,000/70","3,000/75","3,000/70","3,000/75",,,,
0,금강한스빌,76A㎡,부산시 기장군 일광읍,2671025900,이천리 764-4,부산시 기장군 이화로 23,35.268611,129.233774,84,0,14,14,392,29,30,이레종합건설(주),HT001,76.58,54.56,71,3,1,70,복도식,20925,83700,4185,58590,0,0,0,,,,"1억 3,500","1억 8,000",,,"1,000/50","1,000/60","1,000/50","1,000/60",,,,
1,금강한스빌,77B,부산시 기장군 일광읍,2671025900,이천리 764-4,부산시 기장군 이화로 23,35.268611,129.233774,84,0,14,14,392,29,30,이레종합건설(주),HT001,77.08,54.85,71,3,1,14,복도식,20925,83700,4185,58590,0,0,0,,,,,"1억 5,000",,,,,,,,,,
0,남평파크뷰,96A㎡,부산시 기장군 일광읍,2671025900,삼성리 107-1,부산시 기장군 기장해안로 1333-31,35.262347,129.232496,18,0,10,10,194,27,18,주식회사 남평종합건설,HT001,96.04,82.43,86,3,2,9,계단식,32550,126630,6510,87570,0,0,0,,,,,3억,,,,,,,,,,
