,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,HC채마루(도시형),49㎡,부산시 남구 대연동,2629010600,1489-21,부산시 남구 못골번영로72번길 11,35.141608,129.089634,11,0,5,4,197,54,10,예림종합건설(주),HT001,49.14,43.26,88,2,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
1,HC채마루(도시형),57㎡,부산시 남구 대연동,2629010600,1489-21,부산시 남구 못골번영로72번길 11,35.141608,129.089634,11,0,5,4,197,54,10,예림종합건설(주),HT001,57.72,50.81,88,3,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
2,HC채마루(도시형),60㎡,부산시 남구 대연동,2629010600,1489-21,부산시 남구 못골번영로72번길 11,35.141608,129.089634,11,0,5,4,197,54,10,예림종합건설(주),HT001,60.29,53.07,88,3,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
3,HC채마루(도시형),69㎡,부산시 남구 대연동,2629010600,1489-21,부산시 남구 못골번영로72번길 11,35.141608,129.089634,11,0,5,4,197,54,10,예림종합건설(주),HT001,69.83,61.47,88,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
4,HC채마루(도시형),88,부산시 남구 대연동,2629010600,1489-21,부산시 남구 못골번영로72번길 11,35.141608,129.089634,11,0,5,4,197,54,10,예림종합건설(주),HT001,88.61,78,88,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,고은아트,69㎡,부산시 남구 대연동,2629010600,1723-33,부산시 남구 유엔로157번가길 65,35.132847,129.096934,13,0,7,7,286,47,10,(현장관리인) 디오종합건설(주),HT001,69.1,61.65,89,3,1,2,계단식,24750,99000,4950,69300,0,0,0,,,,,,,,,,,,,,,
1,고은아트,87㎡,부산시 남구 대연동,2629010600,1723-33,부산시 남구 유엔로157번가길 65,35.132847,129.096934,13,0,7,7,286,47,10,(현장관리인) 디오종합건설(주),HT001,87.57,78.13,89,3,2,1,계단식,29025,116100,5805,81270,0,0,0,,,,,,,,,,,,,,,
2,고은아트,89㎡,부산시 남구 대연동,2629010600,1723-33,부산시 남구 유엔로157번가길 65,35.132847,129.096934,13,0,7,7,286,47,10,(현장관리인) 디오종합건설(주),HT001,89.28,79.66,89,3,2,2,계단식,35250,133650,7050,91350,0,0,0,,,,,,,,,,,,,,,
3,고은아트,94,부산시 남구 대연동,2629010600,1723-33,부산시 남구 유엔로157번가길 65,35.132847,129.096934,13,0,7,7,286,47,10,(현장관리인) 디오종합건설(주),HT001,94.74,84.52,89,3,2,8,계단식,44700,158220,8940,104580,0,0,0,,,,,,,,,,,,,,,
0,광동,74㎡,부산시 남구 대연동,2629010600,874-12,부산시 남구 유엔평화로29번길 57,35.13234,129.095195,14,0,5,5,200,45,10,,HT001,74.59,68.64,92,3,1,1,계단식,25200,100800,5040,70560,0,0,0,,,,,,,,,,,,,,,
