,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,뉴서울,82㎡,부산시 남구 우암동,2629011000,53-1,부산시 남구 유엔로 10,35.124502,129.079734,429,0,24,19,267,17,273,(주)뉴서울주택건설,HT001,82.63,59.84,72,3,1,155,복도식,30750,121950,6150,85050,0,0,0,,124984,125859,"2억 1,000","2억 2,000",,,,,,,,,,
1,뉴서울,103,부산시 남구 우암동,2629011000,53-1,부산시 남구 유엔로 10,35.124502,129.079734,429,0,24,19,267,17,273,(주)뉴서울주택건설,HT001,103.82,84.44,81,3,2,274,계단식,52350,178110,10470,115290,0,0,0,,176365,177599,3억,"3억 2,000","1억 9,000","2억 1,000","2,000/70","5,000/60","2,000/70","5,000/60",,,,
0,대승하이아트,75㎡,부산시 남구 우암동,2629011000,10,부산시 남구 유엔로 66,35.127704,129.083496,215,0,23,17,348,36,219,우영토건주식회사,HT001,75.37,59.78,79,3,1,85,계단식,30300,120780,6060,84420,0,0,0,,153020,155084,,2억,,,,"1억 5,000/20",,"1억 5,000/20",,,,
1,대승하이아트,83㎡,부산시 남구 우암동,2629011000,10,부산시 남구 유엔로 66,35.127704,129.083496,215,0,23,17,348,36,219,우영토건주식회사,HT001,83.39,59.94,72,3,1,40,계단식,32100,125460,6420,86940,0,0,0,,153429,155499,2억,"2억 1,000",,,,,,,,,,
2,대승하이아트,99,부산시 남구 우암동,2629011000,10,부산시 남구 유엔로 66,35.127704,129.083496,215,0,23,17,348,36,219,우영토건주식회사,HT001,99.46,84.99,85,3,2,90,계단식,44250,157050,8850,103950,0,0,0,,217550,220485,"2억 2,500","2억 8,000",,,,,,,,,,
0,대진,52㎡,부산시 남구 우암동,2629011000,46,부산시 남구 우암로154번길 18,35.124418,129.080995,108,0,6,6,0,0,0,,HT001,52.02,45.54,88,2,1,18,계단식,18180,72720,3636,50904,0,0,0,,,,,,,,,,,,,,,
1,대진,55㎡,부산시 남구 우암동,2629011000,46,부산시 남구 우암로154번길 18,35.124418,129.080995,108,0,6,6,0,0,0,,HT001,55.62,49.14,88,2,1,6,계단식,19733,78931,3947,55251,0,0,0,,,,,,,,,,,,,,,
2,대진,59㎡,부산시 남구 우암동,2629011000,46,부산시 남구 우암로154번길 18,35.124418,129.080995,108,0,6,6,0,0,0,,HT001,59.4,52.2,88,2,1,36,계단식,21308,85231,4262,59661,0,0,0,,,,,"1억 6,500",,,,,,,,,,
3,대진,62㎡,부산시 남구 우암동,2629011000,46,부산시 남구 우암로154번길 18,35.124418,129.080995,108,0,6,6,0,0,0,,HT001,62.1,54.9,88,2,1,18,계단식,22950,91800,4590,64260,0,0,0,,,,,,,,,,,,,,,
4,대진,64,부산시 남구 우암동,2629011000,46,부산시 남구 우암로154번길 18,35.124418,129.080995,108,0,6,6,0,0,0,,HT001,64.8,57.6,89,2,1,30,계단식,24525,98100,4905,68670,0,0,0,,,,,"1억 7,000",,,,"3,000/40",,"3,000/40",,,,
0,동림리라,60㎡,부산시 남구 우암동,2629011000,3-4,부산시 남구 유엔로75번길 5,35.128637,129.084035,69,0,5,5,0,0,0,,HT001,60.39,53.91,89,2,1,1,복도식,17393,69571,3479,48699,0,0,0,,,,,"1억 2,000",,,,,,,,,,
1,동림리라,66A㎡,부산시 남구 우암동,2629011000,3-4,부산시 남구 유엔로75번길 5,35.128637,129.084035,69,0,5,5,0,0,0,,HT001,66.06,59.58,90,3,1,19,복도식,21105,84420,4221,59094,0,0,0,,,,1억,"1억 1,500",,,,,,,,,,
2,동림리라,66B㎡,부산시 남구 우암동,2629011000,3-4,부산시 남구 유엔로75번길 5,35.128637,129.084035,69,0,5,5,0,0,0,,HT001,66.24,59.76,90,3,1,5,복도식,21105,84420,4221,59094,0,0,0,,,,,,,,,,,,,,,
3,동림리라,67C㎡,부산시 남구 우암동,2629011000,3-4,부산시 남구 유엔로75번길 5,35.128637,129.084035,69,0,5,5,0,0,0,,HT001,67.59,61.11,90,3,1,25,복도식,21105,84420,4221,59094,0,0,0,,,,,,,"8,300",,,,,,,,
4,동림리라,68A㎡,부산시 남구 우암동,2629011000,3-4,부산시 남구 유엔로75번길 5,35.128637,129.084035,69,0,5,5,0,0,0,,HT001,68.94,55.98,81,2,1,1,복도식,19305,77220,3861,54054,0,0,0,,,,,,,,,,,,,,,
5,동림리라,69B㎡,부산시 남구 우암동,2629011000,3-4,부산시 남구 유엔로75번길 5,35.128637,129.084035,69,0,5,5,0,0,0,,HT001,69.03,62.55,91,3,1,15,복도식,22005,88020,4401,61614,0,0,0,,,,,"1억 2,200",,,,,,,,,,
6,동림리라,71,부산시 남구 우암동,2629011000,3-4,부산시 남구 유엔로75번길 5,35.128637,129.084035,69,0,5,5,0,0,0,,HT001,71.73,65.25,91,3,1,3,복도식,22950,91800,4590,64260,0,0,0,,,,,,,,,,,,,,,
