,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,고은타워,62㎡,부산시 동래구 사직동,2626010900,149-55,부산시 동래구 중앙대로1277번길 97,35.200037,129.072672,19,0,7,7,260,47,15,디오종합건설(주),HT001,62.61,52.31,84,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,고은타워,66A㎡,부산시 동래구 사직동,2626010900,149-55,부산시 동래구 중앙대로1277번길 97,35.200037,129.072672,19,0,7,7,260,47,15,디오종합건설(주),HT001,66.29,55.38,84,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,고은타워,67B㎡,부산시 동래구 사직동,2626010900,149-55,부산시 동래구 중앙대로1277번길 97,35.200037,129.072672,19,0,7,7,260,47,15,디오종합건설(주),HT001,67.1,56.06,84,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,고은타워,91A㎡,부산시 동래구 사직동,2626010900,149-55,부산시 동래구 중앙대로1277번길 97,35.200037,129.072672,19,0,7,7,260,47,15,디오종합건설(주),HT001,91.33,76.3,84,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
4,고은타워,91C㎡,부산시 동래구 사직동,2626010900,149-55,부산시 동래구 중앙대로1277번길 97,35.200037,129.072672,19,0,7,7,260,47,15,디오종합건설(주),HT001,91.38,76.34,84,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
5,고은타워,92B㎡,부산시 동래구 사직동,2626010900,149-55,부산시 동래구 중앙대로1277번길 97,35.200037,129.072672,19,0,7,7,260,47,15,디오종합건설(주),HT001,92.31,77.12,84,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
6,고은타워,96A㎡,부산시 동래구 사직동,2626010900,149-55,부산시 동래구 중앙대로1277번길 97,35.200037,129.072672,19,0,7,7,260,47,15,디오종합건설(주),HT001,96.91,80.96,84,3,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
7,고은타워,96C㎡,부산시 동래구 사직동,2626010900,149-55,부산시 동래구 중앙대로1277번길 97,35.200037,129.072672,19,0,7,7,260,47,15,디오종합건설(주),HT001,96.29,80.44,84,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
8,고은타워,97B㎡,부산시 동래구 사직동,2626010900,149-55,부산시 동래구 중앙대로1277번길 97,35.200037,129.072672,19,0,7,7,260,47,15,디오종합건설(주),HT001,97.07,81.1,84,3,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
9,고은타워,98,부산시 동래구 사직동,2626010900,149-55,부산시 동래구 중앙대로1277번길 97,35.200037,129.072672,19,0,7,7,260,47,15,디오종합건설(주),HT001,98.06,81.92,84,3,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
