,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,DS빌(도시형),39㎡,부산시 부산진구 범천동,2623010400,1298-98,부산시 부산진구 신암로5번길 10,35.142635,129.055436,8,0,8,5,494,70,2,은혜건설,HT001,39.09,27.8,71,1,1,4,계단식,,,,,,,,,,,,,,,,300/39,,300/39,,,,
1,DS빌(도시형),42,부산시 부산진구 범천동,2623010400,1298-98,부산시 부산진구 신암로5번길 10,35.142635,129.055436,8,0,8,5,494,70,2,은혜건설,HT001,42.8,30.44,71,1,1,4,계단식,,,,,,,,,,,,,,,,200/33,,200/33,,,,
0,TK골드뷰(주상복합),68㎡,부산시 부산진구 범천동,2623010400,842-4,부산시 부산진구 범일로154번길 61,35.143933,129.062707,30,0,15,15,699,65,30,,HT001,68.57,57.34,84,2,1,10,계단식,29475,117900,5895,82530,0,0,0,,,,,,,,,,,,,,,
1,TK골드뷰(주상복합),98㎡,부산시 부산진구 범천동,2623010400,842-4,부산시 부산진구 범일로154번길 61,35.143933,129.062707,30,0,15,15,699,65,30,,HT001,98.96,82.75,84,3,2,10,계단식,53700,181620,10740,117180,0,0,0,,,,,,,,,,,,,,,
2,TK골드뷰(주상복합),100,부산시 부산진구 범천동,2623010400,842-4,부산시 부산진구 범일로154번길 61,35.143933,129.062707,30,0,15,15,699,65,30,,HT001,100.97,84.42,84,3,2,10,계단식,55050,185130,11010,119070,0,0,0,,,,,"3억 3,000",,"2억 3,000",,"2,000/100",,"2,000/100",,,,
0,e편한세상서면더센트럴,79㎡,부산시 부산진구 범천동,2623010400,1187,부산시 부산진구 신암로 133,35.151125,129.049827,998,0,29,21,297,15,1038,디엘이앤씨 주식회사,HT001,79.88,59.99,75,3,2,241,계단식,,,,,,,,,,,"4억 3,000","4억 4,000",,"2억 7,000",,"3,000/90",,"3,000/90",,,,
1,e편한세상서면더센트럴,92㎡,부산시 부산진구 범천동,2623010400,1187,부산시 부산진구 신암로 133,35.151125,129.049827,998,0,29,21,297,15,1038,디엘이앤씨 주식회사,HT001,92.73,69.99,75,3,2,180,계단식,,,,,,,,,,,,,,"2억 7,000",,,,,,,,
2,e편한세상서면더센트럴,112A㎡,부산시 부산진구 범천동,2623010400,1187,부산시 부산진구 신암로 133,35.151125,129.049827,998,0,29,21,297,15,1038,디엘이앤씨 주식회사,HT001,112.41,84.99,76,3,2,359,계단식,,,,,,,,,,,"5억 3,000",6억,,3억,"3,000/120",1억/100,"3,000/120",1억/100,,,,
3,e편한세상서면더센트럴,112B,부산시 부산진구 범천동,2623010400,1187,부산시 부산진구 신암로 133,35.151125,129.049827,998,0,29,21,297,15,1038,디엘이앤씨 주식회사,HT001,112.06,84.96,76,3,2,218,계단식,,,,,,,,,,,"5억 6,000","5억 7,000",,,"2,000/140","7,000/110","2,000/140","7,000/110",,,,
0,가야누리애(주상복합),92㎡,부산시 부산진구 범천동,2623010400,842-11,부산시 부산진구 범일로154번길 49,35.144085,129.062102,56,0,15,15,630,56,56,주식회사 가야디엔씨,HT001,92.08,73.59,80,3,2,28,계단식,,,,,,,,,,,3억,"3억 1,000",,,,"4,000/65",,"4,000/65",,,,
1,가야누리애(주상복합),106,부산시 부산진구 범천동,2623010400,842-11,부산시 부산진구 범일로154번길 49,35.144085,129.062102,56,0,15,15,630,56,56,주식회사 가야디엔씨,HT001,106.29,84.94,80,3,2,28,계단식,,,,,,,,,,,"3억 2,000","3억 5,000",,,,,,,,,,
0,가야누리애더센트리즈,73C㎡,부산시 부산진구 범천동,2623010400,974-16,부산시 부산진구 범천로 16,35.148212,129.056181,196,0,25,25,966,61,196,(주)가야종합건설,HT001,73.32,50.19,68,2,1,124,계단식,,,,,,,,,223516,237230,,"2억 1,000","1억 7,000",2억,"1,500/85","3,000/70","1,500/85","3,000/70",,,,
