,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,구덕극동,82㎡,부산시 사상구 학장동,2653010700,173-16,부산시 사상구 학감대로 62,35.138734,128.993343,274,0,25,25,381,46,175,극동건설,HT001,82.04,59.69,73,3,1,125,복도식,18450,73800,3690,51660,0,0,0,,159429,157403,"1억 1,500","1억 2,500",,,,,,,,,,
1,구덕극동,100㎡,부산시 사상구 학장동,2653010700,173-16,부산시 사상구 학감대로 62,35.138734,128.993343,274,0,25,25,381,46,175,극동건설,HT001,100.38,73.04,73,3,1,49,복도식,22365,89460,4473,62622,0,0,0,,195087,192607,"1억 4,000","1억 5,500","1억 3,000","1억 5,000",,"3,000/50",,"3,000/50",,,,
2,구덕극동,116,부산시 사상구 학장동,2653010700,173-16,부산시 사상구 학감대로 62,35.138734,128.993343,274,0,25,25,381,46,175,극동건설,HT001,116.71,84.92,73,3,2,100,복도식,24750,99000,4950,69300,0,0,0,,226818,223935,"1억 6,500","2억 3,000","1억 4,000","1억 5,000",,"8,000/20",,"8,000/20",,,,
0,구학마을,64,부산시 사상구 학장동,2653010700,168-8,부산시 사상구 학감대로49번길 15,35.136736,128.993067,1110,0,15,15,148,10,618,일신진흥건설(주),HT001,64.9,46.32,71,2,1,1110,계단식,18135,72540,3627,50778,0,0,0,,115365,114090,"8,800","1억 3,000","8,000",1억,"1,000/35","7,500/5","1,000/35","7,500/5",,,,
0,금강,96㎡,부산시 사상구 학장동,2653010700,819,부산시 사상구 대동로64번길 25,35.136161,128.978323,730,0,15,8,223,17,584,"금강종합건설,KCC건설",HT001,96.37,79.34,82,3,2,210,계단식,24525,98100,4905,68670,0,0,0,,172092,170676,"1억 5,000","1억 8,000",,"1억 4,000",,,,,,,,
1,금강,102B㎡,부산시 사상구 학장동,2653010700,819,부산시 사상구 대동로64번길 25,35.136161,128.978323,730,0,15,8,223,17,584,"금강종합건설,KCC건설",HT001,102.83,84.96,83,3,2,340,계단식,25200,100800,5040,70560,0,0,0,,184282,182766,"1억 5,500","1억 8,500",,"1억 5,000",,"2,000/50",,"2,000/50",,,,
2,금강,103A,부산시 사상구 학장동,2653010700,819,부산시 사상구 대동로64번길 25,35.136161,128.978323,730,0,15,8,223,17,584,"금강종합건설,KCC건설",HT001,103.13,84.81,82,3,2,180,계단식,25200,100800,5040,70560,0,0,0,,183956,182443,"1억 5,000","1억 9,000",,,,,,,,,,
0,동양,50㎡,부산시 사상구 학장동,2653010700,210-1,부산시 사상구 주례로 231,35.143469,128.991952,442,0,5,3,0,0,0,동양,HT001,50.26,40.94,81,2,1,42,계단식,,,,,,,,,59387,58768,"1억 3,000","1억 5,500",,,,"1,000/25",,"1,000/25",,,,
1,동양,53㎡,부산시 사상구 학장동,2653010700,210-1,부산시 사상구 주례로 231,35.143469,128.991952,442,0,5,3,0,0,0,동양,HT001,53.55,43.56,81,2,1,5,계단식,,,,,,,,,63187,62529,,,,,,,,,,,,
2,동양,55㎡,부산시 사상구 학장동,2653010700,210-1,부산시 사상구 주례로 231,35.143469,128.991952,442,0,5,3,0,0,0,동양,HT001,55.11,45,82,2,1,5,계단식,,,,,,,,,65276,64596,,,,,,"1,000/30",,"1,000/30",,,,
3,동양,61A㎡,부산시 사상구 학장동,2653010700,210-1,부산시 사상구 주례로 231,35.143469,128.991952,442,0,5,3,0,0,0,동양,HT001,61.6,51.12,83,3,1,140,계단식,,,,,,,,,74153,73381,"1억 5,000","2억 1,500","6,000","8,000",500/35,"1,000/30",500/35,"1,000/30",,,,
4,동양,63B㎡,부산시 사상구 학장동,2653010700,210-1,부산시 사상구 주례로 231,35.143469,128.991952,442,0,5,3,0,0,0,동양,HT001,63.16,52.56,83,3,1,164,계단식,,,,,,,,,76242,75448,,"1억 4,000",,"5,500","1,000/30","1,000/35","1,000/30","1,000/35",,,,
5,동양,75A㎡,부산시 사상구 학장동,2653010700,210-1,부산시 사상구 주례로 231,35.143469,128.991952,442,0,5,3,0,0,0,동양,HT001,75.18,63.72,85,3,1,43,계단식,,,,,,,,,92431,91468,"2억 2,500","2억 3,000",,,,,,,,,,
6,동양,76B,부산시 사상구 학장동,2653010700,210-1,부산시 사상구 주례로 231,35.143469,128.991952,442,0,5,3,0,0,0,동양,HT001,76.64,65.07,85,3,1,43,계단식,,,,,,,,,94389,93406,"1억 8,000",2억,,,,,,,,,,
0,목화,56㎡,부산시 사상구 학장동,2653010700,574-82,부산시 사상구 대동로 104-8,35.138278,128.980806,999,0,20,19,174,12,260,국제종합건설(주),HT001,56.99,40.42,71,2,1,114,복도식,16875,67500,3375,47250,0,0,0,,100087,101894,1억,"1억 2,700","8,000","8,500",,"1,000/35",,"1,000/35",,,,
1,목화,70,부산시 사상구 학장동,2653010700,574-82,부산시 사상구 대동로 104-8,35.138278,128.980806,999,0,20,19,174,12,260,국제종합건설(주),HT001,70.44,49.96,71,2,1,885,복도식,23625,94500,4725,66150,0,0,0,,123707,125940,"1억 1,500","1억 8,000","8,000","1억 2,500",500/45,1억/5,500/45,1억/5,,,,
0,삼광,47㎡,부산시 사상구 학장동,2653010700,585-78,부산시 사상구 대동로159번길 123,35.139173,128.978216,57,0,10,10,338,42,63,백두건설(주),HT001,47.23,41.1,87,2,1,1,계단식,12173,48691,2435,34083,0,0,0,,,,,,,,,,,,,,,
1,삼광,53㎡,부산시 사상구 학장동,2653010700,585-78,부산시 사상구 대동로159번길 123,35.139173,128.978216,57,0,10,10,338,42,63,백두건설(주),HT001,53,45.72,86,2,1,2,계단식,13343,53371,2669,37359,0,0,0,,,,,,,,,,,,,,,
2,삼광,97A㎡,부산시 사상구 학장동,2653010700,585-78,부산시 사상구 대동로159번길 123,35.139173,128.978216,57,0,10,10,338,42,63,백두건설(주),HT001,97.6,84.93,87,3,2,18,계단식,25200,100800,5040,70560,0,0,0,,,,,,,,,,,,,,,
3,삼광,98B,부산시 사상구 학장동,2653010700,585-78,부산시 사상구 대동로159번길 123,35.139173,128.978216,57,0,10,10,338,42,63,백두건설(주),HT001,98.5,84.96,86,3,2,36,계단식,25650,102600,5130,71820,0,0,0,,,,,"1억 9,500",,,,,,,,,,
0,삼성1차,74㎡,부산시 사상구 학장동,2653010700,574-111,부산시 사상구 대동로 148-29,35.139458,128.984244,416,0,29,17,149,17,260,삼성물산(주),HT001,74.17,49.14,66,2,1,145,계단식,18698,74791,3740,52353,0,0,0,,142272,141053,"1억 1,500","1억 4,200","9,000","1억 1,000",,"1,000/40",,"1,000/40",,,,
1,삼성1차,80㎡,부산시 사상구 학장동,2653010700,574-111,부산시 사상구 대동로 148-29,35.139458,128.984244,416,0,29,17,149,17,260,삼성물산(주),HT001,80.82,59.82,74,3,1,155,계단식,25650,102600,5130,71820,0,0,0,,173194,171710,"1억 5,000","1억 7,800",,,,,,,,,,
2,삼성1차,107,부산시 사상구 학장동,2653010700,574-111,부산시 사상구 대동로 148-29,35.139458,128.984244,416,0,29,17,149,17,260,삼성물산(주),HT001,107.67,84.99,79,3,2,116,계단식,37500,139500,7500,94500,0,0,0,,246067,243959,2억,"2억 5,000",,,,"4,000/60",,"4,000/60",,,,
0,신구덕우성,80㎡,부산시 사상구 학장동,2653010700,571-3,부산시 사상구 학감대로 109-16,35.140287,128.987546,763,0,24,18,276,18,774,(주)우성건설,HT001,80.54,59.98,74,3,1,229,계단식,27675,110700,5535,77490,0,0,0,,140291,145107,"1억 7,500","1억 9,500",,"1억 4,000","3,000/70","5,000/55","3,000/70","5,000/55",,,,
1,신구덕우성,97㎡,부산시 사상구 학장동,2653010700,571-3,부산시 사상구 학감대로 109-16,35.140287,128.987546,763,0,24,18,276,18,774,(주)우성건설,HT001,97.52,75.65,78,3,2,172,계단식,37050,138330,7410,93870,0,0,0,,176943,183017,"2억 3,000","2억 5,000",,,,"5,000/50",,"5,000/50",,,,
2,신구덕우성,110㎡,부산시 사상구 학장동,2653010700,571-3,부산시 사상구 학감대로 109-16,35.140287,128.987546,763,0,24,18,276,18,774,(주)우성건설,HT001,110.53,84.97,77,3,2,268,계단식,48300,167580,9660,109620,0,0,0,,198742,205565,"2억 4,500","2억 8,500",,"2억 1,000",,,,,,,,
3,신구덕우성,135㎡,부산시 사상구 학장동,2653010700,571-3,부산시 사상구 학감대로 109-16,35.140287,128.987546,763,0,24,18,276,18,774,(주)우성건설,HT001,135.16,110.48,82,4,2,46,계단식,61350,201510,12270,127890,0,0,0,,258409,267280,"3억 1,500","3억 2,000",,,,,,,,,,
4,신구덕우성,166,부산시 사상구 학장동,2653010700,571-3,부산시 사상구 학감대로 109-16,35.140287,128.987546,763,0,24,18,276,18,774,(주)우성건설,HT001,166.69,134.99,81,4,2,48,계단식,68550,220230,13710,137970,0,0,0,,315738,326576,"3억 4,500",4억,,,,,,,,,,
0,정남파크맨션,50A㎡,부산시 사상구 학장동,2653010700,574-23,부산시 사상구 대동로140번길 26,35.138532,128.982763,210,0,5,5,0,0,0,정남건설,HT001,50.94,43.74,86,2,1,10,계단식,14625,58500,2925,40950,0,0,0,,,,,"9,500",,,,,,,,,,
1,정남파크맨션,51B㎡,부산시 사상구 학장동,2653010700,574-23,부산시 사상구 대동로140번길 26,35.138532,128.982763,210,0,5,5,0,0,0,정남건설,HT001,51.21,44.01,86,2,1,120,계단식,14625,58500,2925,40950,0,0,0,,,,"6,900",1억,"5,000","6,000",,,,,,,,
2,정남파크맨션,58A㎡,부산시 사상구 학장동,2653010700,574-23,부산시 사상구 대동로140번길 26,35.138532,128.982763,210,0,5,5,0,0,0,정남건설,HT001,58.19,50.99,88,3,1,30,계단식,14648,58591,2930,41013,0,0,0,,,,,1억,,"7,000",,"1,000/45",,"1,000/45",,,,
3,정남파크맨션,59B㎡,부산시 사상구 학장동,2653010700,574-23,부산시 사상구 대동로140번길 26,35.138532,128.982763,210,0,5,5,0,0,0,정남건설,HT001,59.22,52.02,88,3,1,10,계단식,14828,59311,2966,41517,0,0,0,,,,,1억 800,,,,"1,000/35",,"1,000/35",,,,
4,정남파크맨션,63㎡,부산시 사상구 학장동,2653010700,574-23,부산시 사상구 대동로140번길 26,35.138532,128.982763,210,0,5,5,0,0,0,정남건설,HT001,63.77,56.57,89,3,1,20,계단식,15908,63631,3182,44541,0,0,0,,,,,,,,,,,,,,,
5,정남파크맨션,72,부산시 사상구 학장동,2653010700,574-23,부산시 사상구 대동로140번길 26,35.138532,128.982763,210,0,5,5,0,0,0,정남건설,HT001,72,64.8,90,3,1,20,계단식,18090,72360,3618,50652,0,0,0,,,,,"1억 1,000",,"8,000",,"1,000/40",,"1,000/40",,,,
0,청파,53A㎡,부산시 사상구 학장동,2653010700,574-13,부산시 사상구 대동로 138,35.139758,128.98168,190,0,5,5,0,0,0,청파건설,HT001,53.73,47.25,88,3,1,25,계단식,16673,66691,3335,46683,0,0,0,,,,"1억 2,000","1억 4,000",,,"1,000/35","1,000/40","1,000/35","1,000/40",,,,
1,청파,54B㎡,부산시 사상구 학장동,2653010700,574-13,부산시 사상구 대동로 138,35.139758,128.98168,190,0,5,5,0,0,0,청파건설,HT001,54.18,47.7,88,3,1,35,계단식,16673,66691,3335,46683,0,0,0,,,,,,,,,,,,,,,
2,청파,55B㎡,부산시 사상구 학장동,2653010700,574-13,부산시 사상구 대동로 138,35.139758,128.98168,190,0,5,5,0,0,0,청파건설,HT001,55.44,48.96,88,3,1,45,계단식,16673,66691,3335,46683,0,0,0,,,,,"1억 4,000",,,"1,000/45","2,000/40","1,000/45","2,000/40",,,,
3,청파,55A㎡,부산시 사상구 학장동,2653010700,574-13,부산시 사상구 대동로 138,35.139758,128.98168,190,0,5,5,0,0,0,청파건설,HT001,55.08,48.6,88,3,1,35,계단식,16673,66691,3335,46683,0,0,0,,,,,,,,,,,,,,,
4,청파,56E㎡,부산시 사상구 학장동,2653010700,574-13,부산시 사상구 대동로 138,35.139758,128.98168,190,0,5,5,0,0,0,청파건설,HT001,56.88,50.4,89,3,1,25,계단식,17010,68040,3402,47628,0,0,0,,,,"1억 1,000","1억 3,500",,,,,,,,,,
5,청파,56D㎡,부산시 사상구 학장동,2653010700,574-13,부산시 사상구 대동로 138,35.139758,128.98168,190,0,5,5,0,0,0,청파건설,HT001,56.52,50.04,89,3,1,10,계단식,17010,68040,3402,47628,0,0,0,,,,,"1억 3,000",,"6,000",,,,,,,,
6,청파,56C㎡,부산시 사상구 학장동,2653010700,574-13,부산시 사상구 대동로 138,35.139758,128.98168,190,0,5,5,0,0,0,청파건설,HT001,56.07,49.59,88,3,1,5,계단식,16853,67411,3371,47187,0,0,0,,,,1억,"1억 2,500",,,,,,,,,,
7,청파,58A㎡,부산시 사상구 학장동,2653010700,574-13,부산시 사상구 대동로 138,35.139758,128.98168,190,0,5,5,0,0,0,청파건설,HT001,58.77,52.29,89,3,1,5,계단식,17460,69840,3492,48888,0,0,0,,,,,,,,,,,,,,,
8,청파,60B,부산시 사상구 학장동,2653010700,574-13,부산시 사상구 대동로 138,35.139758,128.98168,190,0,5,5,0,0,0,청파건설,HT001,60.39,53.91,89,3,1,5,계단식,18203,72811,3641,50967,0,0,0,,,,,,,,,,,,,,,
0,학장극동,85㎡,부산시 사상구 학장동,2653010700,571-4,부산시 사상구 학감대로 109-43,35.139172,128.987236,299,0,21,17,291,15,299,극동건설,HT001,85.14,59.4,70,3,1,105,복도식,18180,72720,3636,50904,0,0,0,,98978,98163,"1억 1,000","1억 3,000",,,,,,,,,,
1,학장극동,104㎡,부산시 사상구 학장동,2653010700,571-4,부산시 사상구 학감대로 109-43,35.139172,128.987236,299,0,21,17,291,15,299,극동건설,HT001,104.44,84.97,81,3,2,110,계단식,26325,105300,5265,73710,0,0,0,,141585,140419,"1억 5,000","1억 8,500",,,,,,,,,,
2,학장극동,165,부산시 사상구 학장동,2653010700,571-4,부산시 사상구 학감대로 109-43,35.139172,128.987236,299,0,21,17,291,15,299,극동건설,HT001,165.19,141.8,86,4,2,84,계단식,37050,138330,7410,93870,0,0,0,,236280,234334,"2억 2,000","2억 6,000",,,,,,,,,,
0,학장대림,78㎡,부산시 사상구 학장동,2653010700,167-3,부산시 사상구 학감대로49번길 62,35.135225,128.992609,825,0,15,15,0,0,0,대림산업(주),HT001,78.12,59.94,77,3,1,195,계단식,18203,72811,3641,50967,0,0,0,,127947,119735,"1억 1,000","1억 3,000",,"1억 1,000",500/50,"1,000/45",500/50,"1,000/45",,,,
1,학장대림,91㎡,부산시 사상구 학장동,2653010700,167-3,부산시 사상구 학감대로49번길 62,35.135225,128.992609,825,0,15,15,0,0,0,대림산업(주),HT001,91.67,75.61,82,3,1,360,계단식,22500,90000,4500,63000,0,0,0,,161396,151037,"1억 3,500","1억 5,500",,"1억 2,000",,,,,,,,
2,학장대림,102,부산시 사상구 학장동,2653010700,167-3,부산시 사상구 학감대로49번길 62,35.135225,128.992609,825,0,15,15,0,0,0,대림산업(주),HT001,102.25,84.99,83,3,2,270,계단식,26550,106200,5310,74340,0,0,0,,181418,169774,"1억 5,000","1억 9,000",,,,"3,000/45",,"3,000/45",,,,
0,학장무학,76㎡,부산시 사상구 학장동,2653010700,820-1,부산시 사상구 대동로 84,35.137078,128.977522,893,0,21,11,383,0,663,무학건설 주식회사,HT001,76.57,59.99,78,3,1,683,계단식,27225,108900,5445,76230,0,0,0,,151276,150423,"1억 5,500",2억,"1억 2,000","1억 3,000","2,000/50",1억/20,"2,000/50",1억/20,,,,
1,학장무학,108,부산시 사상구 학장동,2653010700,820-1,부산시 사상구 대동로 84,35.137078,128.977522,893,0,21,11,383,0,663,무학건설 주식회사,HT001,108.38,84.91,78,3,2,210,계단식,50100,172260,10020,112140,0,0,0,,214116,212909,"2억 5,500","3억 3,000",,2억,,,,,,,,
0,학장반도보라타운,78㎡,부산시 사상구 학장동,2653010700,573-1,부산시 사상구 대동로 98,35.13743,128.97937,998,0,22,16,390,39,0,반도건설,HT001,78.34,59.88,76,2,1,384,계단식,25425,101700,5085,71190,0,0,0,,128889,129278,"1억 3,000","2억 1,000","1억 1,000","1억 5,000","2,000/50","9,000/17","2,000/50","9,000/17",,,,
1,학장반도보라타운,104㎡,부산시 사상구 학장동,2653010700,573-1,부산시 사상구 대동로 98,35.13743,128.97937,998,0,22,16,390,39,0,반도건설,HT001,104.54,84.9,81,3,2,458,계단식,34800,132480,6960,90720,0,0,0,,182743,183295,"1억 9,000","2억 6,500",,"1억 8,000","4,000/40","7,000/40","4,000/40","7,000/40",,,,
2,학장반도보라타운,155㎡,부산시 사상구 학장동,2653010700,573-1,부산시 사상구 대동로 98,35.13743,128.97937,998,0,22,16,390,39,0,반도건설,HT001,155.24,131.88,85,4,2,82,계단식,49650,171090,9930,111510,0,0,0,,283865,284723,"2억 8,000","3억 4,000",,,,,,,,,,
