,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,IDS아델하임(도시형),36C㎡,부산시 사하구 괴정동,2638010100,955-4,부산시 사하구 사하로 182,35.098034,128.994398,264,0,22,22,826,60,189,(주)청목E&C,HT001,36.1,26.02,72,1,1,57,복도식,14805,59220,2961,41454,0,0,0,,,,1억,1억 300,,,500/35,500/47,500/35,500/47,,,,
1,IDS아델하임(도시형),55B㎡,부산시 사하구 괴정동,2638010100,955-4,부산시 사하구 사하로 182,35.098034,128.994398,264,0,22,22,826,60,189,(주)청목E&C,HT001,55.68,40.13,72,1,1,57,복도식,20745,82980,4149,58086,0,0,0,,,,"1억 4,000","1억 5,000",,"1억 3,000","1,000/52","1,000/55","1,000/52","1,000/55",,,,
2,IDS아델하임(도시형),68A,부산시 사하구 괴정동,2638010100,955-4,부산시 사하구 사하로 182,35.098034,128.994398,264,0,22,22,826,60,189,(주)청목E&C,HT001,68.74,49.55,72,2,1,150,복도식,26550,106200,5310,74340,0,0,0,,,,"1억 7,000","1억 9,500",,,,,,,,,,
0,IDS아델하임(주상복합),134,부산시 사하구 괴정동,2638010100,955-4,부산시 사하구 사하로 182,35.098019,128.994391,1,0,22,22,826,60,0,(주)청목이엔씨,HT001,134.09,95.7,71,5,3,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,SK그린빌,61㎡,부산시 사하구 괴정동,2638010100,764-103,부산시 사하구 승학로 188,35.100352,128.985904,8,0,6,5,219,57,7,경인종합건설(주),HT001,61.79,51.9,84,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
1,SK그린빌,79㎡,부산시 사하구 괴정동,2638010100,764-103,부산시 사하구 승학로 188,35.100352,128.985904,8,0,6,5,219,57,7,경인종합건설(주),HT001,79.6,66.86,84,3,1,2,계단식,,,,,,,,,,,,,"1억 5,000",2억,,,,,,,,
2,SK그린빌,93㎡,부산시 사하구 괴정동,2638010100,764-103,부산시 사하구 승학로 188,35.100352,128.985904,8,0,6,5,219,57,7,경인종합건설(주),HT001,93.34,78.4,84,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,SK그린빌,95A㎡,부산시 사하구 괴정동,2638010100,764-103,부산시 사하구 승학로 188,35.100352,128.985904,8,0,6,5,219,57,7,경인종합건설(주),HT001,95.34,80.08,84,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
4,SK그린빌,97B,부산시 사하구 괴정동,2638010100,764-103,부산시 사하구 승학로 188,35.100352,128.985904,8,0,6,5,219,57,7,경인종합건설(주),HT001,97.13,81.58,84,3,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
0,가람그린(주상복합),62㎡,부산시 사하구 괴정동,2638010100,553-8,부산시 사하구 장평로 439,35.097398,128.986053,11,0,11,10,496,59,11,한토종합건설(주),HT001,62.15,54.21,87,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,가람그린(주상복합),70㎡,부산시 사하구 괴정동,2638010100,553-8,부산시 사하구 장평로 439,35.097398,128.986053,11,0,11,10,496,59,11,한토종합건설(주),HT001,70.57,61.55,87,3,1,3,계단식,,,,,,,,,,,,,,"1억 5,000",,,,,,,,
2,가람그린(주상복합),73㎡,부산시 사하구 괴정동,2638010100,553-8,부산시 사하구 장평로 439,35.097398,128.986053,11,0,11,10,496,59,11,한토종합건설(주),HT001,73.77,64.35,87,3,1,3,계단식,,,,,,,,,,,,"5억 5,000",,,,,,,,,,
3,가람그린(주상복합),74,부산시 사하구 괴정동,2638010100,553-8,부산시 사하구 장평로 439,35.097398,128.986053,11,0,11,10,496,59,11,한토종합건설(주),HT001,74.54,65.02,87,3,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,가람리버빌(주상복합),105A㎡,부산시 사하구 괴정동,2638010100,1120-1,부산시 사하구 낙동대로 330,35.100659,128.981167,18,0,12,12,0,0,9,금산종합건설㈜,HT001,105.76,84.58,80,3,2,6,계단식,,,,,,,,,,,,,,,,,,,,,,
1,가람리버빌(주상복합),106B㎡,부산시 사하구 괴정동,2638010100,1120-1,부산시 사하구 낙동대로 330,35.100659,128.981167,18,0,12,12,0,0,9,금산종합건설㈜,HT001,106.13,84.87,80,3,2,6,계단식,,,,,,,,,,,,,,,"2,000/60","3,000/50","2,000/60","3,000/50",,,,
2,가람리버빌(주상복합),133,부산시 사하구 괴정동,2638010100,1120-1,부산시 사하구 낙동대로 330,35.100659,128.981167,18,0,12,12,0,0,9,금산종합건설㈜,HT001,133.95,107.12,80,3,2,6,계단식,,,,,,,,,,,,,,,,,,,,,,
0,강남하이빌(도시형),48㎡,부산시 사하구 괴정동,2638010100,555-4,부산시 사하구 장평로 430-1,35.096484,128.98635,24,0,7,5,199,38,24,(주)에이스주택,HT001,48.58,41.91,86,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,강남하이빌(도시형),52C㎡,부산시 사하구 괴정동,2638010100,555-4,부산시 사하구 장평로 430-1,35.096484,128.98635,24,0,7,5,199,38,24,(주)에이스주택,HT001,52.38,45.29,86,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,강남하이빌(도시형),52D㎡,부산시 사하구 괴정동,2638010100,555-4,부산시 사하구 장평로 430-1,35.096484,128.98635,24,0,7,5,199,38,24,(주)에이스주택,HT001,52.55,45.43,86,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
3,강남하이빌(도시형),52A㎡,부산시 사하구 괴정동,2638010100,555-4,부산시 사하구 장평로 430-1,35.096484,128.98635,24,0,7,5,199,38,24,(주)에이스주택,HT001,52.56,45.34,86,2,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
4,강남하이빌(도시형),52B㎡,부산시 사하구 괴정동,2638010100,555-4,부산시 사하구 장평로 430-1,35.096484,128.98635,24,0,7,5,199,38,24,(주)에이스주택,HT001,52.44,45.23,86,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
5,강남하이빌(도시형),59㎡,부산시 사하구 괴정동,2638010100,555-4,부산시 사하구 장평로 430-1,35.096484,128.98635,24,0,7,5,199,38,24,(주)에이스주택,HT001,59.83,51.73,86,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
6,강남하이빌(도시형),61,부산시 사하구 괴정동,2638010100,555-4,부산시 사하구 장평로 430-1,35.096484,128.98635,24,0,7,5,199,38,24,(주)에이스주택,HT001,61.94,53.43,86,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,강전빌(도시형),25㎡,부산시 사하구 괴정동,2638010100,958-20,부산시 사하구 오작로3번길 15-8,35.098355,128.994683,12,0,8,5,483,75,3,,HT001,25.81,17.08,66,-,-,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,강전빌(도시형),27㎡,부산시 사하구 괴정동,2638010100,958-20,부산시 사하구 오작로3번길 15-8,35.098355,128.994683,12,0,8,5,483,75,3,,HT001,27.87,18.42,66,-,-,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,강전빌(도시형),30,부산시 사하구 괴정동,2638010100,958-20,부산시 사하구 오작로3번길 15-8,35.098355,128.994683,12,0,8,5,483,75,3,,HT001,30.41,20.31,67,-,-,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,강진노블레스,85㎡,부산시 사하구 괴정동,2638010100,772-29,부산시 사하구 승학로 191,35.1008,128.986094,46,0,9,9,306,41,50,대건종합건설(주),HT001,85.78,65.87,77,3,1,1,계단식,24300,97200,4860,68040,0,0,0,,,,,,,,,,,,,,,
1,강진노블레스,92㎡,부산시 사하구 괴정동,2638010100,772-29,부산시 사하구 승학로 191,35.1008,128.986094,46,0,9,9,306,41,50,대건종합건설(주),HT001,92.91,71.13,77,3,2,1,계단식,25875,103500,5175,72450,0,0,0,,,,,,,,,,,,,,,
2,강진노블레스,94㎡,부산시 사하구 괴정동,2638010100,772-29,부산시 사하구 승학로 191,35.1008,128.986094,46,0,9,9,306,41,50,대건종합건설(주),HT001,94.51,72.42,77,3,2,2,계단식,26550,106200,5310,74340,0,0,0,,,,,"2억 1,500",,,,,,,,,,
3,강진노블레스,97㎡,부산시 사하구 괴정동,2638010100,772-29,부산시 사하구 승학로 191,35.1008,128.986094,46,0,9,9,306,41,50,대건종합건설(주),HT001,97.55,74.84,77,3,2,1,계단식,27450,109800,5490,76860,0,0,0,,,,,,,,,,,,,,,
4,강진노블레스,106㎡,부산시 사하구 괴정동,2638010100,772-29,부산시 사하구 승학로 191,35.1008,128.986094,46,0,9,9,306,41,50,대건종합건설(주),HT001,106.69,82.15,77,3,2,1,계단식,33450,128970,6690,88830,0,0,0,,,,,,,,,,,,,,,
5,강진노블레스,108A㎡,부산시 사하구 괴정동,2638010100,772-29,부산시 사하구 승학로 191,35.1008,128.986094,46,0,9,9,306,41,50,대건종합건설(주),HT001,108.16,83.29,77,3,2,7,계단식,33900,130140,6780,89460,0,0,0,,,,,,,,,,,,,,,
6,강진노블레스,109B㎡,부산시 사하구 괴정동,2638010100,772-29,부산시 사하구 승학로 191,35.1008,128.986094,46,0,9,9,306,41,50,대건종합건설(주),HT001,109.92,84.62,77,3,2,19,계단식,35250,133650,7050,91350,0,0,0,,,,,,,,,,,,,,,
7,강진노블레스,110C㎡,부산시 사하구 괴정동,2638010100,772-29,부산시 사하구 승학로 191,35.1008,128.986094,46,0,9,9,306,41,50,대건종합건설(주),HT001,110.08,84.88,77,3,2,6,계단식,35700,134820,7140,91980,0,0,0,,,,,,,,,,,,,,,
8,강진노블레스,122㎡,부산시 사하구 괴정동,2638010100,772-29,부산시 사하구 승학로 191,35.1008,128.986094,46,0,9,9,306,41,50,대건종합건설(주),HT001,122.41,94.17,77,3,2,1,계단식,37500,139500,7500,94500,0,0,0,,,,,,,,,,,,,,,
9,강진노블레스,149,부산시 사하구 괴정동,2638010100,772-29,부산시 사하구 승학로 191,35.1008,128.986094,46,0,9,9,306,41,50,대건종합건설(주),HT001,149.37,115.62,77,3,2,7,계단식,55500,186300,11100,119700,0,0,0,,,,,,,,,,,,,,,
0,경성스마트W(도시형),62D㎡,부산시 사하구 괴정동,2638010100,258,부산시 사하구 낙동대로 180,35.101894,128.996636,182,0,15,15,562,74,126,(주)경성리츠,HT001,62.67,44.55,71,2,1,12,계단식,23850,95400,4770,66780,0,0,0,,141681,162356,,"1억 8,000",,,,,,,,,,
1,경성스마트W(도시형),67A2㎡,부산시 사하구 괴정동,2638010100,258,부산시 사하구 낙동대로 180,35.101894,128.996636,182,0,15,15,562,74,126,(주)경성리츠,HT001,67.97,49.76,73,2,1,14,계단식,31200,123120,6240,85680,0,0,0,,158248,181340,,,,,,,,,,,,
2,경성스마트W(도시형),67A3㎡,부산시 사하구 괴정동,2638010100,258,부산시 사하구 낙동대로 180,35.101894,128.996636,182,0,15,15,562,74,126,(주)경성리츠,HT001,67.97,49.76,73,2,1,14,계단식,31200,123120,6240,85680,0,0,0,,158248,181340,,,,,,,,,,,,
3,경성스마트W(도시형),67F㎡,부산시 사하구 괴정동,2638010100,258,부산시 사하구 낙동대로 180,35.101894,128.996636,182,0,15,15,562,74,126,(주)경성리츠,HT001,67.52,49.67,74,2,1,14,계단식,31200,123120,6240,85680,0,0,0,,157936,180983,2억,"2억 1,500",,,,,,,,,,
4,경성스마트W(도시형),68A㎡,부산시 사하구 괴정동,2638010100,258,부산시 사하구 낙동대로 180,35.101894,128.996636,182,0,15,15,562,74,126,(주)경성리츠,HT001,68.24,49.93,73,2,1,62,계단식,31200,123120,6240,85680,0,0,0,,158760,181928,"1억 9,500","2억 2,500",,"1억 6,500",,,,,,,,
5,경성스마트W(도시형),68B㎡,부산시 사하구 괴정동,2638010100,258,부산시 사하구 낙동대로 180,35.101894,128.996636,182,0,15,15,562,74,126,(주)경성리츠,HT001,68.57,49.91,73,2,1,28,계단식,31200,123120,6240,85680,0,0,0,,158711,181872,,"2억 2,000",,,,"2,000/65",,"2,000/65",,,,
6,경성스마트W(도시형),68A1㎡,부산시 사하구 괴정동,2638010100,258,부산시 사하구 낙동대로 180,35.101894,128.996636,182,0,15,15,562,74,126,(주)경성리츠,HT001,68.24,49.93,73,2,1,12,계단식,29700,118800,5940,83160,0,0,0,,158760,181928,"1억 8,500","1억 9,500",,"1억 6,500",,"5,000/80",,"5,000/80",,,,
7,경성스마트W(도시형),68C㎡,부산시 사하구 괴정동,2638010100,258,부산시 사하구 낙동대로 180,35.101894,128.996636,182,0,15,15,562,74,126,(주)경성리츠,HT001,68.84,49.84,72,2,1,12,계단식,31200,123120,6240,85680,0,0,0,,158475,181601,,,,,,,,,,,,
8,경성스마트W(도시형),69E,부산시 사하구 괴정동,2638010100,258,부산시 사하구 낙동대로 180,35.101894,128.996636,182,0,15,15,562,74,126,(주)경성리츠,HT001,69.07,49.98,72,2,1,14,계단식,31200,123120,6240,85680,0,0,0,,158936,182130,,"2억 3,500",,,,,,,,,,
0,경성스마트W2차(주상복합),75D1㎡,부산시 사하구 괴정동,2638010100,263-1,부산시 사하구 낙동대로 182,35.101795,128.996141,123,0,17,12,568,73,118,(주)경성리츠,HT001,75.51,58.85,78,2,1,32,계단식,46950,164070,9390,107730,0,0,0,,,,"2억 6,300","2억 6,500",,,,,,,,,,
1,경성스마트W2차(주상복합),76D㎡,부산시 사하구 괴정동,2638010100,263-1,부산시 사하구 낙동대로 182,35.101795,128.996141,123,0,17,12,568,73,118,(주)경성리츠,HT001,76.11,58.89,77,2,1,21,계단식,40200,146520,8040,98280,0,0,0,,,,"2억 5,000","2억 6,000",,2억,,,,,,,,
2,경성스마트W2차(주상복합),81A㎡,부산시 사하구 괴정동,2638010100,263-1,부산시 사하구 낙동대로 182,35.101795,128.996141,123,0,17,12,568,73,118,(주)경성리츠,HT001,81.36,62.02,76,3,2,22,계단식,52800,179280,10560,115920,0,0,0,,,,,"2억 8,000",,"2억 1,000",,,,,,,,
3,경성스마트W2차(주상복합),85C㎡,부산시 사하구 괴정동,2638010100,263-1,부산시 사하구 낙동대로 182,35.101795,128.996141,123,0,17,12,568,73,118,(주)경성리츠,HT001,85.89,65.73,77,3,2,16,계단식,54600,183960,10920,118440,0,0,0,,,,,"2억 8,000",,,,,,,,,,
4,경성스마트W2차(주상복합),93B1㎡,부산시 사하구 괴정동,2638010100,263-1,부산시 사하구 낙동대로 182,35.101795,128.996141,123,0,17,12,568,73,118,(주)경성리츠,HT001,93.19,72.04,77,3,2,16,계단식,64950,210870,12990,132930,0,0,0,,,,,,,,,,,,,,,
