,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,M-하우스(도시형),60,부산시 사하구 당리동,2638010200,422-9,부산시 사하구 마하로5번길 25,35.101723,128.979565,8,0,7,7,350,59,5,아이디경인(주),HT001,60.59,49.99,83,2,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
0,경보이리스힐당리,87㎡,부산시 사하구 당리동,2638010200,577,부산시 사하구 승학로71번길 146,35.108521,128.980133,279,0,26,18,239,54,294,(주)경보종합건설,HT001,87.94,66.02,75,3,2,162,계단식,40650,147690,8130,98910,0,0,0,,171190,176845,2억,"2억 4,500",,"1억 8,000",,,,,,,,
1,경보이리스힐당리,94㎡,부산시 사하구 당리동,2638010200,577,부산시 사하구 승학로71번길 146,35.108521,128.980133,279,0,26,18,239,54,294,(주)경보종합건설,HT001,94.49,71.02,75,3,2,50,계단식,49650,171090,9930,111510,0,0,0,,184157,190241,"2억 3,500","2억 7,000","1억 9,000",2억,,,,,,,,
2,경보이리스힐당리,103,부산시 사하구 당리동,2638010200,577,부산시 사하구 승학로71번길 146,35.108521,128.980133,279,0,26,18,239,54,294,(주)경보종합건설,HT001,103.84,78.31,75,3,2,67,계단식,58650,194490,11730,124110,0,0,0,,203053,209760,"2억 7,500","3억 2,000",,,,,,,,,,
0,경성리치W(주상복합),176A㎡,부산시 사하구 당리동,2638010200,321-1,부산시 사하구 낙동대로 388,35.10327,128.97631,84,0,15,15,486,58,199,(주)경성하우징,HT001,176.9,137.1,78,4,2,1,계단식,105900,317340,21180,190260,0,0,0,,,,,,,,,,,,,,,
1,경성리치W(주상복합),178B,부산시 사하구 당리동,2638010200,321-1,부산시 사하구 낙동대로 388,35.10327,128.97631,84,0,15,15,486,58,199,(주)경성하우징,HT001,178.33,138.15,77,4,2,83,계단식,111750,332550,22350,198450,0,0,0,,,,"4억 9,000","5억 5,000",,,,,,,,,,
0,궁전맨션,69㎡,부산시 사하구 당리동,2638010200,316-10,부산시 사하구 낙동대로410번길 7,35.104434,128.973633,85,0,5,5,0,0,0,주식회사 오성개발,HT001,69.97,56.52,81,3,1,5,계단식,37050,138330,7410,93870,0,0,0,,,,,,,,,,,,,,,
1,궁전맨션,90㎡,부산시 사하구 당리동,2638010200,316-10,부산시 사하구 낙동대로410번길 7,35.104434,128.973633,85,0,5,5,0,0,0,주식회사 오성개발,HT001,90.88,75.51,83,3,1,12,계단식,58650,194490,11730,124110,0,0,0,,,,,,,,,"1억 5,000/30",,"1억 5,000/30",,,,
2,궁전맨션,97㎡,부산시 사하구 당리동,2638010200,316-10,부산시 사하구 낙동대로410번길 7,35.104434,128.973633,85,0,5,5,0,0,0,주식회사 오성개발,HT001,97.43,81.45,84,3,1,25,계단식,74850,236610,14970,146790,0,0,0,,,,,,,,,,,,,,,
3,궁전맨션,99A㎡,부산시 사하구 당리동,2638010200,316-10,부산시 사하구 낙동대로410번길 7,35.104434,128.973633,85,0,5,5,0,0,0,주식회사 오성개발,HT001,99.91,83.7,84,3,1,20,계단식,75750,238950,15150,148050,0,0,0,,,,"3억 3,000","3억 5,000",,,,,,,,,,
4,궁전맨션,100B㎡,부산시 사하구 당리동,2638010200,316-10,부산시 사하구 낙동대로410번길 7,35.104434,128.973633,85,0,5,5,0,0,0,주식회사 오성개발,HT001,100.41,84.15,84,3,1,20,계단식,75750,238950,15150,148050,0,0,0,,,,,,,"2억 2,000",,,,,,,,
