,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,H한영뷰(도시형),18㎡,부산시 사하구 하단동,2638010300,870-74,부산시 사하구 낙동남로1357번길 17,35.107314,128.960051,21,0,10,9,397,59,13,(주)다민건설,HT001,18.36,10,54,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
1,H한영뷰(도시형),19A㎡,부산시 사하구 하단동,2638010300,870-74,부산시 사하구 낙동남로1357번길 17,35.107314,128.960051,21,0,10,9,397,59,13,(주)다민건설,HT001,19.9,10.77,54,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,H한영뷰(도시형),21C㎡,부산시 사하구 하단동,2638010300,870-74,부산시 사하구 낙동남로1357번길 17,35.107314,128.960051,21,0,10,9,397,59,13,(주)다민건설,HT001,21.93,11.74,54,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
3,H한영뷰(도시형),21B㎡,부산시 사하구 하단동,2638010300,870-74,부산시 사하구 낙동남로1357번길 17,35.107314,128.960051,21,0,10,9,397,59,13,(주)다민건설,HT001,21.12,11.46,54,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
4,H한영뷰(도시형),22D㎡,부산시 사하구 하단동,2638010300,870-74,부산시 사하구 낙동남로1357번길 17,35.107314,128.960051,21,0,10,9,397,59,13,(주)다민건설,HT001,22.17,12.06,54,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
5,H한영뷰(도시형),23E,부산시 사하구 하단동,2638010300,870-74,부산시 사하구 낙동남로1357번길 17,35.107314,128.960051,21,0,10,9,397,59,13,(주)다민건설,HT001,23.04,12.61,55,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,JK캐슬(도시형),16㎡,부산시 사하구 하단동,2638010300,497-4,부산시 사하구 낙동대로516번길 25,35.111913,128.965824,28,0,13,5,459,58,14,(주)다민건설,HT001,16.65,12.4,74,1,1,12,계단식,,,,,,,,,,,,,,,,,,,,,,
1,JK캐슬(도시형),20,부산시 사하구 하단동,2638010300,497-4,부산시 사하구 낙동대로516번길 25,35.111913,128.965824,28,0,13,5,459,58,14,(주)다민건설,HT001,20.52,15.28,74,1,1,16,계단식,,,,,,,,,,,,,,,,,,,,,,
0,KCB센트리움(주상복합),92㎡,부산시 사하구 하단동,2638010300,589-11,부산시 사하구 하신중앙로335번길 2,35.105679,128.966672,24,0,15,15,843,78,24,코리아건설뱅크(주),HT001,92.53,80.03,86,3,2,12,계단식,,,,,,,,,,,,"2억 6,000",,,,,,,,,,
1,KCB센트리움(주상복합),98㎡,부산시 사하구 하단동,2638010300,589-11,부산시 사하구 하신중앙로335번길 2,35.105679,128.966672,24,0,15,15,843,78,24,코리아건설뱅크(주),HT001,98.19,84.92,86,3,2,11,계단식,,,,,,,,,,,"2억 6,000","2억 7,000",,,,,,,,,,
