,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,H드림(도시형),21A㎡,부산시 서구 토성동1가,2614011200,31-4,부산시 서구 구덕로124번길 48,35.098811,129.022796,20,0,5,5,434,76,5,(주)진광종합건설,HT001,21.62,16.6,77,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,H드림(도시형),22B㎡,부산시 서구 토성동1가,2614011200,31-4,부산시 서구 구덕로124번길 48,35.098811,129.022796,20,0,5,5,434,76,5,(주)진광종합건설,HT001,22.54,17.31,77,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,H드림(도시형),23C㎡,부산시 서구 토성동1가,2614011200,31-4,부산시 서구 구덕로124번길 48,35.098811,129.022796,20,0,5,5,434,76,5,(주)진광종합건설,HT001,23.12,17.76,77,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
3,H드림(도시형),24A㎡,부산시 서구 토성동1가,2614011200,31-4,부산시 서구 구덕로124번길 48,35.098811,129.022796,20,0,5,5,434,76,5,(주)진광종합건설,HT001,24.96,19.17,77,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
4,H드림(도시형),25B,부산시 서구 토성동1가,2614011200,31-4,부산시 서구 구덕로124번길 48,35.098811,129.022796,20,0,5,5,434,76,5,(주)진광종합건설,HT001,25.19,19.35,77,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,금호아트빌,89㎡,부산시 서구 토성동1가,2614011200,12-7,부산시 서구 까치고개로 243,35.099769,129.02233,19,0,8,7,578,83,14,주식회사도완종합건설,HT001,89.69,77.04,86,3,2,1,계단식,37500,139500,7500,94500,0,0,0,,,,,,,,,,,,,,,
1,금호아트빌,91㎡,부산시 서구 토성동1가,2614011200,12-7,부산시 서구 까치고개로 243,35.099769,129.02233,19,0,8,7,578,83,14,주식회사도완종합건설,HT001,91.85,64.93,71,3,2,12,계단식,31200,123120,6240,85680,0,0,0,,,,,,,,,,,,,,,
2,금호아트빌,96,부산시 서구 토성동1가,2614011200,12-7,부산시 서구 까치고개로 243,35.099769,129.02233,19,0,8,7,578,83,14,주식회사도완종합건설,HT001,96.76,83.12,86,3,2,6,계단식,39750,145350,7950,97650,0,0,0,,,,,"2억 4,500",,,,,,,,,,
0,목연정빌라8차(도시형),73㎡,부산시 서구 토성동1가,2614011200,17-2,부산시 서구 구덕로134번길 46-5,35.099248,129.022362,7,0,8,8,485,73,5,정상종합건설(주),HT001,73.17,60.88,83,3,2,3,계단식,,,,,,,,,,,,,,,,,,,,,,
1,목연정빌라8차(도시형),89,부산시 서구 토성동1가,2614011200,17-2,부산시 서구 구덕로134번길 46-5,35.099248,129.022362,7,0,8,8,485,73,5,정상종합건설(주),HT001,89.09,74.13,83,3,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,봄여름가을겨울(주상복합),115A㎡,부산시 서구 토성동1가,2614011200,51-1,부산시 서구 보수대로 15,35.09848,129.02455,201,0,20,20,737,84,318,수근종합건설(주),HT001,115.95,84.8,73,3,2,17,계단식,,,,,,,,,261053,263210,4억,"4억 5,000",,,,,,,,,,
1,봄여름가을겨울(주상복합),115C㎡,부산시 서구 토성동1가,2614011200,51-1,부산시 서구 보수대로 15,35.09848,129.02455,201,0,20,20,737,84,318,수근종합건설(주),HT001,115.99,84.82,73,3,2,16,계단식,,,,,,,,,261115,263272,,,,,,,,,,,,
2,봄여름가을겨울(주상복합),116B㎡,부산시 서구 토성동1가,2614011200,51-1,부산시 서구 보수대로 15,35.09848,129.02455,201,0,20,20,737,84,318,수근종합건설(주),HT001,116.06,84.87,73,3,2,85,계단식,,,,,,,,,261269,263428,,"3억 9,000",,,,,,,,,,
3,봄여름가을겨울(주상복합),116D㎡,부산시 서구 토성동1가,2614011200,51-1,부산시 서구 보수대로 15,35.09848,129.02455,201,0,20,20,737,84,318,수근종합건설(주),HT001,116.03,84.85,73,3,2,33,계단식,,,,,,,,,261207,263365,"3억 9,000","4억 3,000",,,,,,,,,,
4,봄여름가을겨울(주상복합),116E㎡,부산시 서구 토성동1가,2614011200,51-1,부산시 서구 보수대로 15,35.09848,129.02455,201,0,20,20,737,84,318,수근종합건설(주),HT001,116.09,84.89,73,3,2,16,계단식,,,,,,,,,261330,263489,,,,,,,,,,,,
5,봄여름가을겨울(주상복합),167A㎡,부산시 서구 토성동1가,2614011200,51-1,부산시 서구 보수대로 15,35.09848,129.02455,201,0,20,20,737,84,318,수근종합건설(주),HT001,167.13,122.23,73,4,2,33,계단식,,,,,,,,,376280,379389,,7억,,,,,,,,,,
6,봄여름가을겨울(주상복합),167B,부산시 서구 토성동1가,2614011200,51-1,부산시 서구 보수대로 15,35.09848,129.02455,201,0,20,20,737,84,318,수근종합건설(주),HT001,167.52,122.31,73,4,2,1,계단식,,,,,,,,,376526,379637,,,,,,,,,,,,
0,수근에이스타운,82㎡,부산시 서구 토성동1가,2614011200,5-1,부산시 서구 보수대로 41-12,35.10051,129.02313,60,0,15,15,842,84,42,수근종합건설주식회사,HT001,82.58,69.65,84,3,2,12,계단식,37500,139500,7500,94500,0,0,0,,,,,"2억 1,500",,,,,,,,,,
1,수근에이스타운,97㎡,부산시 서구 토성동1가,2614011200,5-1,부산시 서구 보수대로 41-12,35.10051,129.02313,60,0,15,15,842,84,42,수근종합건설주식회사,HT001,97.2,81.98,84,3,2,12,계단식,53250,180450,10650,116550,0,0,0,,,,,"2억 6,500",,,,,,,,,,
2,수근에이스타운,100A㎡,부산시 서구 토성동1가,2614011200,5-1,부산시 서구 보수대로 41-12,35.10051,129.02313,60,0,15,15,842,84,42,수근종합건설주식회사,HT001,100.44,84.71,84,3,2,12,계단식,58650,194490,11730,124110,0,0,0,,,,,,,,,,,,,,,
3,수근에이스타운,100B㎡,부산시 서구 토성동1가,2614011200,5-1,부산시 서구 보수대로 41-12,35.10051,129.02313,60,0,15,15,842,84,42,수근종합건설주식회사,HT001,100.6,84.84,84,3,2,12,계단식,58650,194490,11730,124110,0,0,0,,,,,,,,,,,,,,,
4,수근에이스타운,100C,부산시 서구 토성동1가,2614011200,5-1,부산시 서구 보수대로 41-12,35.10051,129.02313,60,0,15,15,842,84,42,수근종합건설주식회사,HT001,100.7,84.93,84,3,2,12,계단식,58650,194490,11730,124110,0,0,0,,,,,,,,,,,,,,,
0,토성동경동리인타워,89A㎡,부산시 서구 토성동1가,2614011200,25-1,부산시 서구 보수대로 27,35.099322,129.024113,452,0,49,46,1330,73,542,경동건설(주),HT001,89.99,63.75,71,3,2,46,계단식,109500,326700,21900,195300,0,0,0,,175429,184076,,5억 500,,3억,"5,000/100","7,000/80","5,000/100","7,000/80",,,,
