,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,KD도무스(도시형),28A㎡,부산시 수영구 광안동,2650010400,536-17,부산시 수영구 광일로29번길 26-7,35.161158,129.110005,15,0,5,4,206,56,8,(주)디아이건설,HT001,28.24,20.38,72,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,KD도무스(도시형),29B㎡,부산시 수영구 광안동,2650010400,536-17,부산시 수영구 광일로29번길 26-7,35.161158,129.110005,15,0,5,4,206,56,8,(주)디아이건설,HT001,29.57,21.34,72,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
2,KD도무스(도시형),32A㎡,부산시 수영구 광안동,2650010400,536-17,부산시 수영구 광일로29번길 26-7,35.161158,129.110005,15,0,5,4,206,56,8,(주)디아이건설,HT001,32.38,23.37,72,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,KD도무스(도시형),34A㎡,부산시 수영구 광안동,2650010400,536-17,부산시 수영구 광일로29번길 26-7,35.161158,129.110005,15,0,5,4,206,56,8,(주)디아이건설,HT001,34.87,25.17,72,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
4,KD도무스(도시형),34B㎡,부산시 수영구 광안동,2650010400,536-17,부산시 수영구 광일로29번길 26-7,35.161158,129.110005,15,0,5,4,206,56,8,(주)디아이건설,HT001,34.1,24.61,72,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
5,KD도무스(도시형),36B㎡,부산시 수영구 광안동,2650010400,536-17,부산시 수영구 광일로29번길 26-7,35.161158,129.110005,15,0,5,4,206,56,8,(주)디아이건설,HT001,36.01,25.99,72,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
6,KD도무스(도시형),37C,부산시 수영구 광안동,2650010400,536-17,부산시 수영구 광일로29번길 26-7,35.161158,129.110005,15,0,5,4,206,56,8,(주)디아이건설,HT001,37.62,27.15,72,1,1,6,계단식,,,,,,,,,,,,,,,,,,,,,,
0,ONU월드(도시형),21㎡,부산시 수영구 광안동,2650010400,688-16,부산시 수영구 광서로10번길 13-8,35.164909,129.113345,20,0,5,5,183,37,10,예광종합건설(주),HT001,21.44,16.34,76,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,ONU월드(도시형),22㎡,부산시 수영구 광안동,2650010400,688-16,부산시 수영구 광서로10번길 13-8,35.164909,129.113345,20,0,5,5,183,37,10,예광종합건설(주),HT001,22.77,17.36,76,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,ONU월드(도시형),26㎡,부산시 수영구 광안동,2650010400,688-16,부산시 수영구 광서로10번길 13-8,35.164909,129.113345,20,0,5,5,183,37,10,예광종합건설(주),HT001,26.78,20.41,76,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
3,ONU월드(도시형),29,부산시 수영구 광안동,2650010400,688-16,부산시 수영구 광서로10번길 13-8,35.164909,129.113345,20,0,5,5,183,37,10,예광종합건설(주),HT001,29.22,22.27,76,1,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
0,W-파크Ⅱ(도시형),51,부산시 수영구 광안동,2650010400,158-4,부산시 수영구 광남로 167,35.156255,129.11871,4,0,14,5,499,56,4,(주)월드뷰종합건설,HT001,51.43,42.96,84,1,1,4,복도식,,,,,,,,,,,"2억 4,000","2억 6,000",,,,,,,,,,
0,W-파크Ⅱ(주상복합),65A㎡,부산시 수영구 광안동,2650010400,158-4,부산시 수영구 광남로 167,35.156247,129.118699,18,0,14,5,499,56,18,(주)월드뷰종합건설,HT001,65.25,54.5,84,2,1,6,계단식,,,,,,,,,,,"2억 6,000","2억 7,000",,"1억 8,000",,,,,,,,
1,W-파크Ⅱ(주상복합),67B㎡,부산시 수영구 광안동,2650010400,158-4,부산시 수영구 광남로 167,35.156247,129.118699,18,0,14,5,499,56,18,(주)월드뷰종합건설,HT001,67.45,56.34,84,2,1,6,계단식,,,,,,,,,,,"2억 3,000","2억 5,000","1억 7,000","1억 7,500",,"5,000/50",,"5,000/50",,,,
2,W-파크Ⅱ(주상복합),71,부산시 수영구 광안동,2650010400,158-4,부산시 수영구 광남로 167,35.156247,129.118699,18,0,14,5,499,56,18,(주)월드뷰종합건설,HT001,71.43,59.66,84,2,1,6,계단식,,,,,,,,,,,"2억 8,500","3억 3,000",,,,,,,,,,
0,W-하우스10차(도시형),51A㎡,부산시 수영구 광안동,2650010400,380-29,부산시 수영구 수영로521번길 13-1,35.15238,129.110832,12,0,9,4,391,57,9,(주)월드뷰,HT001,51.88,44.14,85,1,1,3,복도식,,,,,,,,,,,,,,,,,,,,,,
