,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,남일,34㎡,부산시 영도구 남항동3가,2620010700,1-2,부산시 영도구 남항서로82번길 12,35.08749,129.03615,40,0,5,5,0,0,0,,HT001,34.71,34.71,100,3,1,4,복도식,8055,32220,1611,22554,0,0,0,,,,,,,,,,,,,,,
1,남일,56㎡,부산시 영도구 남항동3가,2620010700,1-2,부산시 영도구 남항서로82번길 12,35.08749,129.03615,40,0,5,5,0,0,0,,HT001,56.53,56.53,100,3,1,20,복도식,14423,57691,2885,40383,0,0,0,,,,,,,,,,,,,,,
2,남일,57,부산시 영도구 남항동3가,2620010700,1-2,부산시 영도구 남항서로82번길 12,35.08749,129.03615,40,0,5,5,0,0,0,,HT001,57.88,57.88,100,3,1,16,계단식,14423,57691,2885,40383,0,0,0,,,,,"8,500",,,,,,,,,,
0,남항화랑맨션,100㎡,부산시 영도구 남항동3가,2620010700,100,부산시 영도구 절영로94번길 14,35.085917,129.039024,70,0,5,5,0,0,0,,HT001,100.01,83.16,83,3,2,40,계단식,29025,116100,5805,81270,0,0,0,,,,,"1억 8,500",,,,,,,,,,
1,남항화랑맨션,101,부산시 영도구 남항동3가,2620010700,100,부산시 영도구 절영로94번길 14,35.085917,129.039024,70,0,5,5,0,0,0,,HT001,101.11,84.15,83,3,2,30,계단식,30300,120780,6060,84420,0,0,0,,,,,,,,,,,,,,,
0,무궁화,75㎡,부산시 영도구 남항동3가,2620010700,34-1,부산시 영도구 남항남로19번길 30,35.086642,129.037487,70,0,5,5,0,0,0,,HT001,75.6,69.84,92,3,1,10,계단식,18855,75420,3771,52794,0,0,0,,,,,"1억 6,000",,,,,,,,,,
1,무궁화,82㎡,부산시 영도구 남항동3가,2620010700,34-1,부산시 영도구 남항남로19번길 30,35.086642,129.037487,70,0,5,5,0,0,0,,HT001,82.8,75.6,91,3,1,40,계단식,20678,82711,4136,57897,0,0,0,,,,,,,,,,,,,,,
2,무궁화,90㎡,부산시 영도구 남항동3가,2620010700,34-1,부산시 영도구 남항남로19번길 30,35.086642,129.037487,70,0,5,5,0,0,0,,HT001,90.18,82.98,92,3,1,10,계단식,23175,92700,4635,64890,0,0,0,,,,,,,,,,,,,,,
3,무궁화,91,부산시 영도구 남항동3가,2620010700,34-1,부산시 영도구 남항남로19번길 30,35.086642,129.037487,70,0,5,5,0,0,0,,HT001,91.17,83.97,92,3,1,10,계단식,23175,92700,4635,64890,0,0,0,,,,,,,,,,,,,,,
0,영도화랑맨션,70㎡,부산시 영도구 남항동3가,2620010700,31,부산시 영도구 남항남로19번길 29,35.086667,129.036686,66,0,6,6,166,37,0,,HT001,70.61,57.04,81,2,1,30,계단식,,,,,,,,,,,,,,,,,,,,,,
