,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,공작,55㎡,부산시 영도구 봉래동5가,2620011900,130-1,부산시 영도구 봉래길 121,35.09241,129.05305,48,0,4,1,0,0,0,,HT001,55.39,47.93,87,3,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
1,공작,58A㎡,부산시 영도구 봉래동5가,2620011900,130-1,부산시 영도구 봉래길 121,35.09241,129.05305,48,0,4,1,0,0,0,,HT001,58.58,50.68,87,3,1,27,계단식,,,,,,,,,,,,"5,700",,,,,,,,,,
2,공작,59B㎡,부산시 영도구 봉래동5가,2620011900,130-1,부산시 영도구 봉래길 121,35.09241,129.05305,48,0,4,1,0,0,0,,HT001,59.11,51.14,87,3,1,9,계단식,,,,,,,,,,,,,,,,,,,,,,
3,공작,66A㎡,부산시 영도구 봉래동5가,2620011900,130-1,부산시 영도구 봉래길 121,35.09241,129.05305,48,0,4,1,0,0,0,,HT001,66.67,57.85,87,3,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
4,공작,67B㎡,부산시 영도구 봉래동5가,2620011900,130-1,부산시 영도구 봉래길 121,35.09241,129.05305,48,0,4,1,0,0,0,,HT001,67.67,58.58,87,3,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
5,공작,68㎡,부산시 영도구 봉래동5가,2620011900,130-1,부산시 영도구 봉래길 121,35.09241,129.05305,48,0,4,1,0,0,0,,HT001,68.2,59.01,87,3,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
6,공작,74,부산시 영도구 봉래동5가,2620011900,130-1,부산시 영도구 봉래길 121,35.09241,129.05305,48,0,4,1,0,0,0,,HT001,74.94,65.95,88,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,봉산상가(주상복합),57B㎡,부산시 영도구 봉래동5가,2620011900,140-1,부산시 영도구 봉래길 113,35.092179,129.05275,18,0,5,4,0,0,0,,HT001,57.26,51.14,89,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
1,봉산상가(주상복합),57A㎡,부산시 영도구 봉래동5가,2620011900,140-1,부산시 영도구 봉래길 113,35.092179,129.05275,18,0,5,4,0,0,0,,HT001,57.25,51.13,89,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,봉산상가(주상복합),59㎡,부산시 영도구 봉래동5가,2620011900,140-1,부산시 영도구 봉래길 113,35.092179,129.05275,18,0,5,4,0,0,0,,HT001,59.14,53.02,90,2,1,12,계단식,,,,,,,,,,,,,,,,,,,,,,
3,봉산상가(주상복합),69,부산시 영도구 봉래동5가,2620011900,140-1,부산시 영도구 봉래길 113,35.092179,129.05275,18,0,5,4,0,0,0,,HT001,69.72,63.6,91,2,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
0,삼신,84㎡,부산시 영도구 봉래동5가,2620011900,177-1,부산시 영도구 봉래길 172,35.0916,129.054241,60,0,6,6,152,29,18,동성산업주식회사,HT001,84.36,59.59,71,3,1,30,계단식,12623,50491,2525,35343,0,0,0,,,,,,,,,,,,,,,
1,삼신,89A㎡,부산시 영도구 봉래동5가,2620011900,177-1,부산시 영도구 봉래길 172,35.0916,129.054241,60,0,6,6,152,29,18,동성산업주식회사,HT001,89.97,64.25,71,3,1,6,계단식,13073,52291,2615,36603,0,0,0,,,,,,,,,,,,,,,
2,삼신,89B㎡,부산시 영도구 봉래동5가,2620011900,177-1,부산시 영도구 봉래길 172,35.0916,129.054241,60,0,6,6,152,29,18,동성산업주식회사,HT001,89.8,70.31,78,3,1,6,계단식,13298,53191,2660,37233,0,0,0,,,,,,,,,,,,,,,
3,삼신,95㎡,부산시 영도구 봉래동5가,2620011900,177-1,부산시 영도구 봉래길 172,35.0916,129.054241,60,0,6,6,152,29,18,동성산업주식회사,HT001,95.5,75.17,79,3,1,12,계단식,14355,57420,2871,40194,0,0,0,,,,,,,,,,,,,,,
4,삼신,105,부산시 영도구 봉래동5가,2620011900,177-1,부산시 영도구 봉래길 172,35.0916,129.054241,60,0,6,6,152,29,18,동성산업주식회사,HT001,105.67,83.83,79,3,2,6,계단식,15773,63091,3155,44163,0,0,0,,,,,,,,,,,,,,,
0,성도맨션,44A㎡,부산시 영도구 봉래동5가,2620011900,132-3,부산시 영도구 찬새미길 134,35.092576,129.05341,34,0,5,4,0,0,0,,HT001,44.69,37.76,84,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,성도맨션,46B㎡,부산시 영도구 봉래동5가,2620011900,132-3,부산시 영도구 찬새미길 134,35.092576,129.05341,34,0,5,4,0,0,0,,HT001,46.45,38.39,83,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
