,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,샛별,47B㎡,부산시 영도구 신선동2가,2620011300,177-22,부산시 영도구 중복길 306,35.084622,129.047171,62,0,5,4,0,0,0,,HT001,47.9,40.5,85,2,1,29,계단식,8595,34380,1719,24066,0,0,0,,,,,,,,,,,,,,,
1,샛별,47A㎡,부산시 영도구 신선동2가,2620011300,177-22,부산시 영도구 중복길 306,35.084622,129.047171,62,0,5,4,0,0,0,,HT001,47.82,40.42,85,2,1,1,계단식,8595,34380,1719,24066,0,0,0,,,,,,,,,,,,,,,
2,샛별,51B㎡,부산시 영도구 신선동2가,2620011300,177-22,부산시 영도구 중복길 306,35.084622,129.047171,62,0,5,4,0,0,0,,HT001,51.73,40.46,78,2,1,15,계단식,,,,,,,,,,,,,,,,,,,,,,
3,샛별,51A㎡,부산시 영도구 신선동2가,2620011300,177-22,부산시 영도구 중복길 306,35.084622,129.047171,62,0,5,4,0,0,0,,HT001,51.64,40.39,78,2,1,9,계단식,,,,,,,,,,,,,,,,,,,,,,
4,샛별,52C㎡,부산시 영도구 신선동2가,2620011300,177-22,부산시 영도구 중복길 306,35.084622,129.047171,62,0,5,4,0,0,0,,HT001,52.16,40.85,78,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
5,샛별,52D,부산시 영도구 신선동2가,2620011300,177-22,부산시 영도구 중복길 306,35.084622,129.047171,62,0,5,4,0,0,0,,HT001,52.43,41.12,78,2,1,4,계단식,,,,,,,,,,,,"6,800",,,,,,,,,,
0,신선,36,부산시 영도구 신선동2가,2620011300,141-1,부산시 영도구 중복길 384,35.0862,129.048052,220,0,5,5,0,0,50,시청,HT001,36.36,36.36,100,2,1,220,복도식,,,,,,,,,,,"3,500","5,000",,,,100/10,,100/10,,,,
0,영광그린파크,64㎡,부산시 영도구 신선동2가,2620011300,181-30,부산시 영도구 중복길 270,35.084155,129.047895,209,0,15,6,250,25,79,한남종합건설(주),HT001,64.98,53.44,82,2,1,36,계단식,11858,47431,2372,33201,0,0,0,,103139,109871,,"8,500",,,,,,,,,,
1,영광그린파크,84㎡,부산시 영도구 신선동2가,2620011300,181-30,부산시 영도구 중복길 270,35.084155,129.047895,209,0,15,6,250,25,79,한남종합건설(주),HT001,84.42,63.18,75,2,1,45,복도식,17595,70380,3519,49266,0,0,0,,121937,129895,,1억,,,,,,,,,,
2,영광그린파크,99㎡,부산시 영도구 신선동2가,2620011300,181-30,부산시 영도구 중복길 270,35.084155,129.047895,209,0,15,6,250,25,79,한남종합건설(주),HT001,99.58,74.52,75,3,2,15,복도식,23850,95400,4770,66780,0,0,0,,143823,153210,,"1억 6,000",,,,,,,,,,
3,영광그린파크,103㎡,부산시 영도구 신선동2가,2620011300,181-30,부산시 영도구 중복길 270,35.084155,129.047895,209,0,15,6,250,25,79,한남종합건설(주),HT001,103.73,84.85,82,3,2,110,계단식,24525,98100,4905,68670,0,0,0,,163760,174448,"1억 4,700",2억,,,,"2,000/50",,"2,000/50",,,,
4,영광그린파크,114,부산시 영도구 신선동2가,2620011300,181-30,부산시 영도구 중복길 270,35.084155,129.047895,209,0,15,6,250,25,79,한남종합건설(주),HT001,114.95,84.85,74,3,2,3,계단식,24525,98100,4905,68670,0,0,0,,163760,174448,,,,,,,,,,,,
