,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,신천지(주상복합),77㎡,부산시 중구 남포동6가,2611014100,3,부산시 중구 자갈치로 33,35.097043,129.027848,47,0,9,9,0,0,0,,HT001,77.87,62.25,80,3,2,9,계단식,,,,,,,,,,,,,,,,,,,,,,
1,신천지(주상복합),93A㎡,부산시 중구 남포동6가,2611014100,3,부산시 중구 자갈치로 33,35.097043,129.027848,47,0,9,9,0,0,0,,HT001,93.38,74.64,80,3,2,5,계단식,,,,,,,,,,,,,,,,,,,,,,
2,신천지(주상복합),93B㎡,부산시 중구 남포동6가,2611014100,3,부산시 중구 자갈치로 33,35.097043,129.027848,47,0,9,9,0,0,0,,HT001,93.85,75.01,80,3,2,3,계단식,,,,,,,,,,,,,,,,,,,,,,
3,신천지(주상복합),95A㎡,부산시 중구 남포동6가,2611014100,3,부산시 중구 자갈치로 33,35.097043,129.027848,47,0,9,9,0,0,0,,HT001,95.5,76.69,80,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
4,신천지(주상복합),96B㎡,부산시 중구 남포동6가,2611014100,3,부산시 중구 자갈치로 33,35.097043,129.027848,47,0,9,9,0,0,0,,HT001,96.11,76.79,80,3,2,5,계단식,,,,,,,,,,,,,,,,,,,,,,
5,신천지(주상복합),100㎡,부산시 중구 남포동6가,2611014100,3,부산시 중구 자갈치로 33,35.097043,129.027848,47,0,9,9,0,0,0,,HT001,100.34,80.2,80,3,2,3,계단식,,,,,,,,,,,,,,,,,,,,,,
6,신천지(주상복합),108㎡,부산시 중구 남포동6가,2611014100,3,부산시 중구 자갈치로 33,35.097043,129.027848,47,0,9,9,0,0,0,,HT001,108.08,86.38,80,3,2,5,계단식,,,,,,,,,,,,,,,,,,,,,,
7,신천지(주상복합),117A㎡,부산시 중구 남포동6가,2611014100,3,부산시 중구 자갈치로 33,35.097043,129.027848,47,0,9,9,0,0,0,,HT001,117.66,94.54,80,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
8,신천지(주상복합),118B㎡,부산시 중구 남포동6가,2611014100,3,부산시 중구 자갈치로 33,35.097043,129.027848,47,0,9,9,0,0,0,,HT001,118.58,94.78,80,3,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
9,신천지(주상복합),120A㎡,부산시 중구 남포동6가,2611014100,3,부산시 중구 자갈치로 33,35.097043,129.027848,47,0,9,9,0,0,0,,HT001,120.91,96.63,80,3,2,3,계단식,,,,,,,,,,,,,,,,,,,,,,
10,신천지(주상복합),120C㎡,부산시 중구 남포동6가,2611014100,3,부산시 중구 자갈치로 33,35.097043,129.027848,47,0,9,9,0,0,0,,HT001,120.72,96.99,80,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
11,신천지(주상복합),121B㎡,부산시 중구 남포동6가,2611014100,3,부산시 중구 자갈치로 33,35.097043,129.027848,47,0,9,9,0,0,0,,HT001,121.08,96.76,80,3,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
12,신천지(주상복합),140A㎡,부산시 중구 남포동6가,2611014100,3,부산시 중구 자갈치로 33,35.097043,129.027848,47,0,9,9,0,0,0,,HT001,140.84,112.56,80,3,2,3,계단식,,,,,,,,,,,,,,,,,,,,,,
13,신천지(주상복합),141B㎡,부산시 중구 남포동6가,2611014100,3,부산시 중구 자갈치로 33,35.097043,129.027848,47,0,9,9,0,0,0,,HT001,141.54,113.12,80,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
14,신천지(주상복합),147,부산시 중구 남포동6가,2611014100,3,부산시 중구 자갈치로 33,35.097043,129.027848,47,0,9,9,0,0,0,,HT001,147.67,118.02,80,3,2,3,계단식,,,,,,,,,,,,,,,,,,,,,,
