,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,부원,35㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,35.51,33.06,93,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,부원,46B㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,46.54,43.3,93,2,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
2,부원,47A㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,47.27,43.97,93,2,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
3,부원,48E㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,48.69,45.29,93,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
4,부원,49D㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,49.39,45.95,93,2,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
5,부원,49C㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,49.75,46.28,93,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
6,부원,50B㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,50.81,47.27,93,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
7,부원,51A㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,51.17,47.6,93,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
8,부원,53㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,53.29,49.59,93,3,1,9,계단식,,,,,,,,,,,,,,,,,,,,,,
9,부원,58D㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,58.64,54.54,93,3,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
10,부원,59C㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,59.34,55.21,93,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
11,부원,60A㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,60.4,56.2,93,3,1,2,계단식,,,,,,,,,,,,,,,,"1,000/30",,"1,000/30",,,,
12,부원,60B㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,60,55.87,93,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
13,부원,62㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,62.54,58.18,93,3,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
14,부원,65㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,65.03,60.5,93,3,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
15,부원,68B㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,68.56,63.8,93,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
16,부원,69A㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,69.65,64.79,93,3,2,1,계단식,,,,,,,,,,,,1억,,,,,,,,,,
17,부원,71㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,71.08,66.12,93,3,1,100,계단식,,,,,,,,,,,,,,,,500/20,,500/20,,,,
18,부원,121㎡,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,121.03,112.07,93,4,2,1,계단식,,,,,,,,,,,,,,"1억 1,000",,,,,,,,
19,부원,240,부산시 중구 대창동1가,2611010200,54-67,부산시 중구 중앙대로115번길 1-6,35.107982,129.035969,144,0,12,12,0,0,0,,HT001,240.16,229.42,96,5,3,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,선경뉴빌(주상복합),77D㎡,부산시 중구 대창동1가,2611010200,54-43,부산시 중구 동광길 102,35.107456,129.035448,44,0,15,15,656,60,62,일호개발주식회사,HT001,77.02,54.74,71,3,1,11,계단식,,,,,,,,,,,,,,,,,,,,,,
1,선경뉴빌(주상복합),87A㎡,부산시 중구 대창동1가,2611010200,54-43,부산시 중구 동광길 102,35.107456,129.035448,44,0,15,15,656,60,62,일호개발주식회사,HT001,87.78,63.69,73,3,2,11,계단식,,,,,,,,,,,,"2억 5,400",,,,,,,,,,
2,선경뉴빌(주상복합),89B㎡,부산시 중구 대창동1가,2611010200,54-43,부산시 중구 동광길 102,35.107456,129.035448,44,0,15,15,656,60,62,일호개발주식회사,HT001,89.73,64.88,72,3,2,11,계단식,,,,,,,,,,,"2억 5,000","2억 5,500",,,,,,,,,,
3,선경뉴빌(주상복합),96C,부산시 중구 대창동1가,2611010200,54-43,부산시 중구 동광길 102,35.107456,129.035448,44,0,15,15,656,60,62,일호개발주식회사,HT001,96.33,69.77,72,3,2,11,계단식,,,,,,,,,,,,,,,,,,,,,,
0,양지,58㎡,부산시 중구 대창동1가,2611010200,54-30,부산시 중구 중앙대로115번길 2,35.108237,129.0362,8,0,4,4,0,0,0,,HT001,58.12,58.12,100,2,1,1,계단식,11205,44820,2241,31374,0,0,0,,,,,,,,,,,,,,,
1,양지,67㎡,부산시 중구 대창동1가,2611010200,54-30,부산시 중구 중앙대로115번길 2,35.108237,129.0362,8,0,4,4,0,0,0,,HT001,67.11,67.11,100,3,1,2,계단식,13388,53551,2678,37485,0,0,0,,,,,,,,,,,,,,,
2,양지,68A㎡,부산시 중구 대창동1가,2611010200,54-30,부산시 중구 중앙대로115번길 2,35.108237,129.0362,8,0,4,4,0,0,0,,HT001,68.76,68.76,100,3,1,1,계단식,13343,53371,2669,37359,0,0,0,,,,,,,,,,,,,,,
3,양지,69B㎡,부산시 중구 대창동1가,2611010200,54-30,부산시 중구 중앙대로115번길 2,35.108237,129.0362,8,0,4,4,0,0,0,,HT001,69.09,69.09,100,3,1,1,계단식,13793,55171,2759,38619,0,0,0,,,,,,,,,,,,,,,
4,양지,69C㎡,부산시 중구 대창동1가,2611010200,54-30,부산시 중구 중앙대로115번길 2,35.108237,129.0362,8,0,4,4,0,0,0,,HT001,69.12,69.12,100,3,1,1,계단식,13793,55171,2759,38619,0,0,0,,,,,,,,,,,,,,,
5,양지,81,부산시 중구 대창동1가,2611010200,54-30,부산시 중구 중앙대로115번길 2,35.108237,129.0362,8,0,4,4,0,0,0,,HT001,81.62,81.62,100,3,2,2,계단식,16313,65251,3263,45675,0,0,0,,,,,,,,,,,,,,,
