,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,경우골드,128㎡,부산시 중구 대청동4가,2611011900,23,부산시 중구 중구로111번길 8,35.106701,129.031205,12,0,7,7,0,0,0,,HT001,128.32,108.27,84,3,2,1,계단식,32100,125460,6420,86940,0,0,0,,,,,,,,,,,,,,,
1,경우골드,139㎡,부산시 중구 대청동4가,2611011900,23,부산시 중구 중구로111번길 8,35.106701,129.031205,12,0,7,7,0,0,0,,HT001,139.21,118.35,85,3,2,1,계단식,37950,140670,7590,95130,0,0,0,,,,,,,,,,,,,,,
2,경우골드,143㎡,부산시 중구 대청동4가,2611011900,23,부산시 중구 중구로111번길 8,35.106701,129.031205,12,0,7,7,0,0,0,,HT001,143.77,122.01,85,3,2,5,계단식,43800,155880,8760,103320,0,0,0,,,,,,,,,,,,,,,
3,경우골드,154,부산시 중구 대청동4가,2611011900,23,부산시 중구 중구로111번길 8,35.106701,129.031205,12,0,7,7,0,0,0,,HT001,154.99,131.49,85,3,2,5,계단식,51450,175770,10290,114030,0,0,0,,,,,"2억 6,000",,,,,,,,,,
0,대청맨션(81-48),55㎡,부산시 중구 대청동4가,2611011900,81-48,부산시 중구 중구로75번길 14,35.104832,129.028457,40,0,5,5,0,0,0,대연주택,HT001,55.8,49.65,89,2,1,10,복도식,14828,59311,2966,41517,0,0,0,,,,,,,,,,,,,,,
1,대청맨션(81-48),67㎡,부산시 중구 대청동4가,2611011900,81-48,부산시 중구 중구로75번길 14,35.104832,129.028457,40,0,5,5,0,0,0,대연주택,HT001,67.21,60.46,90,2,1,5,복도식,19395,77580,3879,54306,0,0,0,,,,,,,,,,,,,,,
2,대청맨션(81-48),83A㎡,부산시 중구 대청동4가,2611011900,81-48,부산시 중구 중구로75번길 14,35.104832,129.028457,40,0,5,5,0,0,0,대연주택,HT001,83.04,76.23,92,3,1,20,복도식,26775,107100,5355,74970,0,0,0,,,,,,,,,,,,,,,
3,대청맨션(81-48),84B,부산시 중구 대청동4가,2611011900,81-48,부산시 중구 중구로75번길 14,35.104832,129.028457,40,0,5,5,0,0,0,대연주택,HT001,84.26,77.52,92,3,1,5,복도식,26775,107100,5355,74970,0,0,0,,,,,,,,,,,,,,,
0,대청맨션(81-49),92A㎡,부산시 중구 대청동4가,2611011900,81-49,부산시 중구 중구로75번길 12,35.104864,129.02846,30,0,5,5,0,0,0,,HT001,92.26,92.26,100,3,2,10,계단식,27675,110700,5535,77490,0,0,0,,,,,,,,,,,,,,,
1,대청맨션(81-49),92B㎡,부산시 중구 대청동4가,2611011900,81-49,부산시 중구 중구로75번길 12,35.104864,129.02846,30,0,5,5,0,0,0,,HT001,92.38,92.38,100,3,2,10,계단식,27675,110700,5535,77490,0,0,0,,,,,,,,,"8,000/30",,"8,000/30",,,,
2,대청맨션(81-49),114㎡,부산시 중구 대청동4가,2611011900,81-49,부산시 중구 중구로75번길 12,35.104864,129.02846,30,0,5,5,0,0,0,,HT001,114.05,114.05,100,3,2,5,계단식,33900,130140,6780,89460,0,0,0,,,,,"2억 5,000",,"1억 7,000",,,,,,,,
