,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,노블레스힐(주상복합),30㎡,부산시 중구 보수동2가,2611012100,118-3,부산시 중구 대청로 37,35.10336,129.02403,63,0,10,10,0,0,42,반석종합건설(주),HT001,30.97,24.79,80,1,1,35,복합식,6660,26640,1332,18648,0,0,0,,,,,,,,,,,,,,,
1,노블레스힐(주상복합),35A㎡,부산시 중구 보수동2가,2611012100,118-3,부산시 중구 대청로 37,35.10336,129.02403,63,0,10,10,0,0,42,반석종합건설(주),HT001,35.02,28.03,80,1,1,7,복합식,7200,28800,1440,20160,0,0,0,,,,,,,,,,,,,,,
2,노블레스힐(주상복합),35B㎡,부산시 중구 보수동2가,2611012100,118-3,부산시 중구 대청로 37,35.10336,129.02403,63,0,10,10,0,0,42,반석종합건설(주),HT001,35.95,28.77,80,1,1,7,복합식,7200,28800,1440,20160,0,0,0,,,,,,,,,,,,,,,
3,노블레스힐(주상복합),39A㎡,부산시 중구 보수동2가,2611012100,118-3,부산시 중구 대청로 37,35.10336,129.02403,63,0,10,10,0,0,42,반석종합건설(주),HT001,39.04,31.25,80,1,1,7,복합식,7763,31051,1553,21735,0,0,0,,,,,,,,,,,,,,,
4,노블레스힐(주상복합),40B,부산시 중구 보수동2가,2611012100,118-3,부산시 중구 대청로 37,35.10336,129.02403,63,0,10,10,0,0,42,반석종합건설(주),HT001,40.73,32.6,80,1,1,7,복합식,8325,33300,1665,23310,0,0,0,,,,,,,,,,,,,,,
0,대성아르빌,32㎡,부산시 중구 보수동2가,2611012100,118-8,부산시 중구 흑교로45번길 5-1,35.103507,129.024404,28,0,9,9,482,72,7,(주)수홍종합건설,HT001,32.7,26.68,82,1,1,14,계단식,,,,,,,,,,,,,,,,,,,,,,
1,대성아르빌,40,부산시 중구 보수동2가,2611012100,118-8,부산시 중구 흑교로45번길 5-1,35.103507,129.024404,28,0,9,9,482,72,7,(주)수홍종합건설,HT001,40.55,33.08,82,1,1,14,계단식,,,,,,,,,,,,"9,500",,,,,,,,,,
0,대성아르빌2차(주상복합),80㎡,부산시 중구 보수동2가,2611012100,106-8,부산시 중구 보수대로124번길 77,35.103937,129.02456,8,0,9,9,517,78,12,(주)백승,HT001,80.78,69.28,86,3,1,4,계단식,,,,,,,,,,,,"2억 5,000",,,,,,,,,,
1,대성아르빌2차(주상복합),83,부산시 중구 보수동2가,2611012100,106-8,부산시 중구 보수대로124번길 77,35.103937,129.02456,8,0,9,9,517,78,12,(주)백승,HT001,83.01,71.2,86,3,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,동남타워(주상복합),67㎡,부산시 중구 보수동2가,2611012100,65-5,부산시 중구 보수대로124번길 24,35.105787,129.022532,8,0,9,9,479,70,8,(주)담덕종합건설,HT001,67.09,55.28,82,3,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
