,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,광우,66㎡,부산시 해운대구 반여동,2635010300,1291-1405,부산시 해운대구 재반로212번길 33-52,35.196707,129.133518,110,0,5,5,0,0,0,광우건설,HT001,66.17,60.32,91,3,1,70,계단식,11093,44371,2219,31059,0,0,0,,,,"5,500","8,500",,,,,,,,,,
1,광우,68,부산시 해운대구 반여동,2635010300,1291-1405,부산시 해운대구 재반로212번길 33-52,35.196707,129.133518,110,0,5,5,0,0,0,광우건설,HT001,68.68,62.83,91,3,1,40,계단식,12420,49680,2484,34776,0,0,0,,,,,,,,,,,,,,,
0,그린파크,53A㎡,부산시 해운대구 반여동,2635010300,1600-1,부산시 해운대구 재반로270번길 13,35.201871,129.132612,200,0,5,5,0,0,0,,HT001,53.17,43.72,82,2,1,80,복도식,18608,74431,3722,52101,0,0,0,,,,"1억 4,000","1억 5,000",,"8,500",,,,,,,,
1,그린파크,54B㎡,부산시 해운대구 반여동,2635010300,1600-1,부산시 해운대구 재반로270번길 13,35.201871,129.132612,200,0,5,5,0,0,0,,HT001,54.54,44.99,82,2,1,40,복도식,18608,74431,3722,52101,0,0,0,,,,,,,,,,,,,,,
2,그린파크,57,부산시 해운대구 반여동,2635010300,1600-1,부산시 해운대구 재반로270번길 13,35.201871,129.132612,200,0,5,5,0,0,0,,HT001,57.43,47.68,83,2,1,80,복도식,19868,79471,3974,55629,0,0,0,,,,"1억 1,000","1억 5,000","8,000","8,500",,,,,,,,
0,대산,52A㎡,부산시 해운대구 반여동,2635010300,763-28,부산시 해운대구 선수촌로207번가길 10,35.210869,129.123677,100,0,5,5,0,0,0,,HT001,52.75,45.81,87,2,1,15,계단식,37500,139500,7500,94500,0,0,0,,,,,,,,,,,,,,,
1,대산,54B㎡,부산시 해운대구 반여동,2635010300,763-28,부산시 해운대구 선수촌로207번가길 10,35.210869,129.123677,100,0,5,5,0,0,0,,HT001,54.19,47.25,87,2,1,15,계단식,37500,139500,7500,94500,0,0,0,,,,,,,,,,,,,,,
2,대산,54A㎡,부산시 해운대구 반여동,2635010300,763-28,부산시 해운대구 선수촌로207번가길 10,35.210869,129.123677,100,0,5,5,0,0,0,,HT001,54.64,47.7,87,2,1,10,계단식,37500,139500,7500,94500,0,0,0,,,,,"2억 6,000",,,,,,,,,,
3,대산,56B㎡,부산시 해운대구 반여동,2635010300,763-28,부산시 해운대구 선수촌로207번가길 10,35.210869,129.123677,100,0,5,5,0,0,0,,HT001,56.17,49.23,88,2,1,25,계단식,42450,152370,8490,101430,0,0,0,,,,,3억,,,,"1,000/30",,"1,000/30",,,,
4,대산,57C㎡,부산시 해운대구 반여동,2635010300,763-28,부산시 해운대구 선수촌로207번가길 10,35.210869,129.123677,100,0,5,5,0,0,0,,HT001,57.34,50.4,88,2,1,15,계단식,42450,152370,8490,101430,0,0,0,,,,,,,,500/35,500/40,500/35,500/40,,,,
