,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,그린주택,86㎡,부산시 해운대구 송정동,2635010800,441-1,부산시 해운대구 송정광어골로82번길 62,35.176224,129.195497,19,0,7,5,0,0,0,,HT001,86.28,84.12,97,3,2,1,계단식,34350,131310,6870,90090,0,0,0,,,,,,,,,,,,,,,
1,그린주택,90㎡,부산시 해운대구 송정동,2635010800,441-1,부산시 해운대구 송정광어골로82번길 62,35.176224,129.195497,19,0,7,5,0,0,0,,HT001,90.48,81.6,90,3,2,1,계단식,39750,145350,7950,97650,0,0,0,,,,,,,,,,,,,,,
2,그린주택,94㎡,부산시 해운대구 송정동,2635010800,441-1,부산시 해운대구 송정광어골로82번길 62,35.176224,129.195497,19,0,7,5,0,0,0,,HT001,94.21,84.96,90,3,2,9,계단식,49650,171090,9930,111510,0,0,0,,,,,,,,,,,,,,,
3,그린주택,140㎡,부산시 해운대구 송정동,2635010800,441-1,부산시 해운대구 송정광어골로82번길 62,35.176224,129.195497,19,0,7,5,0,0,0,,HT001,140.65,126.85,90,4,2,1,계단식,73500,233100,14700,144900,0,0,0,,,,,,,,,,,,,,,
4,그린주택,144㎡,부산시 해운대구 송정동,2635010800,441-1,부산시 해운대구 송정광어골로82번길 62,35.176224,129.195497,19,0,7,5,0,0,0,,HT001,144.27,130.11,90,4,2,1,계단식,71250,227250,14250,141750,0,0,0,,,,,,,,,,,,,,,
5,그린주택,150,부산시 해운대구 송정동,2635010800,441-1,부산시 해운대구 송정광어골로82번길 62,35.176224,129.195497,19,0,7,5,0,0,0,,HT001,150.49,135.72,90,4,2,6,계단식,81600,254160,16320,156240,0,0,0,,,,,,,,,,,,,,,
0,금강비치빌,67㎡,부산시 해운대구 송정동,2635010800,199-8,부산시 해운대구 송정중앙로21번길 11,35.183533,129.203129,18,0,11,9,568,77,15,,HT001,67.91,57.32,84,3,1,1,계단식,22365,89460,4473,62622,0,0,0,,,,,,,,,,,,,,,
1,금강비치빌,99,부산시 해운대구 송정동,2635010800,199-8,부산시 해운대구 송정중앙로21번길 11,35.183533,129.203129,18,0,11,9,568,77,15,,HT001,99.81,84.24,84,3,2,17,계단식,35250,133650,7050,91350,0,0,0,,,,,,,,,,,,,,,
0,남평엔시티(주상복합),79㎡,부산시 해운대구 송정동,2635010800,200-11,부산시 해운대구 송정중앙로27번길 7,35.183007,129.203501,39,0,14,14,663,67,34,주식회사남평종합건설,HT001,79.91,63.28,79,3,1,13,계단식,,,,,,,,,,,,,,,,,,,,,,
1,남평엔시티(주상복합),80㎡,부산시 해운대구 송정동,2635010800,200-11,부산시 해운대구 송정중앙로27번길 7,35.183007,129.203501,39,0,14,14,663,67,34,주식회사남평종합건설,HT001,80.01,63.38,79,3,1,13,계단식,,,,,,,,,,,,,,"1억 6,000",,,,,,,,
2,남평엔시티(주상복합),82,부산시 해운대구 송정동,2635010800,200-11,부산시 해운대구 송정중앙로27번길 7,35.183007,129.203501,39,0,14,14,663,67,34,주식회사남평종합건설,HT001,82.88,65.74,79,3,2,13,계단식,,,,,,,,,,,,"2억 6,500",,,,,,,,,,
0,늘해랑(도시형),40㎡,부산시 해운대구 송정동,2635010800,180-1,부산시 해운대구 송정중앙로15번길 116,35.187768,129.205636,16,0,5,5,155,52,12,일호개발(주),HT001,40.99,33.37,81,1,1,8,계단식,44640,116064,8928,62496,0,0,0,,,,,,,"1억 3,000",,,,,,,,
1,늘해랑(도시형),41,부산시 해운대구 송정동,2635010800,180-1,부산시 해운대구 송정중앙로15번길 116,35.187768,129.205636,16,0,5,5,155,52,12,일호개발(주),HT001,41.43,33.74,81,1,1,8,계단식,44700,116220,8940,62580,0,0,0,,,,"1억 5,700","1억 7,000",,,,,,,,,,
0,대원하이츠1차,94㎡,부산시 해운대구 송정동,2635010800,182-8,부산시 해운대구 송정중앙로9번길 72-3,35.18639,129.204072,16,0,8,8,261,35,13,(주)하성종합건설,HT001,94.08,82.5,88,3,1,2,계단식,42000,151200,8400,100800,0,0,0,,,,,,,,,,,,,,,
