,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,마포자이,108㎡,서울시 마포구 염리동,1144010900,521,서울시 마포구 독막로42길 2,37.543262,126.944988,534,0,25,18,300,17,892,LG건설(주),HT005,108.04,84.69,78,3,2,228,계단식,1706400,2865420,341280,817740,598752,498960,99792,,333218,224356,"16억 8,000",19억,10억,"10억 5,000",,,,,,,,
1,마포자이,135㎡,서울시 마포구 염리동,1144010900,521,서울시 마포구 독막로42길 2,37.543262,126.944988,534,0,25,18,300,17,892,LG건설(주),HT005,135.54,113.8,84,4,2,166,계단식,2086200,3454110,417240,950670,1236816,1030680,206136,,447755,301473,,21억,11억,"11억 5,000",1억/420,5억/320,1억/420,5억/320,,,,
2,마포자이,163㎡,서울시 마포구 염리동,1144010900,521,서울시 마포구 독막로42길 2,37.543262,126.944988,534,0,25,18,300,17,892,LG건설(주),HT005,163.05,135.37,83,4,2,90,계단식,2376000,3903300,475200,1052100,1824480,1520400,304080,,532633,358622,22억,"23억 5,000",,,,,,,,,,
3,마포자이,189,서울시 마포구 염리동,1144010900,521,서울시 마포구 독막로42길 2,37.543262,126.944988,534,0,25,18,300,17,892,LG건설(주),HT005,189.8,157.3,83,4,2,50,계단식,2608200,4263210,521640,1133370,2400336,2000280,400056,,618908,416711,22억,25억,,,,,,,,,,
0,마포자이더센트리지,82A㎡,서울시 마포구 염리동,1144010900,533,서울시 마포구 숭문길 98,37.55117,126.949558,927,160,25,9,244,21,1224,㈜GS건설,HT001,82.64,59.99,73,3,2,262,계단식,,,,,,,,,201459,193657,"11억 9,000","15억 5,000",,,1억/230,2억/220,1억/230,2억/220,,,,
1,마포자이더센트리지,83C㎡,서울시 마포구 염리동,1144010900,533,서울시 마포구 숭문길 98,37.55117,126.949558,927,160,25,9,244,21,1224,㈜GS건설,HT001,83.51,59.97,72,3,2,12,계단식,,,,,,,,,201398,193599,,"16억 5,000",,"7억 5,000",,,,,,,,
2,마포자이더센트리지,83E㎡,서울시 마포구 염리동,1144010900,533,서울시 마포구 숭문길 98,37.55117,126.949558,927,160,25,9,244,21,1224,㈜GS건설,HT001,83.3,59.99,72,3,2,12,계단식,,,,,,,,,201479,193676,,,,,,,,,,,,
3,마포자이더센트리지,84D㎡,서울시 마포구 염리동,1144010900,533,서울시 마포구 숭문길 98,37.55117,126.949558,927,160,25,9,244,21,1224,㈜GS건설,HT001,84.28,59.96,71,3,2,12,계단식,,,,,,,,,201364,193566,,,,,,,,,,,,
4,마포자이더센트리지,84B㎡,서울시 마포구 염리동,1144010900,533,서울시 마포구 숭문길 98,37.55117,126.949558,927,160,25,9,244,21,1224,㈜GS건설,HT001,84.25,59.99,71,3,2,8,계단식,,,,,,,,,201472,193669,,,,,,,,,,,,
5,마포자이더센트리지,113A㎡,서울시 마포구 염리동,1144010900,533,서울시 마포구 숭문길 98,37.55117,126.949558,927,160,25,9,244,21,1224,㈜GS건설,HT001,113.9,84.86,75,3,2,258,계단식,,,,,,,,,284997,273960,"15억 4,000",18억,,"9억 5,000","5억 5,000/140",6억/120,"5억 5,000/140",6억/120,,,,
6,마포자이더센트리지,113B㎡,서울시 마포구 염리동,1144010900,533,서울시 마포구 숭문길 98,37.55117,126.949558,927,160,25,9,244,21,1224,㈜GS건설,HT001,113.69,84.98,75,3,2,92,계단식,,,,,,,,,285404,274351,"15억 9,000",18억,,9억,,,,,,,,
7,마포자이더센트리지,113D㎡,서울시 마포구 염리동,1144010900,533,서울시 마포구 숭문길 98,37.55117,126.949558,927,160,25,9,244,21,1224,㈜GS건설,HT001,113.53,84.95,75,3,2,18,계단식,,,,,,,,,285279,274231,"15억 5,000",17억,,,,,,,,,,
8,마포자이더센트리지,114C㎡,서울시 마포구 염리동,1144010900,533,서울시 마포구 숭문길 98,37.55117,126.949558,927,160,25,9,244,21,1224,㈜GS건설,HT001,114.53,84.99,74,3,2,81,계단식,,,,,,,,,285430,274377,"16억 5,000","17억 5,000",,9억,,,,,,,,
9,마포자이더센트리지,163A㎡,서울시 마포구 염리동,1144010900,533,서울시 마포구 숭문길 98,37.55117,126.949558,927,160,25,9,244,21,1224,㈜GS건설,HT001,163.03,119.57,73,4,2,6,계단식,,,,,,,,,401553,386003,,,,,,,,,,,,
10,마포자이더센트리지,163B,서울시 마포구 염리동,1144010900,533,서울시 마포구 숭문길 98,37.55117,126.949558,927,160,25,9,244,21,1224,㈜GS건설,HT001,163.28,119.31,73,4,2,6,계단식,,,,,,,,,400684,385167,,,,,,,,,,,,
0,마포프레스티지자이,57㎡,서울시 마포구 염리동,1144010900,532,서울시 마포구 대흥로24길 24,37.553719,126.947802,1694,295,27,7,251,19,2000,지에스건설(주),HT001,57.22,42.96,75,2,1,16,계단식,,,,,,,,,129861,145658,,,"6억 5,000","6억 7,000",,,,,,,,
1,마포프레스티지자이,79A㎡,서울시 마포구 염리동,1144010900,532,서울시 마포구 대흥로24길 24,37.553719,126.947802,1694,295,27,7,251,19,2000,지에스건설(주),HT001,79.91,59.78,75,3,2,171,계단식,,,,,,,,,180684,202664,"14억 3,000","15억 3,000","7억 4,000","7억 9,000",1억/280,3억/180,1억/280,3억/180,,,,
