,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,e편한세상보문,76㎡,서울시 성북구 보문동3가,1129013200,230,서울시 성북구 낙산길 255,37.582915,127.015806,440,79,15,12,217,20,564,(주)대림산업,HT001,76.86,59.66,78,3,2,14,계단식,,,,,,,,,177252,178814,,,,,,,,,,,,
1,e편한세상보문,107B1㎡,서울시 성북구 보문동3가,1129013200,230,서울시 성북구 낙산길 255,37.582915,127.015806,440,79,15,12,217,20,564,(주)대림산업,HT001,107.94,84.77,79,3,2,117,계단식,,,,,,,,,251854,254074,"10억 2,000","13억 5,000",,"5억 4,000",,,,,,,,
2,e편한세상보문,107A1㎡,서울시 성북구 보문동3가,1129013200,230,서울시 성북구 낙산길 255,37.582915,127.015806,440,79,15,12,217,20,564,(주)대림산업,HT001,107.73,84.41,78,3,2,30,계단식,,,,,,,,,250775,252986,"10억 2,000",11억,,"5억 5,000",,,,,,,,
3,e편한세상보문,109B2㎡,서울시 성북구 보문동3가,1129013200,230,서울시 성북구 낙산길 255,37.582915,127.015806,440,79,15,12,217,20,564,(주)대림산업,HT001,109.5,84.9,78,3,2,99,계단식,,,,,,,,,252240,254464,"9억 7,000","10억 6,000",,"5억 5,000",,,,,,,,
4,e편한세상보문,109A2㎡,서울시 성북구 보문동3가,1129013200,230,서울시 성북구 낙산길 255,37.582915,127.015806,440,79,15,12,217,20,564,(주)대림산업,HT001,109.49,84.9,78,3,2,13,계단식,,,,,,,,,252240,254464,,"10억 2,000",,,,,,,,,,
5,e편한세상보문,121㎡,서울시 성북구 보문동3가,1129013200,230,서울시 성북구 낙산길 255,37.582915,127.015806,440,79,15,12,217,20,564,(주)대림산업,HT001,121.01,93.49,77,3,2,2,계단식,,,,,,,,,277760,280208,,,,,,,,,,,,
6,e편한세상보문,148㎡,서울시 성북구 보문동3가,1129013200,230,서울시 성북구 낙산길 255,37.582915,127.015806,440,79,15,12,217,20,564,(주)대림산업,HT001,148.92,116.72,78,4,2,57,계단식,,,,,,,,,346765,349821,12억,14억,,,,,,,,,,
7,e편한세상보문,157,서울시 성북구 보문동3가,1129013200,230,서울시 성북구 낙산길 255,37.582915,127.015806,440,79,15,12,217,20,564,(주)대림산업,HT001,157.08,124.18,79,4,2,29,계단식,,,,,,,,,368927,372179,,"13억 5,000",,,,,,,,,,
0,보문아이파크,78A㎡,서울시 성북구 보문동3가,1129013200,2,서울시 성북구 지봉로21길 19,37.585649,127.016708,431,0,15,6,233,19,480,현대산업개발(주),HT001,78.83,59.29,75,3,2,21,계단식,345600,782640,69120,367920,0,0,0,,140079,141113,,,,,,,,,,,,
1,보문아이파크,79C㎡,서울시 성북구 보문동3가,1129013200,2,서울시 성북구 지봉로21길 19,37.585649,127.016708,431,0,15,6,233,19,480,현대산업개발(주),HT001,79.32,59.65,75,3,2,86,계단식,329400,751860,65880,356580,0,0,0,,140930,141970,"7억 6,000",8억,,,,,,,,,,
2,보문아이파크,79B㎡,서울시 성북구 보문동3가,1129013200,2,서울시 성북구 지봉로21길 19,37.585649,127.016708,431,0,15,6,233,19,480,현대산업개발(주),HT001,79.1,59.49,75,3,1,69,복도식,329400,751860,65880,356580,0,0,0,,140552,141589,,,,,,1억/140,,1억/140,,,,
3,보문아이파크,112B㎡,서울시 성북구 보문동3가,1129013200,2,서울시 성북구 지봉로21길 19,37.585649,127.016708,431,0,15,6,233,19,480,현대산업개발(주),HT001,112.45,84.57,75,3,2,105,계단식,492975,1040760,98595,449190,0,0,0,,199806,201281,10억,"11억 5,000",,,,,,,,,,
4,보문아이파크,112A㎡,서울시 성북구 보문동3가,1129013200,2,서울시 성북구 지봉로21길 19,37.585649,127.016708,431,0,15,6,233,19,480,현대산업개발(주),HT001,112.1,84.3,75,3,2,90,계단식,492975,1040760,98595,449190,0,0,0,,199168,200638,"10억 2,000","10억 5,000",,,,,,,,,,
5,보문아이파크,152,서울시 성북구 보문동3가,1129013200,2,서울시 성북구 지봉로21길 19,37.585649,127.016708,431,0,15,6,233,19,480,현대산업개발(주),HT001,152.31,114.55,75,4,2,60,계단식,609525,1227240,121905,495810,0,0,0,,270637,272635,"13억 8,000",15억,,,,,,,,,,
