,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,청운벽산빌리지,106㎡,서울시 종로구 청운동,1111010100,1,서울시 종로구 자하문로36길 16-14,37.591282,126.96834,126,0,3,1,0,0,0,벽산,HT001,106.29,82.89,78,3,1,12,계단식,,,,,,,,,,,,,,,,,,,,,,
1,청운벽산빌리지,110㎡,서울시 종로구 청운동,1111010100,1,서울시 종로구 자하문로36길 16-14,37.591282,126.96834,126,0,3,1,0,0,0,벽산,HT001,110.69,83.61,76,3,1,42,계단식,,,,,,,,,,,,"14억 3,000",,5억,,3억/100,,3억/100,,,,
2,청운벽산빌리지,157C㎡,서울시 종로구 청운동,1111010100,1,서울시 종로구 자하문로36길 16-14,37.591282,126.96834,126,0,3,1,0,0,0,벽산,HT001,157.6,132.39,84,4,2,20,계단식,,,,,,,,,,,,,,,,,,,,,,
3,청운벽산빌리지,157A㎡,서울시 종로구 청운동,1111010100,1,서울시 종로구 자하문로36길 16-14,37.591282,126.96834,126,0,3,1,0,0,0,벽산,HT001,157.46,131.42,83,4,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
4,청운벽산빌리지,157B㎡,서울시 종로구 청운동,1111010100,1,서울시 종로구 자하문로36길 16-14,37.591282,126.96834,126,0,3,1,0,0,0,벽산,HT001,157.93,131.42,83,4,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
5,청운벽산빌리지,160㎡,서울시 종로구 청운동,1111010100,1,서울시 종로구 자하문로36길 16-14,37.591282,126.96834,126,0,3,1,0,0,0,벽산,HT001,160.62,131.42,82,4,2,6,계단식,,,,,,,,,,,,,,,,,,,,,,
6,청운벽산빌리지,172A㎡,서울시 종로구 청운동,1111010100,1,서울시 종로구 자하문로36길 16-14,37.591282,126.96834,126,0,3,1,0,0,0,벽산,HT001,172.68,145.73,84,5,2,6,계단식,,,,,,,,,,,,,,,,,,,,,,
7,청운벽산빌리지,173㎡,서울시 종로구 청운동,1111010100,1,서울시 종로구 자하문로36길 16-14,37.591282,126.96834,126,0,3,1,0,0,0,벽산,HT001,173.3,145.73,84,5,2,6,계단식,,,,,,,,,,,,,,,,,,,,,,
8,청운벽산빌리지,173B㎡,서울시 종로구 청운동,1111010100,1,서울시 종로구 자하문로36길 16-14,37.591282,126.96834,126,0,3,1,0,0,0,벽산,HT001,173.08,146.52,85,5,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
9,청운벽산빌리지,193㎡,서울시 종로구 청운동,1111010100,1,서울시 종로구 자하문로36길 16-14,37.591282,126.96834,126,0,3,1,0,0,0,벽산,HT001,193.06,162.92,84,5,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
10,청운벽산빌리지,197㎡,서울시 종로구 청운동,1111010100,1,서울시 종로구 자하문로36길 16-14,37.591282,126.96834,126,0,3,1,0,0,0,벽산,HT001,197.35,167.76,85,5,2,10,계단식,,,,,,,,,,,,,,,,,,,,,,
11,청운벽산빌리지,213㎡,서울시 종로구 청운동,1111010100,1,서울시 종로구 자하문로36길 16-14,37.591282,126.96834,126,0,3,1,0,0,0,벽산,HT001,213.67,182.27,85,5,2,6,계단식,,,,,,,,,,,,,,,,,,,,,,
12,청운벽산빌리지,218,서울시 종로구 청운동,1111010100,1,서울시 종로구 자하문로36길 16-14,37.591282,126.96834,126,0,3,1,0,0,0,벽산,HT001,218.05,186.75,86,5,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
0,청운현대,84㎡,서울시 종로구 청운동,1111010100,56-45,서울시 종로구 자하문로33길 43,37.586174,126.967425,60,0,5,5,127,29,88,(주)현대건설,HT001,84.32,68.43,81,3,2,5,복도식,324900,743310,64980,353430,0,0,0,,,,,,,,,,,,,,,
1,청운현대,97㎡,서울시 종로구 청운동,1111010100,56-45,서울시 종로구 자하문로33길 43,37.586174,126.967425,60,0,5,5,127,29,88,(주)현대건설,HT001,97.06,78.78,81,3,2,10,복도식,380700,849330,76140,392490,0,0,0,,,,,,,,,,,,,,,
2,청운현대,104㎡,서울시 종로구 청운동,1111010100,56-45,서울시 종로구 자하문로33길 43,37.586174,126.967425,60,0,5,5,127,29,88,(주)현대건설,HT001,104.13,84.51,81,3,2,20,계단식,483525,1025640,96705,445410,0,0,0,,,,,,,,,,,,,,,
3,청운현대,127㎡,서울시 종로구 청운동,1111010100,56-45,서울시 종로구 자하문로33길 43,37.586174,126.967425,60,0,5,5,127,29,88,(주)현대건설,HT001,127.73,103.67,81,4,2,5,계단식,719775,1403640,143955,539910,0,0,0,,,,,"11억 5,000",,,,,,,,,,
4,청운현대,159,서울시 종로구 청운동,1111010100,56-45,서울시 종로구 자하문로33길 43,37.586174,126.967425,60,0,5,5,127,29,88,(주)현대건설,HT001,159.88,129.76,81,4,2,20,계단식,1071000,1880550,214200,595350,0,0,0,,,,,,,,,1억/350,,1억/350,,,,
