,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,남산센트럴자이(주상복합),102A㎡,서울시 중구 충무로4가,1114013200,306,서울시 중구 퇴계로 235,37.562792,126.997698,273,0,32,20,987,52,536,지에스건설(주),HT001,102.88,80.47,78,2,2,30,계단식,568575,1161720,113715,479430,0,0,0,,234869,267755,,,,,,,,,,,,
1,남산센트럴자이(주상복합),105B㎡,서울시 중구 충무로4가,1114013200,306,서울시 중구 퇴계로 235,37.562792,126.997698,273,0,32,20,987,52,536,지에스건설(주),HT001,105.36,82.41,78,2,2,30,계단식,568575,1161720,113715,479430,0,0,0,,240531,274210,"10억 8,000",13억,,"7억 5,000",,,,,,,,
2,남산센트럴자이(주상복합),114㎡,서울시 중구 충무로4가,1114013200,306,서울시 중구 퇴계로 235,37.562792,126.997698,273,0,32,20,987,52,536,지에스건설(주),HT001,114.18,89.3,78,3,2,27,계단식,670950,1325520,134190,520380,0,0,0,,260652,297148,,15억,,"7억 6,000",1억/390,2억/340,1억/390,2억/340,,,,
3,남산센트럴자이(주상복합),146㎡,서울시 중구 충무로4가,1114013200,306,서울시 중구 퇴계로 235,37.562792,126.997698,273,0,32,20,987,52,536,지에스건설(주),HT001,146.82,114.84,78,3,2,54,계단식,1125000,1964250,225000,614250,0,0,0,,335172,382103,"16억 5,000",20억,,9억,1억/430,4억/200,1억/430,4억/200,,,,
4,남산센트럴자이(주상복합),164㎡,서울시 중구 충무로4가,1114013200,306,서울시 중구 퇴계로 235,37.562792,126.997698,273,0,32,20,987,52,536,지에스건설(주),HT001,164.86,128.95,78,3,2,30,계단식,1276200,2198610,255240,667170,0,0,0,,376360,429057,,19억,,,,,,,,,,
5,남산센트럴자이(주상복합),173㎡,서울시 중구 충무로4가,1114013200,306,서울시 중구 퇴계로 235,37.562792,126.997698,273,0,32,20,987,52,536,지에스건설(주),HT001,173.28,135.53,78,3,2,54,계단식,1321200,2268360,264240,682920,0,0,0,,395567,450954,22억,25억,,,650/650,1억/430,650/650,1억/430,,,,
6,남산센트럴자이(주상복합),175㎡,서울시 중구 충무로4가,1114013200,306,서울시 중구 퇴계로 235,37.562792,126.997698,273,0,32,20,987,52,536,지에스건설(주),HT001,175.37,137.16,78,4,2,12,계단식,1348200,2310210,269640,692370,0,0,0,,400333,456388,21억,23억,,,,,,,,,,
7,남산센트럴자이(주상복합),178㎡,서울시 중구 충무로4가,1114013200,306,서울시 중구 퇴계로 235,37.562792,126.997698,273,0,32,20,987,52,536,지에스건설(주),HT001,178.91,139.93,78,4,2,12,계단식,1353600,2318580,270720,694260,6048,5040,1008,,408418,465604,20억,21억,"11억 5,000",12억,,2억/420,,2억/420,,,,
8,남산센트럴자이(주상복합),205,서울시 중구 충무로4가,1114013200,306,서울시 중구 퇴계로 235,37.562792,126.997698,273,0,32,20,987,52,536,지에스건설(주),HT001,205.2,160.5,78,4,2,24,계단식,1512000,2564100,302400,749700,272160,226800,45360,,468450,534042,24억,31억,"11억 5,000",20억,"5,000/650",5억/450,"5,000/650",5억/450,,,,
0,진양(주상복합),71A㎡,서울시 중구 충무로4가,1114013200,120-3,서울시 중구 퇴계로 217,37.562398,126.995892,284,0,16,10,147,12,144,,HT001,71.93,71.93,100,3,1,149,복도식,,,,,,,,,179810,185267,,6억,"3억 2,000","3억 5,000",,1억/100,,1억/100,,,,
