,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,다인플레움,55㎡,서울시 강북구 우이동,1130510400,117-3,서울시 강북구 삼양로163길 31,37.658724,127.01201,19,0,5,5,227,54,19,인수종합건설(주),HT001,55.77,49.8,89,2,1,1,계단식,26775,107100,5355,74970,0,0,0,,,,,,,,,,,,,,,
1,다인플레움,70A㎡,서울시 강북구 우이동,1130510400,117-3,서울시 강북구 삼양로163길 31,37.658724,127.01201,19,0,5,5,227,54,19,인수종합건설(주),HT001,70.02,62.54,89,3,2,1,계단식,36600,137160,7320,93240,0,0,0,,,,,,,,,,,,,,,
2,다인플레움,70B㎡,서울시 강북구 우이동,1130510400,117-3,서울시 강북구 삼양로163길 31,37.658724,127.01201,19,0,5,5,227,54,19,인수종합건설(주),HT001,70.95,63.36,89,3,2,1,계단식,41550,150030,8310,100170,0,0,0,,,,,,,,,,,,,,,
3,다인플레움,74A㎡,서울시 강북구 우이동,1130510400,117-3,서울시 강북구 삼양로163길 31,37.658724,127.01201,19,0,5,5,227,54,19,인수종합건설(주),HT001,74.73,66.73,89,3,2,2,계단식,45150,159390,9030,105210,0,0,0,,,,,,,,,,,,,,,
4,다인플레움,75D㎡,서울시 강북구 우이동,1130510400,117-3,서울시 강북구 삼양로163길 31,37.658724,127.01201,19,0,5,5,227,54,19,인수종합건설(주),HT001,75.64,67.54,89,3,2,2,계단식,46500,162900,9300,107100,0,0,0,,,,,,,,,,,,,,,
5,다인플레움,75B㎡,서울시 강북구 우이동,1130510400,117-3,서울시 강북구 삼양로163길 31,37.658724,127.01201,19,0,5,5,227,54,19,인수종합건설(주),HT001,75.05,67.02,89,3,2,1,계단식,37950,140670,7590,95130,0,0,0,,,,,,,,,,,,,,,
6,다인플레움,75C㎡,서울시 강북구 우이동,1130510400,117-3,서울시 강북구 삼양로163길 31,37.658724,127.01201,19,0,5,5,227,54,19,인수종합건설(주),HT001,75.21,67.16,89,3,2,1,계단식,41550,150030,8310,100170,0,0,0,,,,,,,,,,,,,,,
7,다인플레움,81㎡,서울시 강북구 우이동,1130510400,117-3,서울시 강북구 삼양로163길 31,37.658724,127.01201,19,0,5,5,227,54,19,인수종합건설(주),HT001,81.64,72.9,89,3,2,2,계단식,52800,179280,10560,115920,0,0,0,,,,,,,,,,,,,,,
8,다인플레움,86A㎡,서울시 강북구 우이동,1130510400,117-3,서울시 강북구 삼양로163길 31,37.658724,127.01201,19,0,5,5,227,54,19,인수종합건설(주),HT001,86.68,77.4,89,3,2,1,계단식,47400,165240,9480,108360,0,0,0,,,,,,,,,,,,,,,
9,다인플레움,86B㎡,서울시 강북구 우이동,1130510400,117-3,서울시 강북구 삼양로163길 31,37.658724,127.01201,19,0,5,5,227,54,19,인수종합건설(주),HT001,86.7,77.42,89,3,2,1,계단식,56400,188640,11280,120960,0,0,0,,,,,,,,,,,,,,,
10,다인플레움,87D㎡,서울시 강북구 우이동,1130510400,117-3,서울시 강북구 삼양로163길 31,37.658724,127.01201,19,0,5,5,227,54,19,인수종합건설(주),HT001,87.54,78.17,89,3,2,5,계단식,56850,189810,11370,121590,0,0,0,,,,,,,,,,,,,,,
11,다인플레움,87C,서울시 강북구 우이동,1130510400,117-3,서울시 강북구 삼양로163길 31,37.658724,127.01201,19,0,5,5,227,54,19,인수종합건설(주),HT001,87.08,77.76,89,3,2,1,계단식,47400,165240,9480,108360,0,0,0,,,,,,,,,,,,,,,
0,대우,80㎡,서울시 강북구 우이동,1130510400,342,서울시 강북구 삼양로149길 45,37.655611,127.011026,260,0,5,5,121,32,289,대우건설(주),HT001,80.31,59.94,75,3,1,45,계단식,167400,444060,33480,243180,0,0,0,,185723,156671,"5억 5,000",6억,,"3억 2,000",,,,,,,,
1,대우,108㎡,서울시 강북구 우이동,1130510400,342,서울시 강북구 삼양로149길 45,37.655611,127.011026,260,0,5,5,121,32,289,대우건설(주),HT001,108.01,84.93,79,3,2,151,계단식,250200,601380,50040,301140,0,0,0,,263154,221990,"6억 5,000","7억 7,000","4억 2,000","4억 3,000",,"2억 3,000/60",,"2억 3,000/60",,,,
2,대우,111,서울시 강북구 우이동,1130510400,342,서울시 강북구 삼양로149길 45,37.655611,127.011026,260,0,5,5,121,32,289,대우건설(주),HT001,111.36,84.93,76,3,2,64,계단식,250200,601380,50040,301140,0,0,0,,263154,221990,7억,"7억 5,000",,,,,,,,,,
0,두온리치밸리,148㎡,서울시 강북구 우이동,1130510400,5-5,서울시 강북구 삼양로 670,37.662551,127.013359,19,0,5,5,240,56,38,두온종합건설(주),HT001,148.53,133.47,90,4,3,9,계단식,216900,538110,43380,277830,0,0,0,,,,7억,"7억 5,000",,"5억 5,000",,,,,,,,
