,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,대흥세양,80㎡,서울시 마포구 대흥동,1144010800,802,서울시 마포구 독막로 288,37.544455,126.944848,126,0,18,8,377,43,167,,HT001,80.62,60,74,3,1,34,복도식,387900,863010,77580,397530,0,0,0,,,,,9억,,6억,,,,,,,,
1,대흥세양,113A㎡,서울시 마포구 대흥동,1144010800,802,서울시 마포구 독막로 288,37.544455,126.944848,126,0,18,8,377,43,167,,HT001,113.71,84.6,74,3,2,68,계단식,612675,1232280,122535,497070,0,0,0,,,,,"12억 5,000",,,,,,,,,,
2,대흥세양,113B㎡,서울시 마포구 대흥동,1144010800,802,서울시 마포구 독막로 288,37.544455,126.944848,126,0,18,8,377,43,167,,HT001,113.49,84.45,74,3,2,7,계단식,557550,1144080,111510,475020,0,0,0,,,,,,,,,,,,,,,
3,대흥세양,153,서울시 마포구 대흥동,1144010800,802,서울시 마포구 독막로 288,37.544455,126.944848,126,0,18,8,377,43,167,,HT001,153.55,114.24,74,4,2,17,계단식,1056600,1858230,211320,590310,0,0,0,,,,"13억 8,000",14억,,"8억 5,000",,,,,,,,
0,대흥태영(마포태영),83㎡,서울시 마포구 대흥동,1144010800,660,서울시 마포구 독막로 266,37.544731,126.942547,1992,568,25,15,344,22,1953,(주)태영,HT005,83.98,59.4,71,3,1,464,복도식,,,,,,,,,258801,180000,"10억 8,000",12억,"4억 8,000",6억,"5,000/200","3억 5,000/80","5,000/200","3억 5,000/80",,,,
1,대흥태영(마포태영),109㎡,서울시 마포구 대흥동,1144010800,660,서울시 마포구 독막로 266,37.544731,126.942547,1992,568,25,15,344,22,1953,(주)태영,HT005,109.39,84.77,77,3,2,586,계단식,,,,,,,,,369336,256879,"14억 5,000","17억 5,000",7억,"7억 6,000",,,,,,,,
2,대흥태영(마포태영),142,서울시 마포구 대흥동,1144010800,660,서울시 마포구 독막로 266,37.544731,126.942547,1992,568,25,15,344,22,1953,(주)태영,HT005,142.97,114.93,80,4,2,374,계단식,,,,,,,,,500741,348273,"17억 5,000",21억,,,,,,,,,,
0,동양엔파트,105A㎡,서울시 마포구 대흥동,1144010800,803,서울시 마포구 백범로 82,37.547966,126.940487,165,0,15,15,249,19,195,동양메이저(주),HT001,105.96,84.89,80,3,2,90,계단식,1044000,1838700,208800,585900,0,0,0,,238246,242597,,,,"7억 3,000",,,,,,,,
1,동양엔파트,106B㎡,서울시 마포구 대흥동,1144010800,803,서울시 마포구 백범로 82,37.547966,126.940487,165,0,15,15,249,19,195,동양메이저(주),HT001,106.72,84.93,80,3,2,45,계단식,1044000,1838700,208800,585900,0,0,0,,238359,242711,,"14억 8,000",,,,,,,,,,
2,동양엔파트,108C,서울시 마포구 대흥동,1144010800,803,서울시 마포구 백범로 82,37.547966,126.940487,165,0,15,15,249,19,195,동양메이저(주),HT001,108.12,84.91,79,3,2,30,계단식,1044000,1838700,208800,585900,0,0,0,,238294,242646,,,,,,,,,,,,
0,마포그랑자이,80A㎡,서울시 마포구 대흥동,1144010800,806,서울시 마포구 대흥로 175,37.55555,126.94451,1248,216,23,3,256,26,1421,지에스건설(주),HT001,80.85,59.96,74,3,2,256,계단식,,,,,,,,,189852,201695,14억,15억,,"7억 5,000",,,,,,,,
1,마포그랑자이,82B㎡,서울시 마포구 대흥동,1144010800,806,서울시 마포구 대흥로 175,37.55555,126.94451,1248,216,23,3,256,26,1421,지에스건설(주),HT001,82.28,59.98,73,3,2,163,계단식,,,,,,,,,189915,201762,"14억 2,000","15억 5,000","7억 5,000","8억 5,000",,,,,,,,
2,마포그랑자이,112A㎡,서울시 마포구 대흥동,1144010800,806,서울시 마포구 대흥로 175,37.55555,126.94451,1248,216,23,3,256,26,1421,지에스건설(주),HT001,112.95,84.98,75,3,2,346,계단식,,,,,,,,,269072,285857,"16억 4,000","18억 5,000",,,"3,000/380","5억 5,000/160","3,000/380","5억 5,000/160",,,,
3,마포그랑자이,113B㎡,서울시 마포구 대흥동,1144010800,806,서울시 마포구 대흥로 175,37.55555,126.94451,1248,216,23,3,256,26,1421,지에스건설(주),HT001,113.53,84.98,75,3,2,128,계단식,,,,,,,,,269072,285857,"17억 5,000","19억 5,000",,,4억/220,"5억 5,000/170",4억/220,"5억 5,000/170",,,,
4,마포그랑자이,114C㎡,서울시 마포구 대흥동,1144010800,806,서울시 마포구 대흥로 175,37.55555,126.94451,1248,216,23,3,256,26,1421,지에스건설(주),HT001,114.4,84.99,74,3,2,87,계단식,,,,,,,,,269104,285891,16억,18억,,"2억 5,000",,,,,,,,
5,마포그랑자이,114D㎡,서울시 마포구 대흥동,1144010800,806,서울시 마포구 대흥로 175,37.55555,126.94451,1248,216,23,3,256,26,1421,지에스건설(주),HT001,114.02,84.99,75,3,2,22,계단식,,,,,,,,,269104,285891,"16억 5,000",18억,,,,,,,,,,
6,마포그랑자이,128㎡,서울시 마포구 대흥동,1144010800,806,서울시 마포구 대흥로 175,37.55555,126.94451,1248,216,23,3,256,26,1421,지에스건설(주),HT001,128.95,96.97,75,4,2,22,계단식,,,,,,,,,307037,326190,23억,24억,,,,,,,,,,
7,마포그랑자이,153B㎡,서울시 마포구 대흥동,1144010800,806,서울시 마포구 대흥로 175,37.55555,126.94451,1248,216,23,3,256,26,1421,지에스건설(주),HT001,153.67,112.98,74,4,2,5,계단식,,,,,,,,,357729,380044,,31억,,,,,,,,,,
8,마포그랑자이,153C㎡,서울시 마포구 대흥동,1144010800,806,서울시 마포구 대흥로 175,37.55555,126.94451,1248,216,23,3,256,26,1421,지에스건설(주),HT001,153.54,112.88,74,4,2,2,계단식,,,,,,,,,357413,379708,,,,,,,,,,,,
9,마포그랑자이,153A,서울시 마포구 대흥동,1144010800,806,서울시 마포구 대흥로 175,37.55555,126.94451,1248,216,23,3,256,26,1421,지에스건설(주),HT001,153.77,112.99,73,4,2,1,계단식,,,,,,,,,357761,380078,,,,,,,,,,,,
0,마포자이2차,110A㎡,서울시 마포구 대흥동,1144010800,804,서울시 마포구 서강대길 40,37.549204,126.941975,558,96,25,14,247,16,758,지에스건설(주),HT001,110.16,84.95,77,3,2,221,계단식,,,,,,,,,249403,293658,"15억 8,000","18억 5,000",,"9억 2,000",,,,,,,,
1,마포자이2차,110B㎡,서울시 마포구 대흥동,1144010800,804,서울시 마포구 서강대길 40,37.549204,126.941975,558,96,25,14,247,16,758,지에스건설(주),HT001,110.82,84.44,76,3,2,147,계단식,,,,,,,,,247905,291895,"17억 5,000","18억 5,000",,,,,,,,,,
2,마포자이2차,144A㎡,서울시 마포구 대흥동,1144010800,804,서울시 마포구 서강대길 40,37.549204,126.941975,558,96,25,14,247,16,758,지에스건설(주),HT001,144.13,118.79,82,4,2,50,계단식,,,,,,,,,348753,410638,"20억 5,000",24억,,,,,,,,,,
3,마포자이2차,145B,서울시 마포구 대흥동,1144010800,804,서울시 마포구 서강대길 40,37.549204,126.941975,558,96,25,14,247,16,758,지에스건설(주),HT001,145.63,118.56,81,4,2,44,계단식,,,,,,,,,348078,409843,,23억,,13억,,,,,,,,
0,만민하늘애(도시형),36㎡,서울시 마포구 대흥동,1144010800,347,서울시 마포구 독막로38길 23,37.545391,126.941013,24,0,6,5,199,53,18,거성종합건설(주),HT001,36.01,29.91,83,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,만민하늘애(도시형),43㎡,서울시 마포구 대흥동,1144010800,347,서울시 마포구 독막로38길 23,37.545391,126.941013,24,0,6,5,199,53,18,거성종합건설(주),HT001,43.96,36.51,83,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,만민하늘애(도시형),51㎡,서울시 마포구 대흥동,1144010800,347,서울시 마포구 독막로38길 23,37.545391,126.941013,24,0,6,5,199,53,18,거성종합건설(주),HT001,51.19,42.84,84,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
