,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,동선브라운스톤,82A㎡,서울시 성북구 동소문동7가,1129011000,120,서울시 성북구 아리랑로5길 25,37.596453,127.013621,194,0,15,12,234,26,228,이수건설(주),HT001,82.89,59.96,72,2,2,24,계단식,356400,803160,71280,375480,0,0,0,,218210,224709,,10억,,,,,,,,,,
1,동선브라운스톤,83B㎡,서울시 성북구 동소문동7가,1129011000,120,서울시 성북구 아리랑로5길 25,37.596453,127.013621,194,0,15,12,234,26,228,이수건설(주),HT001,83.29,59.96,72,3,2,29,복합식,356400,803160,71280,375480,0,0,0,,218210,224709,"8억 5,000","9억 5,000",,"5억 4,000",,,,,,,,
2,동선브라운스톤,89㎡,서울시 성북구 동소문동7가,1129011000,120,서울시 성북구 아리랑로5길 25,37.596453,127.013621,194,0,15,12,234,26,228,이수건설(주),HT001,89.18,59.95,67,2,2,27,계단식,356400,803160,71280,375480,0,0,0,,218173,224671,,"9억 5,000",,,,,,,,,,
3,동선브라운스톤,112A㎡,서울시 성북구 동소문동7가,1129011000,120,서울시 성북구 아리랑로5길 25,37.596453,127.013621,194,0,15,12,234,26,228,이수건설(주),HT001,112.86,84.96,75,3,2,26,복합식,492975,1040760,98595,449190,0,0,0,,309191,318400,"9억 5,000","11억 5,000",,,,,,,,,,
4,동선브라운스톤,116B㎡,서울시 성북구 동소문동7가,1129011000,120,서울시 성북구 아리랑로5길 25,37.596453,127.013621,194,0,15,12,234,26,228,이수건설(주),HT001,116.94,84.96,73,3,2,58,계단식,492975,1040760,98595,449190,0,0,0,,309191,318400,,12억,,,,,,,,,,
5,동선브라운스톤,146A㎡,서울시 성북구 동소문동7가,1129011000,120,서울시 성북구 아리랑로5길 25,37.596453,127.013621,194,0,15,12,234,26,228,이수건설(주),HT001,146.6,114.97,78,4,2,1,계단식,625275,1252440,125055,502110,0,0,0,,418404,430867,,,,,,,,,,,,
6,동선브라운스톤,147B,서울시 성북구 동소문동7가,1129011000,120,서울시 성북구 아리랑로5길 25,37.596453,127.013621,194,0,15,12,234,26,228,이수건설(주),HT001,147.22,114.97,78,4,2,29,계단식,642600,1280160,128520,509040,0,0,0,,418404,430867,,,,,,,,,,,,
0,동소문한신휴플러스2차,75㎡,서울시 성북구 동소문동7가,1129011000,23,서울시 성북구 동소문로15길 99,37.595184,127.013729,409,0,20,4,118,11,522,한신공영(주),HT001,75.4,59.91,79,3,2,170,계단식,310500,715950,62100,343350,0,0,0,,173896,174061,"7억 3,000","8억 2,000","3억 8,000",4억,,"1억 6,000/110",,"1억 6,000/110",,,,
1,동소문한신휴플러스2차,100㎡,서울시 성북구 동소문동7가,1129011000,23,서울시 성북구 동소문로15길 99,37.595184,127.013729,409,0,20,4,118,11,522,한신공영(주),HT001,100.81,84.95,84,3,2,159,계단식,412200,909180,82440,414540,0,0,0,,246577,246811,"8억 3,000","10억 5,000",,"5억 5,000",,,,,,,,
2,동소문한신휴플러스2차,123㎡,서울시 성북구 동소문동7가,1129011000,23,서울시 성북구 동소문로15길 99,37.595184,127.013729,409,0,20,4,118,11,522,한신공영(주),HT001,123.53,106.27,86,3,2,9,계단식,296100,688590,59220,333270,0,0,0,,308461,308753,,,,6억,,,,,,,,
3,동소문한신휴플러스2차,135㎡,서울시 성북구 동소문동7가,1129011000,23,서울시 성북구 동소문로15길 99,37.595184,127.013729,409,0,20,4,118,11,522,한신공영(주),HT001,135.54,114.97,85,4,2,53,계단식,527625,1096200,105525,463050,0,0,0,,333714,334030,"10억 9,000",11억,,"6억 5,000",2억/200,3억/160,2억/200,3억/160,,,,
4,동소문한신휴플러스2차,177,서울시 성북구 동소문동7가,1129011000,23,서울시 성북구 동소문로15길 99,37.595184,127.013729,409,0,20,4,118,11,522,한신공영(주),HT001,177.99,156.33,88,4,2,18,계단식,442575,960120,88515,429030,0,0,0,,453766,454196,,,,,,,,,,,,
0,샤인힐(주상복합),80㎡,서울시 성북구 동소문동7가,1129011000,75-10,서울시 성북구 아리랑로5길 39,37.596917,127.013094,12,0,7,7,272,54,9,동서종합건설(주),HT001,80.22,71.42,89,1,1,1,계단식,75300,237780,15060,147420,0,0,0,,,,,,,,,,,,,,,
1,샤인힐(주상복합),81㎡,서울시 성북구 동소문동7가,1129011000,75-10,서울시 성북구 아리랑로5길 39,37.596917,127.013094,12,0,7,7,272,54,9,동서종합건설(주),HT001,81.62,72.66,89,1,1,1,계단식,75300,237780,15060,147420,0,0,0,,,,,,,,,,,,,,,
2,샤인힐(주상복합),93A㎡,서울시 성북구 동소문동7가,1129011000,75-10,서울시 성북구 아리랑로5길 39,37.596917,127.013094,12,0,7,7,272,54,9,동서종합건설(주),HT001,93.47,83.21,89,1,1,5,계단식,94650,288090,18930,174510,0,0,0,,,,,,,,,,,,,,,
3,샤인힐(주상복합),94B,서울시 성북구 동소문동7가,1129011000,75-10,서울시 성북구 아리랑로5길 39,37.596917,127.013094,12,0,7,7,272,54,9,동서종합건설(주),HT001,94.05,83.73,89,1,1,5,계단식,94650,288090,18930,174510,0,0,0,,,,,,,,,,,,,,,
0,아리랑힐빌라트(도시형),53B㎡,서울시 성북구 동소문동7가,1129011000,85-1,서울시 성북구 아리랑로7길 11,37.597274,127.014125,35,0,6,6,192,49,31,아텍건설(주),HT001,53.48,46.33,87,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
1,아리랑힐빌라트(도시형),53A㎡,서울시 성북구 동소문동7가,1129011000,85-1,서울시 성북구 아리랑로7길 11,37.597274,127.014125,35,0,6,6,192,49,31,아텍건설(주),HT001,53.34,46.21,87,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,아리랑힐빌라트(도시형),54C㎡,서울시 성북구 동소문동7가,1129011000,85-1,서울시 성북구 아리랑로7길 11,37.597274,127.014125,35,0,6,6,192,49,31,아텍건설(주),HT001,54.5,47.22,87,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,아리랑힐빌라트(도시형),61㎡,서울시 성북구 동소문동7가,1129011000,85-1,서울시 성북구 아리랑로7길 11,37.597274,127.014125,35,0,6,6,192,49,31,아텍건설(주),HT001,61.44,53.23,87,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
4,아리랑힐빌라트(도시형),63A㎡,서울시 성북구 동소문동7가,1129011000,85-1,서울시 성북구 아리랑로7길 11,37.597274,127.014125,35,0,6,6,192,49,31,아텍건설(주),HT001,63.38,54.91,87,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
5,아리랑힐빌라트(도시형),64C㎡,서울시 성북구 동소문동7가,1129011000,85-1,서울시 성북구 아리랑로7길 11,37.597274,127.014125,35,0,6,6,192,49,31,아텍건설(주),HT001,64.34,55.74,87,2,1,6,계단식,,,,,,,,,,,,,,,,,,,,,,
6,아리랑힐빌라트(도시형),64D㎡,서울시 성북구 동소문동7가,1129011000,85-1,서울시 성북구 아리랑로7길 11,37.597274,127.014125,35,0,6,6,192,49,31,아텍건설(주),HT001,64.56,55.93,87,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
7,아리랑힐빌라트(도시형),64B㎡,서울시 성북구 동소문동7가,1129011000,85-1,서울시 성북구 아리랑로7길 11,37.597274,127.014125,35,0,6,6,192,49,31,아텍건설(주),HT001,64.16,55.59,87,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
8,아리랑힐빌라트(도시형),65E㎡,서울시 성북구 동소문동7가,1129011000,85-1,서울시 성북구 아리랑로7길 11,37.597274,127.014125,35,0,6,6,192,49,31,아텍건설(주),HT001,65.49,56.74,87,2,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
9,아리랑힐빌라트(도시형),66A㎡,서울시 성북구 동소문동7가,1129011000,85-1,서울시 성북구 아리랑로7길 11,37.597274,127.014125,35,0,6,6,192,49,31,아텍건설(주),HT001,66.95,58,87,3,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
10,아리랑힐빌라트(도시형),66F㎡,서울시 성북구 동소문동7가,1129011000,85-1,서울시 성북구 아리랑로7길 11,37.597274,127.014125,35,0,6,6,192,49,31,아텍건설(주),HT001,66.02,57.2,87,2,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
11,아리랑힐빌라트(도시형),67B㎡,서울시 성북구 동소문동7가,1129011000,85-1,서울시 성북구 아리랑로7길 11,37.597274,127.014125,35,0,6,6,192,49,31,아텍건설(주),HT001,67.24,58.25,87,3,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
12,아리랑힐빌라트(도시형),67C,서울시 성북구 동소문동7가,1129011000,85-1,서울시 성북구 아리랑로7길 11,37.597274,127.014125,35,0,6,6,192,49,31,아텍건설(주),HT001,67.52,58.5,87,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
