,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,동자,13㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,13.22,13.22,100,1,1,4,계단식,79350,248310,15870,153090,0,0,0,,,,,,,,,,,,,,,
1,동자,24㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,24.43,24.43,100,1,1,1,계단식,99150,299790,19830,180810,0,0,0,,,,,,,,,,,,,,,
2,동자,27㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,27.34,27.34,100,1,1,5,계단식,119850,353610,23970,209790,0,0,0,,,,,,,,,,,,,,,
3,동자,28㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,28.46,28.46,100,1,1,1,계단식,24750,99000,4950,69300,0,0,0,,,,,,,,,,,,,,,
4,동자,31A㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,31.93,31.93,100,1,1,1,계단식,122400,358560,24480,211680,0,0,0,,,,,,,,,,,,,,,
5,동자,33B㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,33.52,33.52,100,1,1,1,계단식,131400,375660,26280,217980,0,0,0,,,,,,,,,,,,,,,
6,동자,34㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,34.61,34.61,100,1,1,1,계단식,29475,117900,5895,82530,0,0,0,,,,,,,,,,,,,,,
7,동자,35㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,35.44,35.44,100,1,1,2,계단식,135000,382500,27000,220500,0,0,0,,,,,,,,,,,,,,,
8,동자,44A㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,44,44,100,2,1,8,계단식,174600,457740,34920,248220,0,0,0,,,,,,,,,,,,,,,
9,동자,44B㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,44.5,44.5,100,1,1,6,계단식,166500,442350,33300,242550,0,0,0,,,,,,,,,,,,,,,
10,동자,44A㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,44.79,44.79,100,1,1,3,계단식,174600,457740,34920,248220,0,0,0,,,,,,,,,,,,,,,
11,동자,45㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,45.02,45.02,100,1,1,1,계단식,42900,153540,8580,102060,0,0,0,,,,,,,,,,,,,,,
12,동자,51㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,51.47,51.47,100,2,1,2,계단식,204300,514170,40860,269010,0,0,0,,,,,,,,,,,,,,,
13,동자,56A㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,56,56,100,1,1,2,계단식,252000,604800,50400,302400,0,0,0,,,,,,,,,,,,,,,
14,동자,56C㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,56.79,56.79,100,1,1,2,계단식,252000,604800,50400,302400,0,0,0,,,,,,,,,,,,,,,
15,동자,56B㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,56.03,56.03,100,1,1,1,계단식,39300,144180,7860,97020,0,0,0,,,,,,,,,,,,,,,
16,동자,58A㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,58.51,58.51,100,2,1,5,계단식,261900,623610,52380,309330,0,0,0,,,,,,,,,,,,,,,
17,동자,60B㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,60,60,100,2,1,5,계단식,261900,623610,52380,309330,0,0,0,,,,,,,,,,,,,,,
18,동자,60C㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,60.6,60.6,100,2,1,5,계단식,261900,623610,52380,309330,0,0,0,,,,,,,,,,,,,,,
19,동자,64㎡,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,64,64,100,3,1,2,계단식,261900,623610,52380,309330,0,0,0,,,,,,,,,,,,,,,
20,동자,89,서울시 용산구 동자동,1117010700,19-8,서울시 용산구 한강대로104마길 30,37.551153,126.974971,59,0,6,3,0,0,0,,HT001,89.22,89.22,100,2,1,1,계단식,337500,767250,67500,362250,0,0,0,,,,,,,,,,,,,,,
