,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,강변삼성스위트,79A㎡,서울시 용산구 원효로4가,1117011800,178,서울시 용산구 원효로 40,37.534044,126.948536,300,0,22,12,358,23,306,삼성중공업(주),HT001,79.82,59.92,75,3,1,44,복도식,737100,1431360,147420,546840,0,0,0,,175940,176054,"12억 5,000",14억,,"4억 8,000",1억/170,2억/150,1억/170,2억/150,,,,
1,강변삼성스위트,80B㎡,서울시 용산구 원효로4가,1117011800,178,서울시 용산구 원효로 40,37.534044,126.948536,300,0,22,12,358,23,306,삼성중공업(주),HT001,80.32,59.94,75,3,1,107,복도식,1015200,1794060,203040,575820,0,0,0,,175998,176113,"10억 9,000","13억 2,000",,5억,,,,,,,,
2,강변삼성스위트,98㎡,서울시 용산구 원효로4가,1117011800,178,서울시 용산구 원효로 40,37.534044,126.948536,300,0,22,12,358,23,306,삼성중공업(주),HT001,98.23,72.84,74,3,1,20,복도식,1184400,2056320,236880,635040,0,0,0,,213876,214015,,,,,,,,,,,,
3,강변삼성스위트,112A㎡,서울시 용산구 원효로4가,1117011800,178,서울시 용산구 원효로 40,37.534044,126.948536,300,0,22,12,358,23,306,삼성중공업(주),HT001,112.52,84.9,75,3,2,66,복도식,1515600,2569680,303120,750960,278208,231840,46368,,249287,249449,"14억 9,000",15억,,"5억 8,000",,6억/100,,6억/100,,,,
4,강변삼성스위트,112B,서울시 용산구 원효로4가,1117011800,178,서울시 용산구 원효로 40,37.534044,126.948536,300,0,22,12,358,23,306,삼성중공업(주),HT001,112.58,84.94,75,3,2,63,복도식,1515600,2569680,303120,750960,278208,231840,46368,,249405,249567,,,"5억 8,000",6억,,1억/200,,1억/200,,,,
0,한성한강수,132㎡,서울시 용산구 원효로4가,1117011800,128-1,서울시 용산구 효창원로8길 16,37.533682,126.951393,40,0,9,6,178,24,89,(주)한성,HT001,132.99,105.79,80,3,2,1,계단식,429975,939960,85995,423990,0,0,0,,,,,,,,,,,,,,,
1,한성한강수,144㎡,서울시 용산구 원효로4가,1117011800,128-1,서울시 용산구 효창원로8길 16,37.533682,126.951393,40,0,9,6,178,24,89,(주)한성,HT001,144.75,122.76,85,3,2,1,계단식,505575,1060920,101115,454230,0,0,0,,,,,,,,,,,,,,,
2,한성한강수,152㎡,서울시 용산구 원효로4가,1117011800,128-1,서울시 용산구 효창원로8길 16,37.533682,126.951393,40,0,9,6,178,24,89,(주)한성,HT001,152.95,130.08,85,4,2,1,계단식,541800,1118880,108360,468720,0,0,0,,,,,,,,,,,,,,,
3,한성한강수,155㎡,서울시 용산구 원효로4가,1117011800,128-1,서울시 용산구 효창원로8길 16,37.533682,126.951393,40,0,9,6,178,24,89,(주)한성,HT001,155.41,121.68,78,4,2,1,계단식,590625,1197000,118125,488250,0,0,0,,,,,,,,,,,,,,,
4,한성한강수,159A㎡,서울시 용산구 원효로4가,1117011800,128-1,서울시 용산구 효창원로8길 16,37.533682,126.951393,40,0,9,6,178,24,89,(주)한성,HT001,159.73,135.77,85,4,2,1,계단식,666225,1317960,133245,518490,0,0,0,,,,,,,,,,,,,,,
