,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,구암하이츠,55㎡,서울시 종로구 신영동,1111018600,105-22,서울시 종로구 세검정로6다길 11-1,37.601888,126.962259,18,0,5,4,218,55,17,(주)중앙건설,HT005,55.07,47.67,87,2,1,1,계단식,47400,165240,9480,108360,0,0,0,,,,,,,,,,,,,,,
1,구암하이츠,66A㎡,서울시 종로구 신영동,1111018600,105-22,서울시 종로구 세검정로6다길 11-1,37.601888,126.962259,18,0,5,4,218,55,17,(주)중앙건설,HT005,66.07,58.03,88,3,2,1,계단식,63600,207360,12720,131040,0,0,0,,,,,,,,,,,,,,,
2,구암하이츠,66B㎡,서울시 종로구 신영동,1111018600,105-22,서울시 종로구 세검정로6다길 11-1,37.601888,126.962259,18,0,5,4,218,55,17,(주)중앙건설,HT005,66.4,58.35,88,3,2,1,계단식,68550,220230,13710,137970,0,0,0,,,,,,,,,,,,,,,
3,구암하이츠,66C㎡,서울시 종로구 신영동,1111018600,105-22,서울시 종로구 세검정로6다길 11-1,37.601888,126.962259,18,0,5,4,218,55,17,(주)중앙건설,HT005,66.75,59.09,89,3,2,1,계단식,63600,207360,12720,131040,0,0,0,,,,,,,,,,,,,,,
4,구암하이츠,78㎡,서울시 종로구 신영동,1111018600,105-22,서울시 종로구 세검정로6다길 11-1,37.601888,126.962259,18,0,5,4,218,55,17,(주)중앙건설,HT005,78.94,70.62,89,3,2,1,계단식,74850,236610,14970,146790,0,0,0,,,,,"4억 5,000",,,,,,,,,,
5,구암하이츠,82A㎡,서울시 종로구 신영동,1111018600,105-22,서울시 종로구 세검정로6다길 11-1,37.601888,126.962259,18,0,5,4,218,55,17,(주)중앙건설,HT005,82.85,74.45,90,3,2,3,계단식,89250,274050,17850,166950,0,0,0,,,,,,,,,,,,,,,
6,구암하이츠,82B㎡,서울시 종로구 신영동,1111018600,105-22,서울시 종로구 세검정로6다길 11-1,37.601888,126.962259,18,0,5,4,218,55,17,(주)중앙건설,HT005,82.97,74.56,90,3,2,1,계단식,89250,274050,17850,166950,0,0,0,,,,,,,,,,,,,,,
7,구암하이츠,84㎡,서울시 종로구 신영동,1111018600,105-22,서울시 종로구 세검정로6다길 11-1,37.601888,126.962259,18,0,5,4,218,55,17,(주)중앙건설,HT005,84.33,75.89,90,3,2,3,계단식,89250,274050,17850,166950,0,0,0,,,,,,,,,,,,,,,
8,구암하이츠,93,서울시 종로구 신영동,1111018600,105-22,서울시 종로구 세검정로6다길 11-1,37.601888,126.962259,18,0,5,4,218,55,17,(주)중앙건설,HT005,93.58,84.94,91,3,2,6,계단식,101850,306810,20370,184590,0,0,0,,,,"5억 5,000",6억,,,,,,,,,,
0,대아파크빌,89㎡,서울시 종로구 신영동,1111018600,254,서울시 종로구 진흥로 480,37.60544,126.96042,67,0,14,9,335,58,69,대아건설(주),HT001,89.64,59.22,66,3,1,48,복도식,91050,278730,18210,169470,0,0,0,,,,"5억 5,000","6억 5,000",,,,,,,,,,
1,대아파크빌,128,서울시 종로구 신영동,1111018600,254,서울시 종로구 진흥로 480,37.60544,126.96042,67,0,14,9,335,58,69,대아건설(주),HT001,128.42,84.84,66,3,2,19,복도식,176400,461160,35280,249480,0,0,0,,,,,"7억 2,000",,,,,,,,,,
0,중앙빌라,115A㎡,서울시 종로구 신영동,1111018600,150-6,서울시 종로구 자하문로42길 50,37.599191,126.963626,96,0,3,3,0,0,0,,HT001,115.68,79.56,69,3,2,78,계단식,256500,552240,51300,244440,0,0,0,,,,,,,,,,,,,,,
1,중앙빌라,116B,서울시 종로구 신영동,1111018600,150-6,서울시 종로구 자하문로42길 50,37.599191,126.963626,96,0,3,3,0,0,0,,HT001,116.04,79.83,69,3,2,18,계단식,258000,554880,51600,245280,0,0,0,,,,,,,,,,,,,,,
