,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,두레,70㎡,서울시 종로구 필운동,1111011300,174-1,서울시 종로구 필운대로2길 2,37.578183,126.969684,18,0,7,7,191,47,20,주식회사 에이앤베스트종합건설,HT001,70.93,59.85,84,3,1,1,계단식,159300,428670,31860,237510,0,0,0,,,,,,,,,,,,,,,
1,두레,92㎡,서울시 종로구 필운동,1111011300,174-1,서울시 종로구 필운대로2길 2,37.578183,126.969684,18,0,7,7,191,47,20,주식회사 에이앤베스트종합건설,HT001,92.93,78.42,84,3,1,2,계단식,249300,599670,49860,300510,0,0,0,,,,,,,,,,,,,,,
2,두레,100,서울시 종로구 필운동,1111011300,174-1,서울시 종로구 필운대로2길 2,37.578183,126.969684,18,0,7,7,191,47,20,주식회사 에이앤베스트종합건설,HT001,100.44,84.74,84,3,2,15,계단식,304200,703980,60840,338940,0,0,0,,,,,,,,,,,,,,,
0,신동아블루아광화문의꿈(주상복합),125A㎡,서울시 종로구 필운동,1111011300,254,서울시 종로구 사직로 102,37.575816,126.969968,28,0,11,11,515,59,39,(주)신동아종합건설,HT001,125.12,107.5,86,4,2,7,계단식,,,,,,,,,,,,,,,,,,,,,,
1,신동아블루아광화문의꿈(주상복합),126B㎡,서울시 종로구 필운동,1111011300,254,서울시 종로구 사직로 102,37.575816,126.969968,28,0,11,11,515,59,39,(주)신동아종합건설,HT001,126.81,108.95,86,4,2,7,계단식,,,,,,,,,,,,,,,,,,,,,,
2,신동아블루아광화문의꿈(주상복합),130㎡,서울시 종로구 필운동,1111011300,254,서울시 종로구 사직로 102,37.575816,126.969968,28,0,11,11,515,59,39,(주)신동아종합건설,HT001,130.33,111.97,86,4,2,7,계단식,,,,,,,,,,,14억,"14억 5,000","8억 2,680","8억 3,000",,,,,,,,
3,신동아블루아광화문의꿈(주상복합),161,서울시 종로구 필운동,1111011300,254,서울시 종로구 사직로 102,37.575816,126.969968,28,0,11,11,515,59,39,(주)신동아종합건설,HT001,161.39,138.66,86,4,2,7,계단식,,,,,,,,,,,,,,,,,,,,,,
0,파크맨션,111㎡,서울시 종로구 필운동,1111011300,142,서울시 종로구 사직로 95,37.576343,126.969362,15,0,7,7,0,0,0,,HT001,111.04,99.17,89,3,2,8,계단식,,,,,,,,,,,,,,,,4억/50,,4억/50,,,,
1,파크맨션,117A㎡,서울시 종로구 필운동,1111011300,142,서울시 종로구 사직로 95,37.576343,126.969362,15,0,7,7,0,0,0,,HT001,117.29,104.73,89,4,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,파크맨션,118B㎡,서울시 종로구 필운동,1111011300,142,서울시 종로구 사직로 95,37.576343,126.969362,15,0,7,7,0,0,0,,HT001,118.05,105.49,89,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,파크맨션,164㎡,서울시 종로구 필운동,1111011300,142,서울시 종로구 사직로 95,37.576343,126.969362,15,0,7,7,0,0,0,,HT001,164.23,151.67,92,4,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
4,파크맨션,222,서울시 종로구 필운동,1111011300,142,서울시 종로구 사직로 95,37.576343,126.969362,15,0,7,7,0,0,0,,HT001,222.09,198.35,89,5,3,1,계단식,,,,,,,,,,,,,,,,,,,,,,
