,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,이지마루종로(주상복합),22A㎡,서울시 종로구 효제동,1111016200,126-2,서울시 종로구 김상옥로 55,37.573718,127.003868,92,0,16,15,532,53,51,(주)수영종합건설,HT001,22.52,17.73,79,1,1,10,계단식,,,,,,,,,,,,,,,,,,,,,,
1,이지마루종로(주상복합),24B㎡,서울시 종로구 효제동,1111016200,126-2,서울시 종로구 김상옥로 55,37.573718,127.003868,92,0,16,15,532,53,51,(주)수영종합건설,HT001,24.53,19.31,79,1,1,13,계단식,,,,,,,,,,,,,,,,,,,,,,
2,이지마루종로(주상복합),26㎡,서울시 종로구 효제동,1111016200,126-2,서울시 종로구 김상옥로 55,37.573718,127.003868,92,0,16,15,532,53,51,(주)수영종합건설,HT001,26.51,20.87,79,1,1,13,계단식,,,,,,,,,,,,,,,,,,,,,,
3,이지마루종로(주상복합),31㎡,서울시 종로구 효제동,1111016200,126-2,서울시 종로구 김상옥로 55,37.573718,127.003868,92,0,16,15,532,53,51,(주)수영종합건설,HT001,31.05,24.44,79,1,1,10,계단식,,,,,,,,,,,,,,,,,,,,,,
4,이지마루종로(주상복합),32C㎡,서울시 종로구 효제동,1111016200,126-2,서울시 종로구 김상옥로 55,37.573718,127.003868,92,0,16,15,532,53,51,(주)수영종합건설,HT001,32.46,25.55,79,1,1,13,계단식,,,,,,,,,,,,,,,,"2억 5,000/40",,"2억 5,000/40",,,,
5,이지마루종로(주상복합),33D㎡,서울시 종로구 효제동,1111016200,126-2,서울시 종로구 김상옥로 55,37.573718,127.003868,92,0,16,15,532,53,51,(주)수영종합건설,HT001,33.85,26.65,79,1,1,13,계단식,,,,,,,,,,,,,,,,,,,,,,
6,이지마루종로(주상복합),33A㎡,서울시 종로구 효제동,1111016200,126-2,서울시 종로구 김상옥로 55,37.573718,127.003868,92,0,16,15,532,53,51,(주)수영종합건설,HT001,33.84,26.64,79,1,1,10,계단식,,,,,,,,,,,,,,,,,,,,,,
7,이지마루종로(주상복합),33B,서울시 종로구 효제동,1111016200,126-2,서울시 종로구 김상옥로 55,37.573718,127.003868,92,0,16,15,532,53,51,(주)수영종합건설,HT001,33.45,26.33,79,1,1,10,계단식,,,,,,,,,,,,,,,,,,,,,,
0,포레스트힐시티(도시형),19D㎡,서울시 종로구 효제동,1111016200,65-2,서울시 종로구 대학로 33,37.574222,127.001863,152,0,14,14,538,59,75,신흥선건설(주),HT001,19.8,14.18,72,1,1,8,복도식,,,,,,,,,88833,83169,"1억 6,000","1억 7,000",,,,,,,,,,
1,포레스트힐시티(도시형),20B㎡,서울시 종로구 효제동,1111016200,65-2,서울시 종로구 대학로 33,37.574222,127.001863,152,0,14,14,538,59,75,신흥선건설(주),HT001,20.5,14.68,72,1,1,13,복도식,,,,,,,,,91961,86097,,"1억 7,000",,"1억 8,500",,,,,,,,
