,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,강동리버스트4단지,73A㎡,서울시 강동구 강일동,1174011000,114,서울시 강동구 아리수로93가길 110,37.572611,127.1731,1239,597,24,8,202,21,1154,(주)두산건설,HT005,73.46,49.82,68,2,1,345,계단식,,,,,,,,,208267,156800,"6억 4,000","8억 5,000","3억 8,000","4억 8,000","5,000/150",1억/120,"5,000/150",1억/120,,,,
1,강동리버스트4단지,87A,서울시 강동구 강일동,1174011000,114,서울시 강동구 아리수로93가길 110,37.572611,127.1731,1239,597,24,8,202,21,1154,(주)두산건설,HT005,87.85,59.99,68,3,2,297,계단식,,,,,,,,,250782,188808,"7억 5,000",10억,"4억 8,000","5억 5,000","5,000/190",4억/60,"5,000/190",4억/60,,,,
0,강동리버스트8단지,71B㎡,서울시 강동구 강일동,1174011000,66,서울시 강동구 아리수로93나길 88,37.571829,127.176297,946,420,22,5,202,23,896,"(주)대보건설,신해공영(주),(주)세방테크",HT005,71.89,49.8,69,3,1,65,계단식,,,,,,,,,,,,,,,,,,,,,,
1,강동리버스트8단지,72A㎡,서울시 강동구 강일동,1174011000,66,서울시 강동구 아리수로93나길 88,37.571829,127.176297,946,420,22,5,202,23,896,"(주)대보건설,신해공영(주),(주)세방테크",HT005,72.14,49.74,69,2,1,177,계단식,,,,,,,,,,,,,,,,,,,,,,
2,강동리버스트8단지,85B㎡,서울시 강동구 강일동,1174011000,66,서울시 강동구 아리수로93나길 88,37.571829,127.176297,946,420,22,5,202,23,896,"(주)대보건설,신해공영(주),(주)세방테크",HT005,85.93,59.55,69,2,1,43,계단식,,,,,,,,,,,"8억 3,000",9억,,5억,,,,,,,,
3,강동리버스트8단지,86A,서울시 강동구 강일동,1174011000,66,서울시 강동구 아리수로93나길 88,37.571829,127.176297,946,420,22,5,202,23,896,"(주)대보건설,신해공영(주),(주)세방테크",HT005,86.91,59.97,69,3,2,241,계단식,,,,,,,,,,,"8억 7,000",9억,5억,"5억 5,000",,3억/100,,3억/100,,,,
0,강일리버파크10단지,109A㎡,서울시 강동구 강일동,1174011000,695,서울시 강동구 고덕로97길 20,37.560728,127.181055,694,470,15,10,177,17,798,계룡건설산업(주),HT005,109.49,84.83,77,3,2,24,계단식,,,,,,,,,329260,222918,,"9억 5,000",,,,,,,,,,
1,강일리버파크10단지,110C㎡,서울시 강동구 강일동,1174011000,695,서울시 강동구 고덕로97길 20,37.560728,127.181055,694,470,15,10,177,17,798,계룡건설산업(주),HT005,110.09,84.74,77,3,2,78,계단식,,,,,,,,,328910,222682,"9억 1,000","10억 5,000",,,,3억/80,,3억/80,,,,
2,강일리버파크10단지,110B㎡,서울시 강동구 강일동,1174011000,695,서울시 강동구 고덕로97길 20,37.560728,127.181055,694,470,15,10,177,17,798,계룡건설산업(주),HT005,110.37,84.53,77,3,2,72,계단식,,,,,,,,,328096,222130,"9억 5,000",11억,,,,,,,,,,
3,강일리버파크10단지,142,서울시 강동구 강일동,1174011000,695,서울시 강동구 고덕로97길 20,37.560728,127.181055,694,470,15,10,177,17,798,계룡건설산업(주),HT005,142.14,114.81,81,4,2,50,계단식,,,,,,,,,445625,301700,,13억,6억,"6억 5,000",3억/150,"3억 5,000/150",3억/150,"3억 5,000/150",,,,
0,강일리버파크1단지,82A㎡,서울시 강동구 강일동,1174011000,665,서울시 강동구 아리수로93가길 25,37.567712,127.172183,282,106,12,5,116,17,327,삼환기업(주)외1,HT005,82.58,59.87,72,3,2,20,계단식,,,,,,,,,286252,200824,,,,,,,,,,,,
1,강일리버파크1단지,110C㎡,서울시 강동구 강일동,1174011000,665,서울시 강동구 아리수로93가길 25,37.567712,127.172183,282,106,12,5,116,17,327,삼환기업(주)외1,HT005,110.15,84.74,77,3,2,70,계단식,,,,,,,,,405161,284247,"8억 5,000",11억,,,,,,,,,,
2,강일리버파크1단지,110B㎡,서울시 강동구 강일동,1174011000,665,서울시 강동구 아리수로93가길 25,37.567712,127.172183,282,106,12,5,116,17,327,삼환기업(주)외1,HT005,110.45,84.53,77,3,2,64,계단식,,,,,,,,,404157,283542,"8억 5,000",11억,"4억 7,000",5억,,,,,,,,
3,강일리버파크1단지,111A,서울시 강동구 강일동,1174011000,665,서울시 강동구 아리수로93가길 25,37.567712,127.172183,282,106,12,5,116,17,327,삼환기업(주)외1,HT005,111.57,84.83,76,3,2,22,계단식,,,,,,,,,405591,284549,,,,,,,,,,,,
0,강일리버파크2단지,110C㎡,서울시 강동구 강일동,1174011000,668,서울시 강동구 아리수로97길 68,37.569339,127.176727,442,268,14,11,152,16,571,태기전 한신공영(주),HT005,110.74,84.74,77,3,2,66,계단식,,,,,,,,,325435,221533,9억,"9억 5,000",,,,,,,,,,
1,강일리버파크2단지,110A㎡,서울시 강동구 강일동,1174011000,668,서울시 강동구 아리수로97길 68,37.569339,127.176727,442,268,14,11,152,16,571,태기전 한신공영(주),HT005,110.04,84.83,77,3,2,44,계단식,,,,,,,,,325780,221768,,9억,,,,,,,,,,
2,강일리버파크2단지,111B,서울시 강동구 강일동,1174011000,668,서울시 강동구 아리수로97길 68,37.569339,127.176727,442,268,14,11,152,16,571,태기전 한신공영(주),HT005,111.05,84.53,76,3,2,64,계단식,,,,,,,,,324628,220984,"8억 9,000",9억,,,,4억/60,,4억/60,,,,
0,강일리버파크3단지,82A㎡,서울시 강동구 강일동,1174011000,674,서울시 강동구 아리수로93길 40,37.567057,127.175156,987,615,15,11,173,17,1105,삼환기업(주 외 1,HT005,82.04,59.87,73,3,2,78,계단식,,,,,,,,,274999,160761,,,,,,,,,,,,
1,강일리버파크3단지,82C2㎡,서울시 강동구 강일동,1174011000,674,서울시 강동구 아리수로93길 40,37.567057,127.175156,987,615,15,11,173,17,1105,삼환기업(주 외 1,HT005,82.13,59.88,73,3,2,24,계단식,,,,,,,,,275046,160788,8억,"8억 4,000",,,,,,,,,,
2,강일리버파크3단지,82D2㎡,서울시 강동구 강일동,1174011000,674,서울시 강동구 아리수로93길 40,37.567057,127.175156,987,615,15,11,173,17,1105,삼환기업(주 외 1,HT005,82.75,59.7,72,3,2,12,계단식,,,,,,,,,274218,160304,,,,,,,,,,,,
3,강일리버파크3단지,83B2㎡,서울시 강동구 강일동,1174011000,674,서울시 강동구 아리수로93길 40,37.567057,127.175156,987,615,15,11,173,17,1105,삼환기업(주 외 1,HT005,83,59.83,72,3,2,24,계단식,,,,,,,,,274816,160654,,"8억 5,000",,,,,,,,,,
4,강일리버파크3단지,109A㎡,서울시 강동구 강일동,1174011000,674,서울시 강동구 아리수로93길 40,37.567057,127.175156,987,615,15,11,173,17,1105,삼환기업(주 외 1,HT005,109.74,84.83,77,3,2,44,계단식,,,,,,,,,389648,227783,,"9억 5,000",5억,"5억 4,000",,"4억 5,000/40",,"4억 5,000/40",,,,
5,강일리버파크3단지,110B㎡,서울시 강동구 강일동,1174011000,674,서울시 강동구 아리수로93길 40,37.567057,127.175156,987,615,15,11,173,17,1105,삼환기업(주 외 1,HT005,110.62,84.53,76,3,2,96,계단식,,,,,,,,,388270,226977,9억,"9억 5,000",,,,,,,,,,
6,강일리버파크3단지,110C,서울시 강동구 강일동,1174011000,674,서울시 강동구 아리수로93길 40,37.567057,127.175156,987,615,15,11,173,17,1105,삼환기업(주 외 1,HT005,110.34,84.74,77,3,2,94,계단식,,,,,,,,,389234,227541,10억,"10억 5,000",,,,,,,,,,
