,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,광남캐스빌(646-10),38㎡,서울시 광진구 중곡동,1121510100,646-10,서울시 광진구 천호대로107길 26,37.558913,127.079073,15,0,6,6,247,58,12,광남검설(주),HT001,38.06,34.65,91,2,1,1,계단식,39750,145350,7950,97650,0,0,0,,,,,,,,,,,,,,,
1,광남캐스빌(646-10),44㎡,서울시 광진구 중곡동,1121510100,646-10,서울시 광진구 천호대로107길 26,37.558913,127.079073,15,0,6,6,247,58,12,광남검설(주),HT001,44.37,40.4,91,2,1,1,계단식,48300,167580,9660,109620,0,0,0,,,,,,,,,,,,,,,
2,광남캐스빌(646-10),63A㎡,서울시 광진구 중곡동,1121510100,646-10,서울시 광진구 천호대로107길 26,37.558913,127.079073,15,0,6,6,247,58,12,광남검설(주),HT001,63.02,57.37,91,2,1,1,계단식,78900,247140,15780,152460,0,0,0,,,,,,,,,,,,,,,
3,광남캐스빌(646-10),63B㎡,서울시 광진구 중곡동,1121510100,646-10,서울시 광진구 천호대로107길 26,37.558913,127.079073,15,0,6,6,247,58,12,광남검설(주),HT001,63.93,58.2,91,2,1,1,계단식,81150,252990,16230,155610,0,0,0,,,,,,,,,,,,,,,
4,광남캐스빌(646-10),64㎡,서울시 광진구 중곡동,1121510100,646-10,서울시 광진구 천호대로107길 26,37.558913,127.079073,15,0,6,6,247,58,12,광남검설(주),HT001,64.74,58.94,91,3,1,1,계단식,82500,256500,16500,157500,0,0,0,,,,,,,,,,,,,,,
5,광남캐스빌(646-10),73㎡,서울시 광진구 중곡동,1121510100,646-10,서울시 광진구 천호대로107길 26,37.558913,127.079073,15,0,6,6,247,58,12,광남검설(주),HT001,73.02,66.48,91,3,1,3,계단식,97800,296280,19560,178920,0,0,0,,,,,,,,,,,,,,,
6,광남캐스빌(646-10),76㎡,서울시 광진구 중곡동,1121510100,646-10,서울시 광진구 천호대로107길 26,37.558913,127.079073,15,0,6,6,247,58,12,광남검설(주),HT001,76.45,69.6,91,3,1,4,계단식,103650,311490,20730,187110,0,0,0,,,,,,,,,,,,,,,
7,광남캐스빌(646-10),79㎡,서울시 광진구 중곡동,1121510100,646-10,서울시 광진구 천호대로107길 26,37.558913,127.079073,15,0,6,6,247,58,12,광남검설(주),HT001,79.67,72.53,91,3,1,1,계단식,108600,324360,21720,194040,0,0,0,,,,,,,,,,,,,,,
8,광남캐스빌(646-10),87,서울시 광진구 중곡동,1121510100,646-10,서울시 광진구 천호대로107길 26,37.558913,127.079073,15,0,6,6,247,58,12,광남검설(주),HT001,87.31,79.49,91,3,2,2,계단식,116700,345420,23340,205380,0,0,0,,,,,,,,,,,,,,,
0,"광남타운(230-11,주상복합)",87A㎡,서울시 광진구 중곡동,1121510100,230-11,서울시 광진구 면목로 120,37.564138,127.080508,19,0,7,6,256,45,16,광남건설(주),HT001,87.86,69.31,79,3,2,3,계단식,179700,411360,35940,195720,0,0,0,,,,,,,,,,,,,,,
