,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,개봉청구,71㎡,서울시 구로구 고척동,1153010600,269-1,서울시 구로구 고척로40길 19,37.502087,126.851054,59,0,7,5,232,49,16,,HT001,71.47,58.67,82,2,1,53,복도식,62700,205020,12540,129780,0,0,0,,,,,"3억 1,000",,,,,,,,,,
1,개봉청구,98,서울시 구로구 고척동,1153010600,269-1,서울시 구로구 고척로40길 19,37.502087,126.851054,59,0,7,5,232,49,16,,HT001,98.62,80.86,82,3,1,6,복도식,91500,279900,18300,170100,0,0,0,,,,,,,,,,,,,,,
0,경남1차,83B㎡,서울시 구로구 고척동,1153010600,325,서울시 구로구 경인로47길 150,37.5052,126.86277,163,0,18,9,274,25,136,경남건설,HT001,83.74,59.92,72,3,1,16,복도식,152100,414990,30420,232470,0,0,0,,170398,165970,"5억 3,000","5억 8,000",,,,,,,,,,
1,경남1차,83C㎡,서울시 구로구 고척동,1153010600,325,서울시 구로구 경인로47길 150,37.5052,126.86277,163,0,18,9,274,25,136,경남건설,HT001,83.67,59.86,72,3,1,9,복도식,147600,406440,29520,229320,0,0,0,,170227,165803,,"5억 2,000",,,,,,,,,,
2,경남1차,95A㎡,서울시 구로구 고척동,1153010600,325,서울시 구로구 경인로47길 150,37.5052,126.86277,163,0,18,9,274,25,136,경남건설,HT001,95.19,59.98,63,3,1,69,복도식,152100,414990,30420,232470,0,0,0,,170568,166136,"5억 2,000","5억 3,000",,,,,,,,,,
3,경남1차,107,서울시 구로구 고척동,1153010600,325,서울시 구로구 경인로47길 150,37.5052,126.86277,163,0,18,9,274,25,136,경남건설,HT001,107.44,84.85,79,3,2,69,계단식,212400,529560,42480,274680,0,0,0,,241292,235022,,"7억 5,000",,,,,,,,,,
0,경남2차(아너스빌),84㎡,서울시 구로구 고척동,1153010600,306,서울시 구로구 고척로52길 21,37.504136,126.856168,273,0,19,5,311,26,272,경남기업(주),HT001,84.09,59.96,71,3,1,113,복도식,147600,406440,29520,229320,0,0,0,,147049,147705,"4억 9,000","6억 5,000",,,,,,,,,,
1,경남2차(아너스빌),95B㎡,서울시 구로구 고척동,1153010600,306,서울시 구로구 고척로52길 21,37.504136,126.856168,273,0,19,5,311,26,272,경남기업(주),HT001,95.22,71.07,75,3,1,18,계단식,181800,471420,36360,253260,0,0,0,,174296,175073,,"5억 7,000",,,,,,,,,,
2,경남2차(아너스빌),95A㎡,서울시 구로구 고척동,1153010600,306,서울시 구로구 고척로52길 21,37.504136,126.856168,273,0,19,5,311,26,272,경남기업(주),HT001,95.1,70.98,75,3,1,12,계단식,181800,471420,36360,253260,0,0,0,,174075,174851,,,,,,,,,,,,
3,경남2차(아너스빌),107,서울시 구로구 고척동,1153010600,306,서울시 구로구 고척로52길 21,37.504136,126.856168,273,0,19,5,311,26,272,경남기업(주),HT001,107.83,84.85,79,3,2,130,계단식,223200,550080,44640,282240,0,0,0,,208091,209019,"6억 4,000","7억 3,000",,"3억 5,000",,,,,,,,
0,고척LIG리가,82㎡,서울시 구로구 고척동,1153010600,340,서울시 구로구 중앙로12길 7,37.505867,126.861797,421,0,22,13,240,17,467,(주)엘아이지건설,HT005,82.98,59.95,72,3,2,94,계단식,311400,717660,62280,343980,0,0,0,,287955,184794,"6억 5,000","7억 3,000",,"3억 7,500",,,,,,,,
1,고척LIG리가,106C㎡,서울시 구로구 고척동,1153010600,340,서울시 구로구 중앙로12길 7,37.505867,126.861797,421,0,22,13,240,17,467,(주)엘아이지건설,HT005,106.24,84.98,80,3,2,71,계단식,374400,837360,74880,388080,0,0,0,,408181,261949,"8억 4,000","8억 5,000",,,,,,,,,,
2,고척LIG리가,106B㎡,서울시 구로구 고척동,1153010600,340,서울시 구로구 중앙로12길 7,37.505867,126.861797,421,0,22,13,240,17,467,(주)엘아이지건설,HT005,106.55,84.91,80,3,2,40,계단식,374400,837360,74880,388080,0,0,0,,407845,261733,,"7억 5,000",,,,,,,,,,
3,고척LIG리가,107A㎡,서울시 구로구 고척동,1153010600,340,서울시 구로구 중앙로12길 7,37.505867,126.861797,421,0,22,13,240,17,467,(주)엘아이지건설,HT005,107.71,84.91,79,3,2,112,계단식,375300,839070,75060,388710,0,0,0,,407845,261733,,"8억 5,000",,,,,,,,,,
4,고척LIG리가,107,서울시 구로구 고척동,1153010600,340,서울시 구로구 중앙로12길 7,37.505867,126.861797,421,0,22,13,240,17,467,(주)엘아이지건설,HT005,107.4,84.98,79,3,2,104,계단식,375300,839070,75060,388710,0,0,0,,408181,261949,"7억 6,000","7억 8,000",,,,,,,,,,
0,고척대우,84A㎡,서울시 구로구 고척동,1153010600,296,서울시 구로구 고척로52길 48,37.502964,126.856017,987,0,21,4,342,25,1179,(주)대우건설,HT005,84.66,59.96,71,3,1,219,복도식,188100,483390,37620,257670,0,0,0,,73375,152614,5억 500,"5억 8,000",,"3억 1,000","5,000/110",1억/80,"5,000/110",1억/80,,,,
1,고척대우,84D㎡,서울시 구로구 고척동,1153010600,296,서울시 구로구 고척로52길 48,37.502964,126.856017,987,0,21,4,342,25,1179,(주)대우건설,HT005,84.66,59.97,71,3,1,146,복도식,188100,483390,37620,257670,0,0,0,,73388,152639,"4억 8,500","5억 9,000",,,,,,,,,,
2,고척대우,84B㎡,서울시 구로구 고척동,1153010600,296,서울시 구로구 고척로52길 48,37.502964,126.856017,987,0,21,4,342,25,1179,(주)대우건설,HT005,84.63,59.94,71,3,1,21,계단식,188100,483390,37620,257670,0,0,0,,73351,152563,,,,,,,,,,,,
3,고척대우,84C㎡,서울시 구로구 고척동,1153010600,296,서울시 구로구 고척로52길 48,37.502964,126.856017,987,0,21,4,342,25,1179,(주)대우건설,HT005,84.64,59.95,71,3,1,14,복도식,188100,483390,37620,257670,0,0,0,,73363,152589,,,,,,,,,,,,
4,고척대우,100A㎡,서울시 구로구 고척동,1153010600,296,서울시 구로구 고척로52길 48,37.502964,126.856017,987,0,21,4,342,25,1179,(주)대우건설,HT005,100.98,71.52,71,3,1,25,계단식,223200,550080,44640,282240,0,0,0,,87522,182037,,,,,,,,,,,,
5,고척대우,100B㎡,서울시 구로구 고척동,1153010600,296,서울시 구로구 고척로52길 48,37.502964,126.856017,987,0,21,4,342,25,1179,(주)대우건설,HT005,100.98,71.53,71,3,1,16,계단식,223200,550080,44640,282240,0,0,0,,87534,182063,,,,,,,,,,,,
6,고척대우,108B㎡,서울시 구로구 고척동,1153010600,296,서울시 구로구 고척로52길 48,37.502964,126.856017,987,0,21,4,342,25,1179,(주)대우건설,HT005,108.73,84.99,78,3,2,209,계단식,264600,628740,52920,311220,0,0,0,,104006,216322,"6억 9,000","7억 5,000","3억 4,000","3억 5,000",,,,,,,,
