,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,DS파크빌(도시형),36㎡,서울시 금천구 시흥동,1154510300,995-34,서울시 금천구 시흥대로61길 46,37.453551,126.898227,8,0,6,6,253,59,4,리치종합건설(주),HT001,36.3,25.73,71,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,DS파크빌(도시형),39,서울시 금천구 시흥동,1154510300,995-34,서울시 금천구 시흥대로61길 46,37.453551,126.898227,8,0,6,6,253,59,4,리치종합건설(주),HT001,39.65,28.11,71,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,SM엘루이,90A㎡,서울시 금천구 시흥동,1154510300,791-40,서울시 금천구 시흥대로37길 20,37.445962,126.902407,82,0,15,15,249,27,89,승민종합건설(주),HT001,90.01,71.09,79,3,2,24,계단식,157500,425250,31500,236250,0,0,0,,,,"6억 2,000","6억 5,000",,,,,,,,,,
1,SM엘루이,107B㎡,서울시 금천구 시흥동,1154510300,791-40,서울시 금천구 시흥대로37길 20,37.445962,126.902407,82,0,15,15,249,27,89,승민종합건설(주),HT001,107.77,84.98,79,3,2,14,계단식,207000,519300,41400,270900,0,0,0,,,,,,,,,,,,,,,
2,SM엘루이,107A㎡,서울시 금천구 시흥동,1154510300,791-40,서울시 금천구 시흥대로37길 20,37.445962,126.902407,82,0,15,15,249,27,89,승민종합건설(주),HT001,107.45,84.97,79,3,2,12,계단식,207000,519300,41400,270900,0,0,0,,,,7억,"7억 5,000",,,,,,,,,,
3,SM엘루이,107D㎡,서울시 금천구 시흥동,1154510300,791-40,서울시 금천구 시흥대로37길 20,37.445962,126.902407,82,0,15,15,249,27,89,승민종합건설(주),HT001,107.51,84.98,79,3,2,10,계단식,198000,502200,39600,264600,0,0,0,,,,"6억 6,000","7억 5,000",,,,,,,,,,
4,SM엘루이,107E㎡,서울시 금천구 시흥동,1154510300,791-40,서울시 금천구 시흥대로37길 20,37.445962,126.902407,82,0,15,15,249,27,89,승민종합건설(주),HT001,107.54,84.94,79,3,2,7,계단식,202500,510750,40500,267750,0,0,0,,,,,,,,,,,,,,,
5,SM엘루이,107D-1㎡,서울시 금천구 시흥동,1154510300,791-40,서울시 금천구 시흥대로37길 20,37.445962,126.902407,82,0,15,15,249,27,89,승민종합건설(주),HT001,107.51,84.98,79,3,2,1,계단식,198000,502200,39600,264600,0,0,0,,,,,,,,,,,,,,,
6,SM엘루이,108C,서울시 금천구 시흥동,1154510300,791-40,서울시 금천구 시흥대로37길 20,37.445962,126.902407,82,0,15,15,249,27,89,승민종합건설(주),HT001,108.3,84.99,78,3,2,14,계단식,202500,510750,40500,267750,0,0,0,,,,"7억 7,000","8억 2,000",,,,,,,,,,
0,거상센스빌(201동),69㎡,서울시 금천구 시흥동,1154510300,956-6,서울시 금천구 시흥대로16길 21,37.440078,126.905374,19,0,5,5,199,44,17,거상종합건설(주),HT001,69.72,63.79,91,3,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,거상센스빌(201동),77,서울시 금천구 시흥동,1154510300,956-6,서울시 금천구 시흥대로16길 21,37.440078,126.905374,19,0,5,5,199,44,17,거상종합건설(주),HT001,77.21,70.69,92,3,2,15,계단식,,,,,,,,,,,,,,,,,,,,,,
0,거상센스빌(301동),72㎡,서울시 금천구 시흥동,1154510300,960-5,서울시 금천구 시흥대로12길 45,37.439355,126.905781,13,0,5,3,199,47,13,거상종합건설(주),HT001,72.53,66,91,3,2,3,계단식,45150,159390,9030,105210,0,0,0,,,,,,,,,,,,,,,
1,거상센스빌(301동),88㎡,서울시 금천구 시흥동,1154510300,960-5,서울시 금천구 시흥대로12길 45,37.439355,126.905781,13,0,5,3,199,47,13,거상종합건설(주),HT001,88.05,80.12,91,3,2,5,계단식,59100,195660,11820,124740,0,0,0,,,,,,,,,,,,,,,
2,거상센스빌(301동),92,서울시 금천구 시흥동,1154510300,960-5,서울시 금천구 시흥대로12길 45,37.439355,126.905781,13,0,5,3,199,47,13,거상종합건설(주),HT001,92.3,83.99,91,3,2,5,계단식,61800,202680,12360,128520,0,0,0,,,,,,,,,,,,,,,
0,거상장미,66㎡,서울시 금천구 시흥동,1154510300,953-5,서울시 금천구 시흥대로28길 32,37.442243,126.90549,19,0,5,4,178,39,19,거상종합건설(주),HT001,66.78,61.65,92,2,1,3,계단식,49650,171090,9930,111510,0,0,0,,,,,,,,,,,,,,,
1,거상장미,77㎡,서울시 금천구 시흥동,1154510300,953-5,서울시 금천구 시흥대로28길 32,37.442243,126.90549,19,0,5,4,178,39,19,거상종합건설(주),HT001,77.43,71.49,92,3,2,5,계단식,61350,201510,12270,127890,0,0,0,,,,,,,,,,,,,,,
2,거상장미,92㎡,서울시 금천구 시흥동,1154510300,953-5,서울시 금천구 시흥대로28길 32,37.442243,126.90549,19,0,5,4,178,39,19,거상종합건설(주),HT001,92.01,84.95,92,3,2,10,계단식,73500,233100,14700,144900,0,0,0,,,,,,,,,,,,,,,
3,거상장미,99,서울시 금천구 시흥동,1154510300,953-5,서울시 금천구 시흥대로28길 32,37.442243,126.90549,19,0,5,4,178,39,19,거상종합건설(주),HT001,99.81,92.13,92,3,2,1,계단식,83400,258840,16680,158760,0,0,0,,,,,,,,,,,,,,,
0,거상홈타운(우창),73㎡,서울시 금천구 시흥동,1154510300,949-6,서울시 금천구 시흥대로22길 48,37.440799,126.907163,28,0,5,3,199,42,27,거상종합건설(주),HT001,73.76,66.59,90,3,1,1,계단식,44700,158220,8940,104580,0,0,0,,,,,,,,,,,,,,,
1,거상홈타운(우창),76A㎡,서울시 금천구 시흥동,1154510300,949-6,서울시 금천구 시흥대로22길 48,37.440799,126.907163,28,0,5,3,199,42,27,거상종합건설(주),HT001,76.3,68.88,90,3,1,4,계단식,53250,180450,10650,116550,0,0,0,,,,,,,,,,,,,,,
2,거상홈타운(우창),76B㎡,서울시 금천구 시흥동,1154510300,949-6,서울시 금천구 시흥대로22길 48,37.440799,126.907163,28,0,5,3,199,42,27,거상종합건설(주),HT001,76.59,69.59,91,3,1,3,계단식,52800,179280,10560,115920,0,0,0,,,,,,,,,,,,,,,
