,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,광남벨라스,64㎡,서울시 마포구 연남동,1144012400,487-77,서울시 마포구 성미산로15길 32,37.562668,126.917499,16,0,7,6,218,46,16,광남건설 주식회사,HT001,64.01,53.79,84,2,1,1,계단식,69000,221400,13800,138600,0,0,0,,,,,,,,,,,,,,,
1,광남벨라스,79A㎡,서울시 마포구 연남동,1144012400,487-77,서울시 마포구 성미산로15길 32,37.562668,126.917499,16,0,7,6,218,46,16,광남건설 주식회사,HT001,79.49,66.8,84,3,1,1,계단식,88350,271710,17670,165690,0,0,0,,,,,,,,,,,,,,,
2,광남벨라스,82㎡,서울시 마포구 연남동,1144012400,487-77,서울시 마포구 성미산로15길 32,37.562668,126.917499,16,0,7,6,218,46,16,광남건설 주식회사,HT001,82.14,69.02,84,3,2,1,계단식,98700,298620,19740,180180,0,0,0,,,,,,,,,,,,,,,
3,광남벨라스,87A㎡,서울시 마포구 연남동,1144012400,487-77,서울시 마포구 성미산로15길 32,37.562668,126.917499,16,0,7,6,218,46,16,광남건설 주식회사,HT001,87.66,73.66,84,3,2,1,계단식,105900,317340,21180,190260,0,0,0,,,,,,,,,,,,,,,
4,광남벨라스,87B㎡,서울시 마포구 연남동,1144012400,487-77,서울시 마포구 성미산로15길 32,37.562668,126.917499,16,0,7,6,218,46,16,광남건설 주식회사,HT001,87.71,73.7,84,3,2,1,계단식,105900,317340,21180,190260,0,0,0,,,,,,,,,,,,,,,
5,광남벨라스,88C㎡,서울시 마포구 연남동,1144012400,487-77,서울시 마포구 성미산로15길 32,37.562668,126.917499,16,0,7,6,218,46,16,광남건설 주식회사,HT001,88.25,74.16,84,3,2,1,계단식,109950,327870,21990,195930,0,0,0,,,,,,,,,,,,,,,
6,광남벨라스,89D㎡,서울시 마포구 연남동,1144012400,487-77,서울시 마포구 성미산로15길 32,37.562668,126.917499,16,0,7,6,218,46,16,광남건설 주식회사,HT001,89.24,74.99,84,3,2,4,계단식,114000,338400,22800,201600,0,0,0,,,,,,,,,,,,,,,
7,광남벨라스,90E㎡,서울시 마포구 연남동,1144012400,487-77,서울시 마포구 성미산로15길 32,37.562668,126.917499,16,0,7,6,218,46,16,광남건설 주식회사,HT001,90.51,76.06,84,3,2,3,계단식,114000,338400,22800,201600,0,0,0,,,,,,,,,,,,,,,
8,광남벨라스,90F,서울시 마포구 연남동,1144012400,487-77,서울시 마포구 성미산로15길 32,37.562668,126.917499,16,0,7,6,218,46,16,광남건설 주식회사,HT001,90.88,76.36,84,3,2,3,계단식,114000,338400,22800,201600,0,0,0,,,,,,,,,,,,,,,
0,노블레스(249-12),71㎡,서울시 마포구 연남동,1144012400,249-12,서울시 마포구 성미산로23길 4,37.563708,126.921757,12,0,7,7,299,57,14,(주)엠티주택개발,HT001,71.96,65.81,91,2,1,1,계단식,128700,370530,25740,216090,0,0,0,,,,,,,,,,,,,,,
1,노블레스(249-12),86㎡,서울시 마포구 연남동,1144012400,249-12,서울시 마포구 성미산로23길 4,37.563708,126.921757,12,0,7,7,299,57,14,(주)엠티주택개발,HT001,86.05,78.68,91,3,2,1,계단식,181800,471420,36360,253260,0,0,0,,,,,,,,,,,,,,,
2,노블레스(249-12),93㎡,서울시 마포구 연남동,1144012400,249-12,서울시 마포구 성미산로23길 4,37.563708,126.921757,12,0,7,7,299,57,14,(주)엠티주택개발,HT001,93.01,85.04,91,3,2,4,계단식,216000,536400,43200,277200,0,0,0,,,,,,,,,,,,,,,
3,노블레스(249-12),106㎡,서울시 마포구 연남동,1144012400,249-12,서울시 마포구 성미산로23길 4,37.563708,126.921757,12,0,7,7,299,57,14,(주)엠티주택개발,HT001,106.21,97.11,91,3,2,1,계단식,269100,637290,53820,314370,0,0,0,,,,,,,,,,,,,,,
4,노블레스(249-12),111㎡,서울시 마포구 연남동,1144012400,249-12,서울시 마포구 성미산로23길 4,37.563708,126.921757,12,0,7,7,299,57,14,(주)엠티주택개발,HT001,111.78,102.2,91,3,2,1,계단식,273600,645840,54720,317520,0,0,0,,,,,,,,,,,,,,,
5,노블레스(249-12),118,서울시 마포구 연남동,1144012400,249-12,서울시 마포구 성미산로23길 4,37.563708,126.921757,12,0,7,7,299,57,14,(주)엠티주택개발,HT001,118.57,108.41,91,3,2,4,계단식,281700,661230,56340,323190,0,0,0,,,,,,,,,,,,,,,
0,노블레스빌(246-1),40㎡,서울시 마포구 연남동,1144012400,246-1,서울시 마포구 성미산로23안길 8,37.565483,126.920758,12,0,7,7,294,59,13,원광건설주식회사,HT001,40.77,36.81,90,2,1,1,계단식,82050,255330,16410,156870,0,0,0,,,,,,,,,,,,,,,
1,노블레스빌(246-1),73A㎡,서울시 마포구 연남동,1144012400,246-1,서울시 마포구 성미산로23안길 8,37.565483,126.920758,12,0,7,7,294,59,13,원광건설주식회사,HT001,73.34,66.19,90,2,1,1,계단식,150300,411570,30060,231210,0,0,0,,,,,,,,,,,,,,,
2,노블레스빌(246-1),73B㎡,서울시 마포구 연남동,1144012400,246-1,서울시 마포구 성미산로23안길 8,37.565483,126.920758,12,0,7,7,294,59,13,원광건설주식회사,HT001,73.61,66.46,90,2,1,1,계단식,150300,411570,30060,231210,0,0,0,,,,,6억,,,,,,,,,,
3,노블레스빌(246-1),92㎡,서울시 마포구 연남동,1144012400,246-1,서울시 마포구 성미산로23안길 8,37.565483,126.920758,12,0,7,7,294,59,13,원광건설주식회사,HT001,92.04,83.1,90,3,2,1,계단식,231300,565470,46260,287910,0,0,0,,,,,,,,,,,,,,,
4,노블레스빌(246-1),108,서울시 마포구 연남동,1144012400,246-1,서울시 마포구 성미산로23안길 8,37.565483,126.920758,12,0,7,7,294,59,13,원광건설주식회사,HT001,108.41,97.88,90,3,2,8,계단식,287100,671490,57420,326970,0,0,0,,,,,,,,,,,,,,,
0,노블레스빌(249-1),51㎡,서울시 마포구 연남동,1144012400,249-1,서울시 마포구 성미산로27길 15,37.564238,126.921591,12,0,7,7,298,57,14,원광건설주식회사,HT001,51.29,46.41,90,2,1,1,계단식,73950,234270,14790,145530,0,0,0,,,,,,,,,,,,,,,
1,노블레스빌(249-1),71㎡,서울시 마포구 연남동,1144012400,249-1,서울시 마포구 성미산로27길 15,37.564238,126.921591,12,0,7,7,298,57,14,원광건설주식회사,HT001,71.07,64.31,90,2,1,1,계단식,126000,365400,25200,214200,0,0,0,,,,,,,,,,,,,,,
2,노블레스빌(249-1),91A㎡,서울시 마포구 연남동,1144012400,249-1,서울시 마포구 성미산로27길 15,37.564238,126.921591,12,0,7,7,298,57,14,원광건설주식회사,HT001,91.21,82.54,90,3,2,1,계단식,208800,522720,41760,272160,0,0,0,,,,,,,,,,,,,,,
3,노블레스빌(249-1),92B㎡,서울시 마포구 연남동,1144012400,249-1,서울시 마포구 성미산로27길 15,37.564238,126.921591,12,0,7,7,298,57,14,원광건설주식회사,HT001,92.23,83.46,90,3,2,1,계단식,208800,522720,41760,272160,0,0,0,,,,,,,,,,,,,,,
4,노블레스빌(249-1),105㎡,서울시 마포구 연남동,1144012400,249-1,서울시 마포구 성미산로27길 15,37.564238,126.921591,12,0,7,7,298,57,14,원광건설주식회사,HT001,105.34,95.32,90,3,2,4,계단식,264600,628740,52920,311220,0,0,0,,,,,,,,,,,,,,,
5,노블레스빌(249-1),106,서울시 마포구 연남동,1144012400,249-1,서울시 마포구 성미산로27길 15,37.564238,126.921591,12,0,7,7,298,57,14,원광건설주식회사,HT001,106.75,96.6,90,3,2,4,계단식,264600,628740,52920,311220,0,0,0,,,,,,,,,,,,,,,
0,노블레스빌(249-3),91㎡,서울시 마포구 연남동,1144012400,249-3,서울시 마포구 성미산로27길 15-1,37.564165,126.92149,10,0,7,6,290,52,12,삼인종합건설(주),HT001,91.65,82.18,90,3,2,8,계단식,216900,538110,43380,277830,0,0,0,,,,,,,,,,,,,,,
1,노블레스빌(249-3),164,서울시 마포구 연남동,1144012400,249-3,서울시 마포구 성미산로27길 15-1,37.564165,126.92149,10,0,7,6,290,52,12,삼인종합건설(주),HT001,164.47,147.47,90,3,3,2,계단식,355500,801450,71100,374850,0,0,0,,,,,,,,,,,,,,,
0,대명,78㎡,서울시 마포구 연남동,1144012400,259-1,서울시 마포구 동교로39길 11,37.5617,126.92367,128,0,17,11,345,25,117,(주)대명건설,HT001,78.05,55.24,71,3,1,14,복도식,253800,608220,50760,303660,0,0,0,,,,,"7억 5,000",,,,,,,,,,
1,대명,84㎡,서울시 마포구 연남동,1144012400,259-1,서울시 마포구 동교로39길 11,37.5617,126.92367,128,0,17,11,345,25,117,(주)대명건설,HT001,84.77,59.99,71,3,1,62,계단식,304200,703980,60840,338940,0,0,0,,,,,8억,,"4억 3,000",,,,,,,,
2,대명,109㎡,서울시 마포구 연남동,1144012400,259-1,서울시 마포구 동교로39길 11,37.5617,126.92367,128,0,17,11,345,25,117,(주)대명건설,HT001,109.53,84.99,78,3,2,39,계단식,348300,787770,69660,369810,0,0,0,,,,"10억 8,000",11억,,,,,,,,,,
3,대명,143,서울시 마포구 연남동,1144012400,259-1,서울시 마포구 동교로39길 11,37.5617,126.92367,128,0,17,11,345,25,117,(주)대명건설,HT001,143.39,112.6,79,4,2,13,계단식,382500,852750,76500,393750,0,0,0,,,,,,,,,,,,,,,
0,"라센트라연남(민간임대,도시형)",36㎡,서울시 마포구 연남동,1144012400,361-10,서울시 마포구 연남로 76,37.565769,126.919387,40,40,6,6,199,51,26,(주)지에스엠건설,HT001,36.94,30,81,2,1,20,계단식,,,,,,,,,,,,,,,,,,,,,,
1,"라센트라연남(민간임대,도시형)",40㎡,서울시 마포구 연남동,1144012400,361-10,서울시 마포구 연남로 76,37.565769,126.919387,40,40,6,6,199,51,26,(주)지에스엠건설,HT001,40.62,33.18,82,2,1,5,계단식,,,,,,,,,,,,,,,,,,,,,,
2,"라센트라연남(민간임대,도시형)",45㎡,서울시 마포구 연남동,1144012400,361-10,서울시 마포구 연남로 76,37.565769,126.919387,40,40,6,6,199,51,26,(주)지에스엠건설,HT001,45.72,37.14,81,2,1,5,계단식,,,,,,,,,,,,,,,,,,,,,,
3,"라센트라연남(민간임대,도시형)",46㎡,서울시 마포구 연남동,1144012400,361-10,서울시 마포구 연남로 76,37.565769,126.919387,40,40,6,6,199,51,26,(주)지에스엠건설,HT001,46.39,37.9,82,2,1,5,계단식,,,,,,,,,,,,,,,,,,,,,,
4,"라센트라연남(민간임대,도시형)",64,서울시 마포구 연남동,1144012400,361-10,서울시 마포구 연남로 76,37.565769,126.919387,40,40,6,6,199,51,26,(주)지에스엠건설,HT001,64.31,48.83,76,3,1,5,계단식,,,,,,,,,,,,,,,,,,,,,,
0,리츠,53㎡,서울시 마포구 연남동,1144012400,564-35,서울시 마포구 연남로1길 84,37.558898,126.918952,19,0,7,7,199,40,20,(주)명광산업,HT001,53.84,48.6,90,2,1,2,계단식,119400,352440,23880,209160,0,0,0,,,,,,,,,,,,,,,
1,리츠,65A㎡,서울시 마포구 연남동,1144012400,564-35,서울시 마포구 연남로1길 84,37.558898,126.918952,19,0,7,7,199,40,20,(주)명광산업,HT001,65.47,59.09,90,2,1,1,계단식,160200,430380,32040,238140,0,0,0,,,,,,,,,,,,,,,
2,리츠,65B㎡,서울시 마포구 연남동,1144012400,564-35,서울시 마포구 연남로1길 84,37.558898,126.918952,19,0,7,7,199,40,20,(주)명광산업,HT001,65.48,59.1,90,2,1,1,계단식,160200,430380,32040,238140,0,0,0,,,,,,,,,,,,,,,
3,리츠,73A㎡,서울시 마포구 연남동,1144012400,564-35,서울시 마포구 연남로1길 84,37.558898,126.918952,19,0,7,7,199,40,20,(주)명광산업,HT001,73.65,66.48,90,2,1,1,계단식,186300,479970,37260,256410,0,0,0,,,,,,,,,,,,,,,
4,리츠,73B㎡,서울시 마포구 연남동,1144012400,564-35,서울시 마포구 연남로1길 84,37.558898,126.918952,19,0,7,7,199,40,20,(주)명광산업,HT001,73.66,66.49,90,3,2,1,계단식,186300,479970,37260,256410,0,0,0,,,,,,,,,,,,,,,
5,리츠,84A㎡,서울시 마포구 연남동,1144012400,564-35,서울시 마포구 연남로1길 84,37.558898,126.918952,19,0,7,7,199,40,20,(주)명광산업,HT001,84.42,76.2,90,3,2,3,계단식,228600,560340,45720,286020,0,0,0,,,,,,,,,,,,,,,
6,리츠,84B㎡,서울시 마포구 연남동,1144012400,564-35,서울시 마포구 연남로1길 84,37.558898,126.918952,19,0,7,7,199,40,20,(주)명광산업,HT001,84.43,76.21,90,3,2,3,계단식,228600,560340,45720,286020,0,0,0,,,,,"7억 3,000",,,,,,,,,,
7,리츠,88㎡,서울시 마포구 연남동,1144012400,564-35,서울시 마포구 연남로1길 84,37.558898,126.918952,19,0,7,7,199,40,20,(주)명광산업,HT001,88.94,80.28,90,3,2,6,계단식,247500,596250,49500,299250,0,0,0,,,,,,,,,,,,,,,
8,리츠,91,서울시 마포구 연남동,1144012400,564-35,서울시 마포구 연남로1길 84,37.558898,126.918952,19,0,7,7,199,40,20,(주)명광산업,HT001,91.11,82.23,90,3,2,1,계단식,243000,587700,48600,296100,0,0,0,,,,,,,,,,,,,,,
0,무지개,89㎡,서울시 마포구 연남동,1144012400,364-8,서울시 마포구 연남로 83,37.566117,126.918539,19,0,9,8,403,58,26,,HT001,89.97,75.6,84,1,1,1,계단식,112200,333720,22440,199080,0,0,0,,,,,"7억 8,000",,,,,,,,,,
1,무지개,97㎡,서울시 마포구 연남동,1144012400,364-8,서울시 마포구 연남로 83,37.566117,126.918539,19,0,9,8,403,58,26,,HT001,97,81.51,84,1,1,1,계단식,122400,358560,24480,211680,0,0,0,,,,,,,,,,,,,,,
2,무지개,99A㎡,서울시 마포구 연남동,1144012400,364-8,서울시 마포구 연남로 83,37.566117,126.918539,19,0,9,8,403,58,26,,HT001,99.8,83.87,84,1,1,6,계단식,130500,373950,26100,217350,0,0,0,,,,,,,,,,,,,,,
3,무지개,100C㎡,서울시 마포구 연남동,1144012400,364-8,서울시 마포구 연남로 83,37.566117,126.918539,19,0,9,8,403,58,26,,HT001,100.37,84.35,84,1,1,5,계단식,136800,385920,27360,221760,0,0,0,,,,,,,,,,,,,,,
4,무지개,100D㎡,서울시 마포구 연남동,1144012400,364-8,서울시 마포구 연남로 83,37.566117,126.918539,19,0,9,8,403,58,26,,HT001,100.67,84.6,84,1,1,4,계단식,136800,385920,27360,221760,0,0,0,,,,,,,,,,,,,,,
5,무지개,100B㎡,서울시 마포구 연남동,1144012400,364-8,서울시 마포구 연남로 83,37.566117,126.918539,19,0,9,8,403,58,26,,HT001,100.15,84.15,84,1,1,1,계단식,124200,361980,24840,212940,0,0,0,,,,,,,,,,,,,,,
6,무지개,187,서울시 마포구 연남동,1144012400,364-8,서울시 마포구 연남로 83,37.566117,126.918539,19,0,9,8,403,58,26,,HT001,187.54,157.59,84,1,1,1,계단식,256500,613350,51300,305550,0,0,0,,,,,,,,,,,,,,,
0,새마을(연남),42,서울시 마포구 연남동,1144012400,244-15,서울시 마포구 성미산로23길 54,37.565876,126.92039,70,0,5,5,0,0,0,,HT001,42.98,41.65,97,2,1,70,계단식,,,,,,,,,,,"4억 6,800",6억,,,"1,000/86","2,500/85","1,000/86","2,500/85",,,,
0,서암,64㎡,서울시 마포구 연남동,1144012400,250-8,서울시 마포구 성미산로27길 6,37.564235,126.922259,19,0,6,4,199,45,19,수성종합건설(주),HT001,64.92,55.86,86,3,2,2,복합식,89250,274050,17850,166950,0,0,0,,,,,,,,,,,,,,,
1,서암,74㎡,서울시 마포구 연남동,1144012400,250-8,서울시 마포구 성미산로27길 6,37.564235,126.922259,19,0,6,4,199,45,19,수성종합건설(주),HT001,74.61,64.2,86,3,2,2,복합식,113100,336060,22620,200340,0,0,0,,,,,,,,,,,,,,,
2,서암,77A㎡,서울시 마포구 연남동,1144012400,250-8,서울시 마포구 성미산로27길 6,37.564235,126.922259,19,0,6,4,199,45,19,수성종합건설(주),HT001,77.23,66.45,86,3,2,6,복합식,113100,336060,22620,200340,0,0,0,,,,,,,,,,,,,,,
3,서암,77B㎡,서울시 마포구 연남동,1144012400,250-8,서울시 마포구 성미산로27길 6,37.564235,126.922259,19,0,6,4,199,45,19,수성종합건설(주),HT001,77.96,67.08,86,3,2,6,복합식,117150,346590,23430,206010,0,0,0,,,,,,,"4억 5,000",,,,,,,,
4,서암,83㎡,서울시 마포구 연남동,1144012400,250-8,서울시 마포구 성미산로27길 6,37.564235,126.922259,19,0,6,4,199,45,19,수성종합건설(주),HT001,83.67,72,86,3,2,1,복합식,121500,356850,24300,211050,0,0,0,,,,,,,,,,,,,,,
5,서암,100㎡,서울시 마포구 연남동,1144012400,250-8,서울시 마포구 성미산로27길 6,37.564235,126.922259,19,0,6,4,199,45,19,수성종합건설(주),HT001,100.41,86.4,86,3,2,1,복합식,170100,449190,34020,245070,0,0,0,,,,,,,,,,,,,,,
6,서암,128,서울시 마포구 연남동,1144012400,250-8,서울시 마포구 성미산로27길 6,37.564235,126.922259,19,0,6,4,199,45,19,수성종합건설(주),HT001,128.89,110.91,86,3,2,1,복합식,226800,556920,45360,284760,0,0,0,,,,,,,,,,,,,,,
0,에덴지우,127A㎡,서울시 마포구 연남동,1144012400,239-1,서울시 마포구 성미산로 162,37.564523,126.9241,12,0,7,7,296,52,18,(주)시온종합건설,HT001,127.67,107.01,84,4,2,6,계단식,290700,678330,58140,329490,0,0,0,,,,,,,,,,,,,,,
