,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,강남월드메르디앙프레스티지(주상복합),48C㎡,서울시 서초구 양재동,1165010200,11-11,서울시 서초구 남부순환로350길 19-11,37.484366,127.036286,29,0,11,11,303,59,0,(주)코렘시스,HT001,48.41,36.1,75,2,1,9,계단식,,,,,,,,,,,"9억 7,190",11억,6억,"6억 5,000",,"4억 5,000/60",,"4억 5,000/60",,,,
1,강남월드메르디앙프레스티지(주상복합),48E㎡,서울시 서초구 양재동,1165010200,11-11,서울시 서초구 남부순환로350길 19-11,37.484366,127.036286,29,0,11,11,303,59,0,(주)코렘시스,HT001,48.67,36.38,75,2,1,1,계단식,,,,,,,,,,,,,,9억,,,,,,,,
2,강남월드메르디앙프레스티지(주상복합),50B㎡,서울시 서초구 양재동,1165010200,11-11,서울시 서초구 남부순환로350길 19-11,37.484366,127.036286,29,0,11,11,303,59,0,(주)코렘시스,HT001,50.11,37.42,75,2,1,9,계단식,,,,,,,,,,,,,6억,"6억 5,000",,,,,,,,
3,강남월드메르디앙프레스티지(주상복합),57A㎡,서울시 서초구 양재동,1165010200,11-11,서울시 서초구 남부순환로350길 19-11,37.484366,127.036286,29,0,11,11,303,59,0,(주)코렘시스,HT001,57,43.28,76,2,1,9,계단식,,,,,,,,,,,,13억,"6억 5,000",7억,,,,,,,,
4,강남월드메르디앙프레스티지(주상복합),57D,서울시 서초구 양재동,1165010200,11-11,서울시 서초구 남부순환로350길 19-11,37.484366,127.036286,29,0,11,11,303,59,0,(주)코렘시스,HT001,57,43.28,76,2,1,1,계단식,,,,,,,,,,,,"13억 5,000","6억 5,000",9억,,,,,,,,
0,경희궁,86㎡,서울시 서초구 양재동,1165010200,317-4,서울시 서초구 강남대로12길 15,37.469779,127.040272,10,0,5,5,212,46,11,(주)토마토종합건설,HT001,86.73,77.22,89,3,2,1,계단식,313200,721080,62640,345240,0,0,0,,,,,,,,,,,,,,,
1,경희궁,89A㎡,서울시 서초구 양재동,1165010200,317-4,서울시 서초구 강남대로12길 15,37.469779,127.040272,10,0,5,5,212,46,11,(주)토마토종합건설,HT001,89.34,79.5,89,3,2,1,계단식,357300,804870,71460,376110,0,0,0,,,,,,,,,,,,,,,
2,경희궁,90B㎡,서울시 서초구 양재동,1165010200,317-4,서울시 서초구 강남대로12길 15,37.469779,127.040272,10,0,5,5,212,46,11,(주)토마토종합건설,HT001,90.36,80.42,89,3,2,1,계단식,331200,755280,66240,357840,0,0,0,,,,,,,,,,,,,,,
3,경희궁,91A㎡,서울시 서초구 양재동,1165010200,317-4,서울시 서초구 강남대로12길 15,37.469779,127.040272,10,0,5,5,212,46,11,(주)토마토종합건설,HT001,91.85,81.75,89,3,2,3,계단식,403200,892080,80640,408240,0,0,0,,,,,,,"6억 5,000",,,,,,,,
4,경희궁,92B㎡,서울시 서초구 양재동,1165010200,317-4,서울시 서초구 강남대로12길 15,37.469779,127.040272,10,0,5,5,212,46,11,(주)토마토종합건설,HT001,92.65,82.45,89,3,2,1,계단식,403200,892080,80640,408240,0,0,0,,,,,,,,,,,,,,,
5,경희궁,93C㎡,서울시 서초구 양재동,1165010200,317-4,서울시 서초구 강남대로12길 15,37.469779,127.040272,10,0,5,5,212,46,11,(주)토마토종합건설,HT001,93.27,83.01,89,3,2,2,계단식,403200,892080,80640,408240,0,0,0,,,,,,,,,,,,,,,
