,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,금호1차푸르지오,78㎡,서울시 성동구 금호동3가,1120011100,917,서울시 성동구 금호산8길 5,37.549741,127.020937,336,0,15,5,192,18,363,(주)대우건설,HT001,78.7,59.97,76,3,1,142,계단식,541800,1118880,108360,468720,0,0,0,,171028,167822,10억,"11억 3,000",,"5억 2,500",,1억/200,,1억/200,,,,
1,금호1차푸르지오,102㎡,서울시 성동구 금호동3가,1120011100,917,서울시 성동구 금호산8길 5,37.549741,127.020937,336,0,15,5,192,18,363,(주)대우건설,HT001,102.79,84.92,83,3,2,137,계단식,737100,1431360,147420,546840,0,0,0,,242182,237643,"11억 5,000","13억 5,000",,,,"6,000/230",,"6,000/230",,,,
2,금호1차푸르지오,133B㎡,서울시 성동구 금호동3가,1120011100,917,서울시 성동구 금호산8길 5,37.549741,127.020937,336,0,15,5,192,18,363,(주)대우건설,HT001,133.86,114.88,86,4,2,14,계단식,1083600,1900080,216720,599760,0,0,0,,327624,321484,,,,,,,,,,,,
3,금호1차푸르지오,135A,서울시 성동구 금호동3가,1120011100,917,서울시 성동구 금호산8길 5,37.549741,127.020937,336,0,15,5,192,18,363,(주)대우건설,HT001,135.33,114.76,85,4,2,43,계단식,1083600,1900080,216720,599760,0,0,0,,327282,321149,,15억,,,,,,,,,,
0,금호자이2차,82A㎡,서울시 성동구 금호동3가,1120011100,700,서울시 성동구 금호산8길 14,37.550534,127.02199,403,83,22,8,223,22,446,GS건설(주),HT001,82.82,59.96,72,3,2,40,계단식,,,,,,,,,185989,195427,,"11억 5,000",,,,,,,,,,
1,금호자이2차,82C㎡,서울시 성동구 금호동3가,1120011100,700,서울시 성동구 금호산8길 14,37.550534,127.02199,403,83,22,8,223,22,446,GS건설(주),HT001,82.14,59.99,73,3,2,36,계단식,,,,,,,,,186067,195509,11억,12억,,,,,,,,,,
2,금호자이2차,82D㎡,서울시 성동구 금호동3가,1120011100,700,서울시 성동구 금호산8길 14,37.550534,127.02199,403,83,22,8,223,22,446,GS건설(주),HT001,82.18,59.91,73,3,2,26,계단식,,,,,,,,,185836,195266,11억,"11억 7,000",,,,,,,,,,
3,금호자이2차,82B㎡,서울시 성동구 금호동3가,1120011100,700,서울시 성동구 금호산8길 14,37.550534,127.02199,403,83,22,8,223,22,446,GS건설(주),HT001,82.96,59.96,72,3,2,14,계단식,,,,,,,,,185989,195427,,,,,,,,,,,,
4,금호자이2차,107B㎡,서울시 성동구 금호동3가,1120011100,700,서울시 성동구 금호산8길 14,37.550534,127.02199,403,83,22,8,223,22,446,GS건설(주),HT001,107.1,84.73,79,3,2,79,계단식,,,,,,,,,262800,276136,,16억,,,,,,,,,,
5,금호자이2차,108A㎡,서울시 성동구 금호동3가,1120011100,700,서울시 성동구 금호산8길 14,37.550534,127.02199,403,83,22,8,223,22,446,GS건설(주),HT001,108.61,84.97,78,3,2,85,계단식,,,,,,,,,263570,276945,"13억 5,000",15억,,,,,,,,,,
6,금호자이2차,147C㎡,서울시 성동구 금호동3가,1120011100,700,서울시 성동구 금호산8길 14,37.550534,127.02199,403,83,22,8,223,22,446,GS건설(주),HT001,147.38,114.89,78,4,2,11,계단식,,,,,,,,,356357,374440,,,,"8억 3,000",,,,,,,,
7,금호자이2차,148B㎡,서울시 성동구 금호동3가,1120011100,700,서울시 성동구 금호산8길 14,37.550534,127.02199,403,83,22,8,223,22,446,GS건설(주),HT001,148.59,115.93,78,4,2,19,계단식,,,,,,,,,359577,377824,"15억 8,000","17억 5,000",,,,2억/330,,2억/330,,,,
8,금호자이2차,148A,서울시 성동구 금호동3가,1120011100,700,서울시 성동구 금호산8길 14,37.550534,127.02199,403,83,22,8,223,22,446,GS건설(주),HT001,148.21,115.49,78,4,2,10,계단식,,,,,,,,,358209,376386,,18억,"8억 3,000","8억 5,000",,,,,,,,
0,금호한신휴플러스,80㎡,서울시 성동구 금호동3가,1120011100,1662,서울시 성동구 금호산길 27,37.550033,127.018092,323,0,15,13,243,21,386,한신공영(주),HT001,80.96,59.99,74,3,2,153,계단식,488250,1033200,97650,447300,0,0,0,,171206,176245,"9억 3,000",11억,"5억 5,000","5억 6,000",,,,,,,,
1,금호한신휴플러스,107A㎡,서울시 성동구 금호동3가,1120011100,1662,서울시 성동구 금호산길 27,37.550033,127.018092,323,0,15,13,243,21,386,한신공영(주),HT001,107,84.96,79,3,2,84,계단식,697725,1368360,139545,531090,0,0,0,,242467,249605,13억,"13억 5,000","6억 5,000","8억 5,000",,,,,,,,
2,금호한신휴플러스,108B㎡,서울시 성동구 금호동3가,1120011100,1662,서울시 성동구 금호산길 27,37.550033,127.018092,323,0,15,13,243,21,386,한신공영(주),HT001,108.21,84.49,78,3,2,28,계단식,697725,1368360,139545,531090,0,0,0,,241126,248224,13억,14억,"6억 5,000",7억,,,,,,,,
3,금호한신휴플러스,134㎡,서울시 성동구 금호동3가,1120011100,1662,서울시 성동구 금호산길 27,37.550033,127.018092,323,0,15,13,243,21,386,한신공영(주),HT001,134.47,114.76,85,4,2,29,계단식,1123200,1961460,224640,613620,0,0,0,,327513,337155,"11억 5,000",14억,,,,,,,,,,
4,금호한신휴플러스,154,서울시 성동구 금호동3가,1120011100,1662,서울시 성동구 금호산길 27,37.550033,127.018092,323,0,15,13,243,21,386,한신공영(주),HT001,154.11,130.92,85,4,2,29,계단식,1301400,2237670,260280,675990,0,0,0,,373632,384631,,14억,,,,,,,,,,
0,두산,82㎡,서울시 성동구 금호동3가,1120011100,1331,서울시 성동구 동호로 100,37.550686,127.016443,1267,0,15,13,249,21,712,두산건설(주),HT001,82.29,59.97,73,2,1,335,복도식,513450,1073520,102690,457380,0,0,0,,130799,126386,"9억 1,000",11억,,"4억 5,000",,1억/130,,1억/130,,,,
1,두산,96㎡,서울시 성동구 금호동3가,1120011100,1331,서울시 성동구 동호로 100,37.550686,127.016443,1267,0,15,13,249,21,712,두산건설(주),HT001,96.92,79.08,82,3,1,270,복도식,609525,1227240,121905,495810,0,0,0,,172479,166660,10억,"12억 5,000","4억 5,000","5억 3,000",,"5,000/200",,"5,000/200",,,,
2,두산,104㎡,서울시 성동구 금호동3가,1120011100,1331,서울시 성동구 동호로 100,37.550686,127.016443,1267,0,15,13,249,21,712,두산건설(주),HT001,104.52,84.99,81,3,2,265,복도식,741825,1438920,148365,548730,0,0,0,,185370,179116,"11억 8,000","14억 5,000","4억 5,000","5억 5,000",,"3억 7,000/18",,"3억 7,000/18",,,,
3,두산,136㎡,서울시 성동구 금호동3가,1120011100,1331,서울시 성동구 동호로 100,37.550686,127.016443,1267,0,15,13,249,21,712,두산건설(주),HT001,136.35,116.81,86,4,2,267,계단식,1252800,2162340,250560,658980,0,0,0,,254771,246176,12억,15억,"5억 6,000",6억,,,,,,,,
4,두산,144㎡,서울시 성동구 금호동3가,1120011100,1331,서울시 성동구 동호로 100,37.550686,127.016443,1267,0,15,13,249,21,712,두산건설(주),HT001,144.3,124.19,86,4,2,78,계단식,1270800,2190240,254160,665280,0,0,0,,270867,261729,"14억 5,000","16억 5,000",,"6억 5,000",,2억/190,,2억/190,,,,
5,두산,145S,서울시 성동구 금호동3가,1120011100,1331,서울시 성동구 동호로 100,37.550686,127.016443,1267,0,15,13,249,21,712,두산건설(주),HT001,145.16,124.98,86,4,2,52,계단식,1326600,2276730,265320,684810,0,0,0,,272590,263394,,15억,,,,,,,,,,
