,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,"H하우스장위(민간임대,주상복합)",30㎡,서울시 성북구 장위동,1129013800,50-46,서울시 성북구 화랑로 265,37.611816,127.058172,145,145,15,14,488,59,144,(주)흥화,HT001,30.84,18.39,60,1,1,50,계단식,,,,,,,,,,,,,,,,500/36,,500/36,,,,
1,"H하우스장위(민간임대,주상복합)",45A㎡,서울시 성북구 장위동,1129013800,50-46,서울시 성북구 화랑로 265,37.611816,127.058172,145,145,15,14,488,59,144,(주)흥화,HT001,45.52,26.99,59,1,1,7,계단식,,,,,,,,,,,,,,,,,,,,,,
2,"H하우스장위(민간임대,주상복합)",45B㎡,서울시 성북구 장위동,1129013800,50-46,서울시 성북구 화랑로 265,37.611816,127.058172,145,145,15,14,488,59,144,(주)흥화,HT001,45.52,26.99,59,1,1,5,계단식,,,,,,,,,,,,,,,,,,,,,,
3,"H하우스장위(민간임대,주상복합)",49㎡,서울시 성북구 장위동,1129013800,50-46,서울시 성북구 화랑로 265,37.611816,127.058172,145,145,15,14,488,59,144,(주)흥화,HT001,49.02,29.24,60,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
4,"H하우스장위(민간임대,주상복합)",53㎡,서울시 성북구 장위동,1129013800,50-46,서울시 성북구 화랑로 265,37.611816,127.058172,145,145,15,14,488,59,144,(주)흥화,HT001,53.61,32.32,60,2,1,11,계단식,,,,,,,,,,,,,,,,,,,,,,
5,"H하우스장위(민간임대,주상복합)",54B㎡,서울시 성북구 장위동,1129013800,50-46,서울시 성북구 화랑로 265,37.611816,127.058172,145,145,15,14,488,59,144,(주)흥화,HT001,54.45,33.03,61,2,1,29,계단식,,,,,,,,,,,,,,,,,,,,,,
6,"H하우스장위(민간임대,주상복합)",54A㎡,서울시 성북구 장위동,1129013800,50-46,서울시 성북구 화랑로 265,37.611816,127.058172,145,145,15,14,488,59,144,(주)흥화,HT001,54.45,33.03,61,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
7,"H하우스장위(민간임대,주상복합)",55C㎡,서울시 성북구 장위동,1129013800,50-46,서울시 성북구 화랑로 265,37.611816,127.058172,145,145,15,14,488,59,144,(주)흥화,HT001,55.74,33.65,60,1,1,2,계단식,,,,,,,,,,,,,,,,"1억 7,500/30",,"1억 7,500/30",,,,
8,"H하우스장위(민간임대,주상복합)",62㎡,서울시 성북구 장위동,1129013800,50-46,서울시 성북구 화랑로 265,37.611816,127.058172,145,145,15,14,488,59,144,(주)흥화,HT001,62.45,38.16,61,1,1,11,복도식,,,,,,,,,,,,,,,,,,,,,,
9,"H하우스장위(민간임대,주상복합)",65,서울시 성북구 장위동,1129013800,50-46,서울시 성북구 화랑로 265,37.611816,127.058172,145,145,15,14,488,59,144,(주)흥화,HT001,65.84,39.7,60,2,1,24,계단식,,,,,,,,,,,,,,,,,,,,,,
0,경헌그린,142,서울시 성북구 장위동,1129013800,315,서울시 성북구 월계로 154,37.61809,127.04358,22,0,11,11,299,32,43,(주)경헌종합건설,HT001,142.23,124.81,88,3,2,22,계단식,228600,560340,45720,286020,0,0,0,,,,"6억 5,000","7억 1,000",,,,,,,,,,
0,그린빌,106,서울시 성북구 장위동,1129013800,314,서울시 성북구 돌곶이로41가길 54,37.617771,127.043051,31,0,8,8,296,43,35,도시개발주택건설,HT001,106.96,84.69,79,3,2,31,계단식,135000,382500,27000,220500,0,0,0,,,,"5억 2,500","5억 5,000",,,,,,,,,,
0,꿈의숲대명루첸,82㎡,서울시 성북구 장위동,1129013800,317,서울시 성북구 월계로36길 27,37.620895,127.047271,611,0,21,14,248,21,805,(주)대명종합건설,HT001,82.22,59.98,73,3,1,124,계단식,315000,724500,63000,346500,0,0,0,,159397,159383,7억,"9억 1,000",,"4억 3,000",,1억/135,,1억/135,,,,
1,꿈의숲대명루첸,109㎡,서울시 성북구 장위동,1129013800,317,서울시 성북구 월계로36길 27,37.620895,127.047271,611,0,21,14,248,21,805,(주)대명종합건설,HT001,109.86,84.84,77,3,2,348,계단식,458325,985320,91665,435330,0,0,0,,225441,225421,"8억 6,000","10억 5,000","4억 8,000","5억 2,000",,,,,,,,
