,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,e편한세상문래에듀플라츠,79A㎡,서울시 영등포구 문래동6가,1156012400,58,서울시 영등포구 선유서로 50,37.52004,126.885437,263,0,20,20,298,31,287,"대림건설,대림산업(주)",HT001,79.31,59.98,76,3,2,124,계단식,696150,1365840,139230,530460,0,0,0,,,,"9억 9,000",12억,,"6억 3,000",,,,,,,,
1,e편한세상문래에듀플라츠,80B㎡,서울시 영등포구 문래동6가,1156012400,58,서울시 영등포구 선유서로 50,37.52004,126.885437,263,0,20,20,298,31,287,"대림건설,대림산업(주)",HT001,80.24,59.98,75,3,2,70,계단식,696150,1365840,139230,530460,0,0,0,,,,"9억 4,000","9억 5,000",,,,,,,,,,
2,e편한세상문래에듀플라츠,80C㎡,서울시 영등포구 문래동6가,1156012400,58,서울시 영등포구 선유서로 50,37.52004,126.885437,263,0,20,20,298,31,287,"대림건설,대림산업(주)",HT001,80.11,59.97,75,3,2,55,계단식,696150,1365840,139230,530460,0,0,0,,,,"10억 2,000","11억 5,000",,,,,,,,,,
3,e편한세상문래에듀플라츠,111,서울시 영등포구 문래동6가,1156012400,58,서울시 영등포구 선유서로 50,37.52004,126.885437,263,0,20,20,298,31,287,"대림건설,대림산업(주)",HT001,111.72,84.99,76,3,2,14,계단식,1105200,1933560,221040,607320,0,0,0,,,,,,,,,,,,,,,
0,대원,75㎡,서울시 영등포구 문래동6가,1156012400,47-1,서울시 영등포구 문래로4길 26,37.518674,126.882915,218,0,19,14,328,28,240,(주)대원,HT001,75.67,58.37,77,2,1,35,계단식,251100,603090,50220,301770,0,0,0,,135727,136789,,7억,,,,,,,,,,
1,대원,77㎡,서울시 영등포구 문래동6가,1156012400,47-1,서울시 영등포구 문래로4길 26,37.518674,126.882915,218,0,19,14,328,28,240,(주)대원,HT001,77.77,59.99,77,3,1,71,계단식,287100,671490,57420,326970,0,0,0,,139494,140586,"7억 2,000","7억 5,000",,,,,,,,,,
2,대원,102㎡,서울시 영등포구 문래동6가,1156012400,47-1,서울시 영등포구 문래로4길 26,37.518674,126.882915,218,0,19,14,328,28,240,(주)대원,HT001,102.46,84.63,83,3,2,2,계단식,304200,703980,60840,338940,0,0,0,,196789,198329,,,,,,,,,,,,
3,대원,107㎡,서울시 영등포구 문래동6가,1156012400,47-1,서울시 영등포구 문래로4길 26,37.518674,126.882915,218,0,19,14,328,28,240,(주)대원,HT001,107.44,84.78,79,3,2,56,계단식,351900,794610,70380,372330,0,0,0,,197138,198680,,,,,,,,,,,,
4,대원,128B㎡,서울시 영등포구 문래동6가,1156012400,47-1,서울시 영등포구 문래로4길 26,37.518674,126.882915,218,0,19,14,328,28,240,(주)대원,HT001,128.95,106.5,83,4,2,41,계단식,374400,837360,74880,388080,0,0,0,,247643,249581,,,,"5억 5,000",,,,,,,,
5,대원,128A,서울시 영등포구 문래동6가,1156012400,47-1,서울시 영등포구 문래로4길 26,37.518674,126.882915,218,0,19,14,328,28,240,(주)대원,HT001,128.83,106.41,83,4,2,13,계단식,374400,837360,74880,388080,0,0,0,,247434,249370,,,,"5억 5,000",,,,,,,,
