,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,골드트리시티(도시형),27㎡,서울시 영등포구 영등포동6가,1156010700,96-1,서울시 영등포구 영신로38길 5,37.521095,126.901842,12,0,6,6,249,59,6,(주)예승건설,HT001,27.23,18.39,68,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,골드트리시티(도시형),38㎡,서울시 영등포구 영등포동6가,1156010700,96-1,서울시 영등포구 영신로38길 5,37.521095,126.901842,12,0,6,6,249,59,6,(주)예승건설,HT001,38.88,26.78,69,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,골드트리시티(도시형),41,서울시 영등포구 영등포동6가,1156010700,96-1,서울시 영등포구 영신로38길 5,37.521095,126.901842,12,0,6,6,249,59,6,(주)예승건설,HT001,41.49,28.54,69,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,골든빌(121-17),31A㎡,서울시 영등포구 영등포동6가,1156010700,121-17,서울시 영등포구 영등포로33길 11,37.521504,126.902541,12,0,6,6,249,59,6,주식회사 예승건,HT001,31.66,23.17,73,1,1,4,계단식,,,,,,,,,,,,,,"2억 3,800",,,,,,,,
1,골든빌(121-17),31B㎡,서울시 영등포구 영등포동6가,1156010700,121-17,서울시 영등포구 영등포로33길 11,37.521504,126.902541,12,0,6,6,249,59,6,주식회사 예승건,HT001,31.87,23.32,73,1,1,4,계단식,,,,,,,,,,,,,,"2억 7,000",,,,,,,,
2,골든빌(121-17),37,서울시 영등포구 영등포동6가,1156010700,121-17,서울시 영등포구 영등포로33길 11,37.521504,126.902541,12,0,6,6,249,59,6,주식회사 예승건,HT001,37.18,27.21,73,1,1,4,계단식,,,,,,,,,,,,,"2억 4,800","2억 7,000",,,,,,,,
0,골든빌(97),37A㎡,서울시 영등포구 영등포동6가,1156010700,97,서울시 영등포구 영신로38길 5-1,37.521116,126.902024,16,0,6,6,248,59,8,(주)예승건설,HT001,37.53,27.97,75,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,골든빌(97),37B㎡,서울시 영등포구 영등포동6가,1156010700,97,서울시 영등포구 영신로38길 5-1,37.521116,126.902024,16,0,6,6,248,59,8,(주)예승건설,HT001,37.92,28.26,75,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,골든빌(97),39A㎡,서울시 영등포구 영등포동6가,1156010700,97,서울시 영등포구 영신로38길 5-1,37.521116,126.902024,16,0,6,6,248,59,8,(주)예승건설,HT001,39.21,29.22,75,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
3,골든빌(97),39B,서울시 영등포구 영등포동6가,1156010700,97,서울시 영등포구 영신로38길 5-1,37.521116,126.902024,16,0,6,6,248,59,8,(주)예승건설,HT001,39.97,29.79,75,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,더하우스,38A㎡,서울시 영등포구 영등포동6가,1156010700,92,서울시 영등포구 영신로38길 6,37.5209,126.901803,12,0,6,6,245,59,6,주식회사 한신건설,HT001,38.35,29.89,78,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,더하우스,38B㎡,서울시 영등포구 영등포동6가,1156010700,92,서울시 영등포구 영신로38길 6,37.5209,126.901803,12,0,6,6,245,59,6,주식회사 한신건설,HT001,38.44,29.95,78,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,더하우스,38C,서울시 영등포구 영등포동6가,1156010700,92,서울시 영등포구 영신로38길 6,37.5209,126.901803,12,0,6,6,245,59,6,주식회사 한신건설,HT001,38.5,30,78,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,밀레니엄,34㎡,서울시 영등포구 영등포동6가,1156010700,40-1,서울시 영등포구 영신로44길 18-1,37.52225,126.903642,16,0,6,6,236,59,9,토성종합건설,HT001,34.35,28.59,83,1,1,4,계단식,,,,,,,,,,,,,,,,"3,000/100",,"3,000/100",,,,
1,밀레니엄,34A㎡,서울시 영등포구 영등포동6가,1156010700,40-1,서울시 영등포구 영신로44길 18-1,37.52225,126.903642,16,0,6,6,236,59,9,토성종합건설,HT001,34.86,29.02,83,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,밀레니엄,36B,서울시 영등포구 영등포동6가,1156010700,40-1,서울시 영등포구 영신로44길 18-1,37.52225,126.903642,16,0,6,6,236,59,9,토성종합건설,HT001,36.01,29.98,83,1,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
0,부자(주상복합),11㎡,서울시 영등포구 영등포동6가,1156010700,22-1,서울시 영등포구 영중로 69,37.522488,126.904736,24,24,14,13,516,52,12,,HT001,11.35,9.87,87,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
1,부자(주상복합),12㎡,서울시 영등포구 영등포동6가,1156010700,22-1,서울시 영등포구 영중로 69,37.522488,126.904736,24,24,14,13,516,52,12,,HT001,12.91,11.22,87,1,1,3,계단식,,,,,,,,,,,,,,,,"1억 3,000/10",,"1억 3,000/10",,,,
2,부자(주상복합),16B㎡,서울시 영등포구 영등포동6가,1156010700,22-1,서울시 영등포구 영중로 69,37.522488,126.904736,24,24,14,13,516,52,12,,HT001,16.75,14.57,87,1,1,9,계단식,,,,,,,,,,,,,,,,,,,,,,
3,부자(주상복합),16A㎡,서울시 영등포구 영등포동6가,1156010700,22-1,서울시 영등포구 영중로 69,37.522488,126.904736,24,24,14,13,516,52,12,,HT001,16.16,14.05,87,1,1,3,계단식,,,,,,,,,,,,,,,,"1억 5,000/10",,"1억 5,000/10",,,,
4,부자(주상복합),16C㎡,서울시 영등포구 영등포동6가,1156010700,22-1,서울시 영등포구 영중로 69,37.522488,126.904736,24,24,14,13,516,52,12,,HT001,16.97,14.76,87,1,1,3,계단식,,,,,,,,,,,,,,,,"1억 3,000/15",,"1억 3,000/15",,,,
5,부자(주상복합),18㎡,서울시 영등포구 영등포동6가,1156010700,22-1,서울시 영등포구 영중로 69,37.522488,126.904736,24,24,14,13,516,52,12,,HT001,18.91,16.44,87,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
6,부자(주상복합),78㎡,서울시 영등포구 영등포동6가,1156010700,22-1,서울시 영등포구 영중로 69,37.522488,126.904736,24,24,14,13,516,52,12,,HT001,78.07,56.52,72,1,1,3,복합식,,,,,,,,,,,,,,,,,,,,,,
7,부자(주상복합),82,서울시 영등포구 영등포동6가,1156010700,22-1,서울시 영등포구 영중로 69,37.522488,126.904736,24,24,14,13,516,52,12,,HT001,82.46,59.7,72,1,1,3,복합식,,,,,,,,,,,,,,,,,,,,,,
0,스마트빌(도시형),18A㎡,서울시 영등포구 영등포동6가,1156010700,31-7,서울시 영등포구 영등포로35나길 11,37.522539,126.903164,14,0,5,4,219,59,4,(주)흥안종합건설,HT001,18.98,13.84,73,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
1,스마트빌(도시형),19B㎡,서울시 영등포구 영등포동6가,1156010700,31-7,서울시 영등포구 영등포로35나길 11,37.522539,126.903164,14,0,5,4,219,59,4,(주)흥안종합건설,HT001,19.58,14.28,73,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
2,스마트빌(도시형),22㎡,서울시 영등포구 영등포동6가,1156010700,31-7,서울시 영등포구 영등포로35나길 11,37.522539,126.903164,14,0,5,4,219,59,4,(주)흥안종합건설,HT001,22.84,16.66,73,1,1,6,계단식,,,,,,,,,,,,,,,,"9,000/45",,"9,000/45",,,,
3,스마트빌(도시형),39A㎡,서울시 영등포구 영등포동6가,1156010700,31-7,서울시 영등포구 영등포로35나길 11,37.522539,126.903164,14,0,5,4,219,59,4,(주)흥안종합건설,HT001,39.74,28.98,73,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
4,스마트빌(도시형),40B,서울시 영등포구 영등포동6가,1156010700,31-7,서울시 영등포구 영등포로35나길 11,37.522539,126.903164,14,0,5,4,219,59,4,(주)흥안종합건설,HT001,40.54,29.56,73,1,1,1,계단식,,,,,,,,,,,,,,,,"3,000/70",,"3,000/70",,,,
0,스위트빌(도시형),18㎡,서울시 영등포구 영등포동6가,1156010700,148,서울시 영등포구 영등포로33길 14,37.521606,126.902883,36,0,5,5,203,59,12,(주)성운종합건설,HT001,18.95,14.23,75,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,스위트빌(도시형),21A㎡,서울시 영등포구 영등포동6가,1156010700,148,서울시 영등포구 영등포로33길 14,37.521606,126.902883,36,0,5,5,203,59,12,(주)성운종합건설,HT001,21.04,15.8,75,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
