,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,도원,41B㎡,서울시 용산구 도원동,1117012000,3-7,서울시 용산구 새창로12길 11-15,37.538926,126.958437,17,0,5,5,291,56,0,,HT001,41.46,34.81,84,1,1,8,계단식,24300,97200,4860,68040,0,0,0,,,,,,,,,,,,,,,
1,도원,41C㎡,서울시 용산구 도원동,1117012000,3-7,서울시 용산구 새창로12길 11-15,37.538926,126.958437,17,0,5,5,291,56,0,,HT001,41.47,34.82,84,1,1,8,계단식,24300,97200,4860,68040,0,0,0,,,,,,,,,,,,,,,
2,도원,41A,서울시 용산구 도원동,1117012000,3-7,서울시 용산구 새창로12길 11-15,37.538926,126.958437,17,0,5,5,291,56,0,,HT001,41.5,34.8,84,1,1,1,계단식,23625,94500,4725,66150,0,0,0,,,,,,,,,,,,,,,
0,도원삼성래미안,81㎡,서울시 용산구 도원동,1117012000,23,서울시 용산구 새창로 70,37.538411,126.955287,1458,0,22,20,289,20,1974,삼성물산(주),HT001,81.58,59.94,73,3,1,462,계단식,711900,1391040,142380,536760,0,0,0,,126077,129721,"11억 2,000",15억,"4억 8,700","6억 4,000",1억/200,3억/120,1억/200,3억/120,,,,
1,도원삼성래미안,108A㎡,서울시 용산구 도원동,1117012000,23,서울시 용산구 새창로 70,37.538411,126.955287,1458,0,22,20,289,20,1974,삼성물산(주),HT001,108.31,84.69,78,3,2,544,계단식,1292400,2223720,258480,672840,0,0,0,,178136,183284,13억,16억,"6억 5,000","7억 7,000","2억 5,000/150",3억/130,"2억 5,000/150",3억/130,,,,
2,도원삼성래미안,108B㎡,서울시 용산구 도원동,1117012000,23,서울시 용산구 새창로 70,37.538411,126.955287,1458,0,22,20,289,20,1974,삼성물산(주),HT001,108.51,84.92,78,3,2,66,계단식,1207800,2092590,241560,643230,0,0,0,,178620,183782,13억,15억,,,,,,,,,,
3,도원삼성래미안,142B㎡,서울시 용산구 도원동,1117012000,23,서울시 용산구 새창로 70,37.538411,126.955287,1458,0,22,20,289,20,1974,삼성물산(주),HT001,142.04,114.99,81,4,2,200,계단식,1670400,2809620,334080,805140,538272,448560,89712,,241869,248859,"15억 5,000","17억 5,000",,8억,,,,,,,,
4,도원삼성래미안,142A,서울시 용산구 도원동,1117012000,23,서울시 용산구 새창로 70,37.538411,126.955287,1458,0,22,20,289,20,1974,삼성물산(주),HT001,142.04,114.99,81,4,2,186,계단식,1557000,2633850,311400,765450,347760,289800,57960,,241869,248859,"15억 5,000",17억,7억,8억,,4억/180,,4억/180,,,,
0,제일,45A㎡,서울시 용산구 도원동,1117012000,3-4,서울시 용산구 새창로12길 11-7,37.539103,126.958117,34,0,5,5,0,0,0,제일건설,HT001,45.26,45.26,100,2,1,29,복도식,31650,124290,6330,86310,0,0,0,,,,,"3억 4,750",,,,,,,,,,
1,제일,45C㎡,서울시 용산구 도원동,1117012000,3-4,서울시 용산구 새창로12길 11-7,37.539103,126.958117,34,0,5,5,0,0,0,제일건설,HT001,45.45,45.45,100,1,1,4,계단식,31650,124290,6330,86310,0,0,0,,,,,,,,,,,,,,,
2,제일,45B,서울시 용산구 도원동,1117012000,3-4,서울시 용산구 새창로12길 11-7,37.539103,126.958117,34,0,5,5,0,0,0,제일건설,HT001,45.29,45.29,100,1,1,1,계단식,29250,117000,5850,81900,0,0,0,,,,,,,,,,,,,,,
