,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,동보수목원,48㎡,서울시 구로구 항동,1153011200,16-33,서울시 구로구 연동로13길 18-46,37.485948,126.820817,50,0,7,6,195,40,54,"동보건설산업(주),(주)명광실업",HT001,48.55,41.73,86,2,1,5,계단식,24750,99000,4950,69300,0,0,0,,,,,"2억 1,000",,,,,,,,,,
1,동보수목원,72㎡,서울시 구로구 항동,1153011200,16-33,서울시 구로구 연동로13길 18-46,37.485948,126.820817,50,0,7,6,195,40,54,"동보건설산업(주),(주)명광실업",HT001,72.28,59.82,83,3,2,6,계단식,48300,167580,9660,109620,0,0,0,,,,,"3억 8,000",,,,,,,,,,
2,동보수목원,89B㎡,서울시 구로구 항동,1153011200,16-33,서울시 구로구 연동로13길 18-46,37.485948,126.820817,50,0,7,6,195,40,54,"동보건설산업(주),(주)명광실업",HT001,89.26,76.72,86,3,2,1,계단식,72600,230760,14520,143640,0,0,0,,,,,"4억 3,000",,,,,,,,,,
3,동보수목원,91A㎡,서울시 구로구 항동,1153011200,16-33,서울시 구로구 연동로13길 18-46,37.485948,126.820817,50,0,7,6,195,40,54,"동보건설산업(주),(주)명광실업",HT001,91.64,75.84,83,3,1,6,계단식,72600,230760,14520,143640,0,0,0,,,,,,,,,,,,,,,
4,동보수목원,93B㎡,서울시 구로구 항동,1153011200,16-33,서울시 구로구 연동로13길 18-46,37.485948,126.820817,50,0,7,6,195,40,54,"동보건설산업(주),(주)명광실업",HT001,93.72,80.56,86,3,2,1,계단식,72600,230760,14520,143640,0,0,0,,,,,,,,,,,,,,,
5,동보수목원,93C㎡,서울시 구로구 항동,1153011200,16-33,서울시 구로구 연동로13길 18-46,37.485948,126.820817,50,0,7,6,195,40,54,"동보건설산업(주),(주)명광실업",HT001,93.15,80.07,86,3,2,1,계단식,72600,230760,14520,143640,0,0,0,,,,,,,,,,,,,,,
6,동보수목원,95A㎡,서울시 구로구 항동,1153011200,16-33,서울시 구로구 연동로13길 18-46,37.485948,126.820817,50,0,7,6,195,40,54,"동보건설산업(주),(주)명광실업",HT001,95.99,84.41,88,3,2,7,계단식,102750,309150,20550,185850,0,0,0,,,,,"4억 3,000",,,,,,,,,,
7,동보수목원,96B㎡,서울시 구로구 항동,1153011200,16-33,서울시 구로구 연동로13길 18-46,37.485948,126.820817,50,0,7,6,195,40,54,"동보건설산업(주),(주)명광실업",HT001,96.24,84.62,88,3,2,7,계단식,105900,317340,21180,190260,0,0,0,,,,,,,"2억 8,000",,,,,,,,
8,동보수목원,97A㎡,서울시 구로구 항동,1153011200,16-33,서울시 구로구 연동로13길 18-46,37.485948,126.820817,50,0,7,6,195,40,54,"동보건설산업(주),(주)명광실업",HT001,97.63,83.91,86,3,2,4,계단식,78450,245970,15690,151830,0,0,0,,,,,,,,,,,,,,,
9,동보수목원,98B㎡,서울시 구로구 항동,1153011200,16-33,서울시 구로구 연동로13길 18-46,37.485948,126.820817,50,0,7,6,195,40,54,"동보건설산업(주),(주)명광실업",HT001,98.77,84.9,86,3,1,4,계단식,78450,245970,15690,151830,0,0,0,,,,,,,,,,,,,,,
10,동보수목원,98C㎡,서울시 구로구 항동,1153011200,16-33,서울시 구로구 연동로13길 18-46,37.485948,126.820817,50,0,7,6,195,40,54,"동보건설산업(주),(주)명광실업",HT001,98.71,84.85,86,3,2,1,계단식,83850,260010,16770,159390,0,0,0,,,,,"4억 1,000",,3억,,,,,,,,
11,동보수목원,102,서울시 구로구 항동,1153011200,16-33,서울시 구로구 연동로13길 18-46,37.485948,126.820817,50,0,7,6,195,40,54,"동보건설산업(주),(주)명광실업",HT001,102.55,84.87,83,3,2,7,계단식,81600,254160,16320,156240,0,0,0,,,,"4억 3,000","4억 5,000",,,,,,,,,,
0,동삼파크,63㎡,서울시 구로구 항동,1153011200,1,서울시 구로구 연동로 306,37.48722,126.824551,162,0,3,3,95,31,0,동삼건설,HT001,63.88,42.15,66,2,1,120,계단식,108600,259680,21720,129360,0,0,0,,,,"3억 3,000","3억 5,000","1억 3,000","1억 6,000",,,,,,,,
1,동삼파크,73,서울시 구로구 항동,1153011200,1,서울시 구로구 연동로 306,37.48722,126.824551,162,0,3,3,95,31,0,동삼건설,HT001,73.76,49.95,68,3,1,42,계단식,132900,311520,26580,152040,0,0,0,,,,,"5억 5,000",,,,,,,,,,
0,매화,69B㎡,서울시 구로구 항동,1153011200,232,서울시 구로구 연동로 169,37.476367,126.822245,146,0,4,4,108,34,51,(주)무성종합건설,HT001,69.56,59.89,86,3,1,142,계단식,121200,286560,24240,141120,0,0,0,,,,"4억 3,000","5억 5,000","1억 8,000",3억,1억/60,1억/80,1억/60,1억/80,,,,
1,매화,69A,서울시 구로구 항동,1153011200,232,서울시 구로구 연동로 169,37.476367,126.822245,146,0,4,4,108,34,51,(주)무성종합건설,HT001,69.52,59.86,86,3,1,4,계단식,121200,286560,24240,141120,0,0,0,,,,,"5억 5,000",,,,,,,,,,
0,서울수목원현대홈타운스위트,108㎡,서울시 구로구 항동,1153011200,233,서울시 구로구 연동로13길 25,37.48408,126.820462,245,0,5,5,144,34,305,현대건설(주),HT001,108.79,84.98,78,3,2,2,계단식,252900,606510,50580,303030,0,0,0,,257504,262377,,,,,,,,,,,,
1,서울수목원현대홈타운스위트,109A㎡,서울시 구로구 항동,1153011200,233,서울시 구로구 연동로13길 25,37.48408,126.820462,245,0,5,5,144,34,305,현대건설(주),HT001,109.33,84.98,78,3,2,169,계단식,252900,606510,50580,303030,0,0,0,,257519,262391,"6억 5,000","7억 5,000",,"4억 5,000",,,,,,,,
2,서울수목원현대홈타운스위트,109B㎡,서울시 구로구 항동,1153011200,233,서울시 구로구 연동로13길 25,37.48408,126.820462,245,0,5,5,144,34,305,현대건설(주),HT001,109.36,84.98,78,3,2,34,계단식,252900,606510,50580,303030,0,0,0,,257504,262377,,"7억 5,000",,,,,,,,,,
3,서울수목원현대홈타운스위트,128㎡,서울시 구로구 항동,1153011200,233,서울시 구로구 연동로13길 25,37.48408,126.820462,245,0,5,5,144,34,305,현대건설(주),HT001,128.34,101.98,79,3,2,20,계단식,301500,698850,60300,337050,0,0,0,,309017,314865,,"8억 3,000",,,,,,,,,,
4,서울수목원현대홈타운스위트,141,서울시 구로구 항동,1153011200,233,서울시 구로구 연동로13길 25,37.48408,126.820462,245,0,5,5,144,34,305,현대건설(주),HT001,141.79,114.98,81,4,2,20,계단식,324900,743310,64980,353430,0,0,0,,348421,355014,,,,"4억 8,000",,,,,,,,
0,우남퍼스트빌더센트럴,100㎡,서울시 구로구 항동,1153011200,항동공공주택지구6블록,서울시 구로구 항동로 8,37.477276,126.820813,337,0,20,14,219,18,491,(주)우남건설,HT005,100.95,79.99,79,3,2,79,계단식,363600,816840,72720,380520,0,0,0,,305033,230803,8억,"10억 5,000",,,,1억/96,,1억/96,,,,
1,우남퍼스트빌더센트럴,107A㎡,서울시 구로구 항동,1153011200,항동공공주택지구6블록,서울시 구로구 항동로 8,37.477276,126.820813,337,0,20,14,219,18,491,(주)우남건설,HT005,107.37,84.91,79,3,2,179,계단식,450450,972720,90090,432180,0,0,0,,323809,245009,8억,10억,,5억,,,,,,,,
