,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,CS아르체,40,서울시 은평구 역촌동,1138010800,17-30,서울시 은평구 진흥로9길 8-4,37.605885,126.9217,8,0,8,8,299,59,4,태영종합건설주식회사,HT001,40.16,27.59,69,1,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
0,SM벨리체,62B㎡,서울시 은평구 역촌동,1138010800,2-38,서울시 은평구 서오릉로 107,37.609284,126.919925,29,0,14,12,249,32,23,(주)담종합건설,HT001,62.56,55.76,89,3,2,8,계단식,,,,,,,,,,,"5억 7,000","6억 2,000",,,,,,,,,,
1,SM벨리체,63A,서울시 은평구 역촌동,1138010800,2-38,서울시 은평구 서오릉로 107,37.609284,126.919925,29,0,14,12,249,32,23,(주)담종합건설,HT001,63.5,56.59,89,3,2,21,계단식,,,,,,,,,,,,6억,,"3억 5,000",,,,,,,,
0,개성팰리스,72㎡,서울시 은평구 역촌동,1138010800,234,서울시 은평구 갈현로11길 37,37.604979,126.90653,28,0,7,7,200,38,28,(주)개성건설,HT001,72.23,55.15,76,2,1,1,계단식,70800,226080,14160,141120,0,0,0,,,,,"4억 7,000",,,,,,,,,,
1,개성팰리스,75㎡,서울시 은평구 역촌동,1138010800,234,서울시 은평구 갈현로11길 37,37.604979,126.90653,28,0,7,7,200,38,28,(주)개성건설,HT001,75.65,58,77,3,2,6,계단식,77550,243630,15510,150570,0,0,0,,,,,,,,,,,,,,,
2,개성팰리스,84A㎡,서울시 은평구 역촌동,1138010800,234,서울시 은평구 갈현로11길 37,37.604979,126.90653,28,0,7,7,200,38,28,(주)개성건설,HT001,84.4,65.32,77,3,2,14,계단식,89700,275220,17940,167580,0,0,0,,,,,,,,,,,,,,,
3,개성팰리스,84B,서울시 은평구 역촌동,1138010800,234,서울시 은평구 갈현로11길 37,37.604979,126.90653,28,0,7,7,200,38,28,(주)개성건설,HT001,84.66,65.55,77,3,2,7,계단식,89700,275220,17940,167580,0,0,0,,,,,,,,,,,,,,,
0,거성리젠시(44-23),81A㎡,서울시 은평구 역촌동,1138010800,44-23,서울시 은평구 연서로 14-1,37.600412,126.916415,18,0,7,7,399,59,17,금정종합건설,HT001,81.41,73.05,90,3,2,1,계단식,98250,297450,19650,179550,0,0,0,,,,,,,,,,,,,,,
1,거성리젠시(44-23),83B㎡,서울시 은평구 역촌동,1138010800,44-23,서울시 은평구 연서로 14-1,37.600412,126.916415,18,0,7,7,399,59,17,금정종합건설,HT001,83.81,75.21,90,3,2,5,계단식,108150,323190,21630,193410,0,0,0,,,,,,,,,,,,,,,
2,거성리젠시(44-23),87A㎡,서울시 은평구 역촌동,1138010800,44-23,서울시 은평구 연서로 14-1,37.600412,126.916415,18,0,7,7,399,59,17,금정종합건설,HT001,87.79,78.78,90,3,2,6,계단식,111300,331380,22260,197820,0,0,0,,,,,,,,,,,,,,,
