,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,N168(도시형),26A㎡,서울시 강남구 논현동,1168010800,128-6,서울시 강남구 학동로 168,37.513061,127.029552,132,0,9,8,359,59,69,태평양개발(주),HT001,26.32,15.32,58,1,1,12,계단식,,,,,,,,,,,,,,,,,,,,,,
1,N168(도시형),27B㎡,서울시 강남구 논현동,1168010800,128-6,서울시 강남구 학동로 168,37.513061,127.029552,132,0,9,8,359,59,69,태평양개발(주),HT001,27.81,16.06,58,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,N168(도시형),28A㎡,서울시 강남구 논현동,1168010800,128-6,서울시 강남구 학동로 168,37.513061,127.029552,132,0,9,8,359,59,69,태평양개발(주),HT001,28.7,16.8,59,1,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
3,N168(도시형),30C㎡,서울시 강남구 논현동,1168010800,128-6,서울시 강남구 학동로 168,37.513061,127.029552,132,0,9,8,359,59,69,태평양개발(주),HT001,30.93,18.06,58,1,1,12,계단식,,,,,,,,,,,,,,,,,,,,,,
4,N168(도시형),30D㎡,서울시 강남구 논현동,1168010800,128-6,서울시 강남구 학동로 168,37.513061,127.029552,132,0,9,8,359,59,69,태평양개발(주),HT001,30.96,18.12,59,1,1,12,계단식,,,,,,,,,,,,,,,,,,,,,,
5,N168(도시형),30B㎡,서울시 강남구 논현동,1168010800,128-6,서울시 강남구 학동로 168,37.513061,127.029552,132,0,9,8,359,59,69,태평양개발(주),HT001,30.89,17.99,58,1,1,6,계단식,,,,,,,,,,,,,,,,,,,,,,
6,N168(도시형),32B㎡,서울시 강남구 논현동,1168010800,128-6,서울시 강남구 학동로 168,37.513061,127.029552,132,0,9,8,359,59,69,태평양개발(주),HT001,32.23,18.89,59,1,1,48,계단식,,,,,,,,,,,,,,,,,,,,,,
7,N168(도시형),34A㎡,서울시 강남구 논현동,1168010800,128-6,서울시 강남구 학동로 168,37.513061,127.029552,132,0,9,8,359,59,69,태평양개발(주),HT001,34.03,20.03,59,1,1,18,계단식,,,,,,,,,,,,,,,,,,,,,,
8,N168(도시형),35A㎡,서울시 강남구 논현동,1168010800,128-6,서울시 강남구 학동로 168,37.513061,127.029552,132,0,9,8,359,59,69,태평양개발(주),HT001,35.29,21.04,60,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
9,N168(도시형),36B㎡,서울시 강남구 논현동,1168010800,128-6,서울시 강남구 학동로 168,37.513061,127.029552,132,0,9,8,359,59,69,태평양개발(주),HT001,36.64,21.39,58,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
