,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,SK북한산시티,81A㎡,서울시 강북구 미아동,1130510100,1353,서울시 강북구 솔샘로 174,37.618311,127.012946,3830,0,25,16,271,17,4804,에스케이건설㈜,HT001,81.53,59.98,74,3,2,1195,계단식,247500,596250,49500,299250,0,0,0,,141716,148413,"5억 3,000","7억 5,000","3억 2,000","3억 5,000",,,,,,,,
1,SK북한산시티,109㎡,서울시 강북구 미아동,1130510100,1353,서울시 강북구 솔샘로 174,37.618311,127.012946,3830,0,25,16,271,17,4804,에스케이건설㈜,HT001,109.28,84.76,78,3,2,760,계단식,315000,724500,63000,346500,0,0,0,,200265,209728,"6억 5,000",8억,,"3억 8,000",,,,,,,,
2,SK북한산시티,111C㎡,서울시 강북구 미아동,1130510100,1353,서울시 강북구 솔샘로 174,37.618311,127.012946,3830,0,25,16,271,17,4804,에스케이건설㈜,HT001,111.06,84.92,76,3,2,442,계단식,329400,751860,65880,356580,0,0,0,,200643,210125,"7억 3,000","8억 3,000",,4억,,,,,,,,
3,SK북한산시티,111A㎡,서울시 강북구 미아동,1130510100,1353,서울시 강북구 솔샘로 174,37.618311,127.012946,3830,0,25,16,271,17,4804,에스케이건설㈜,HT001,111.31,84.86,76,3,2,292,계단식,310500,715950,62100,343350,0,0,0,,200501,209976,"6억 4,000",7억,"3억 7,000","4억 5,000",,4억/30,,4억/30,,,,
4,SK북한산시티,111B㎡,서울시 강북구 미아동,1130510100,1353,서울시 강북구 솔샘로 174,37.618311,127.012946,3830,0,25,16,271,17,4804,에스케이건설㈜,HT001,111.12,84.71,76,3,2,292,계단식,320400,734760,64080,350280,0,0,0,,200147,209605,"6억 7,000",8억,,,,,,,,,,
5,SK북한산시티,142,서울시 강북구 미아동,1130510100,1353,서울시 강북구 솔샘로 174,37.618311,127.012946,3830,0,25,16,271,17,4804,에스케이건설㈜,HT001,142.21,114.85,81,4,2,849,계단식,436275,950040,87255,426510,0,0,0,,271359,284183,"7억 5,000",9억,"4억 7,000",5억,1억/160,3억/100,1억/160,3억/100,,,,
0,경남아너스빌(1356),87㎡,서울시 강북구 미아동,1130510100,1356,서울시 강북구 오패산로30길 30,37.615949,127.036222,860,0,23,8,287,20,1069,경남기업(주),HT001,87.18,59.96,69,3,1,202,복도식,272700,644130,54540,316890,0,0,0,,153121,149839,6억,"6억 5,000",,"3억 6,000","1억 8,000/60",2억/60,"1억 8,000/60",2억/60,,,,
1,경남아너스빌(1356),109㎡,서울시 강북구 미아동,1130510100,1356,서울시 강북구 오패산로30길 30,37.615949,127.036222,860,0,23,8,287,20,1069,경남기업(주),HT001,109.48,84.87,78,3,2,461,계단식,355500,801450,71100,374850,0,0,0,,216727,212081,7억,8억,"4억 2,000","4억 3,000",,3억/70,,3억/70,,,,
2,경남아너스빌(1356),142,서울시 강북구 미아동,1130510100,1356,서울시 강북구 오패산로30길 30,37.615949,127.036222,860,0,23,8,287,20,1069,경남기업(주),HT001,142.86,114.92,80,4,2,197,계단식,518175,1081080,103635,459270,0,0,0,,293458,287168,8억,"9억 7,000",,,,,,,,,,
0,경남아너스빌(796),86㎡,서울시 강북구 미아동,1130510100,796,서울시 강북구 삼양로74길 8,37.629042,127.018889,208,0,15,12,248,21,231,경남기업(주),HT001,86.81,62.71,72,3,1,27,계단식,187200,481680,37440,257040,0,0,0,,190065,193158,,,,,,,,,,,,
1,경남아너스빌(796),102㎡,서울시 강북구 미아동,1130510100,796,서울시 강북구 삼양로74길 8,37.629042,127.018889,208,0,15,12,248,21,231,경남기업(주),HT001,102.02,81.98,80,3,2,30,계단식,241200,584280,48240,294840,0,0,0,,248484,252527,"7억 1,000","7억 5,000",,"4억 7,000",,,,,,,,
2,경남아너스빌(796),108A㎡,서울시 강북구 미아동,1130510100,796,서울시 강북구 삼양로74길 8,37.629042,127.018889,208,0,15,12,248,21,231,경남기업(주),HT001,108.38,84.91,78,3,2,109,계단식,304200,703980,60840,338940,0,0,0,,257359,261546,,8억,,,,,,,,,,
