,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,e-푸른,72㎡,서울시 구로구 개봉동,1153010700,491,서울시 구로구 개봉로17아길 41-13,37.493059,126.850186,36,0,7,7,199,45,36,엘아이피건설주식회사,HT001,72.34,59.2,82,3,2,12,계단식,87450,269370,17490,164430,0,0,0,,,,,"4억 3,000",,,,,,,,,,
1,e-푸른,101,서울시 구로구 개봉동,1153010700,491,서울시 구로구 개봉로17아길 41-13,37.493059,126.850186,36,0,7,7,199,45,36,엘아이피건설주식회사,HT001,101.45,83.02,82,3,2,24,계단식,110400,329040,22080,196560,0,0,0,,,,,5억,,,,,,,,,,
0,개봉가연(도시형),17㎡,서울시 구로구 개봉동,1153010700,202-15,서울시 구로구 남부순환로97길 20-7,37.493896,126.858873,24,0,6,6,303,59,6,진안종합건설(주),HT001,17.58,12.25,70,1,1,1,복도식,31800,82680,6360,44520,0,0,0,,,,,,,,,,,,,,,
1,개봉가연(도시형),20㎡,서울시 구로구 개봉동,1153010700,202-15,서울시 구로구 남부순환로97길 20-7,37.493896,126.858873,24,0,6,6,303,59,6,진안종합건설(주),HT001,20.17,14.05,70,1,1,1,복도식,36000,93600,7200,50400,0,0,0,,,,,,,,,,,,,,,
2,개봉가연(도시형),22B㎡,서울시 구로구 개봉동,1153010700,202-15,서울시 구로구 남부순환로97길 20-7,37.493896,126.858873,24,0,6,6,303,59,6,진안종합건설(주),HT001,22.61,15.75,70,1,1,5,복도식,40200,104520,8040,56280,0,0,0,,,,,,,,,,,,,,,
3,개봉가연(도시형),22A㎡,서울시 구로구 개봉동,1153010700,202-15,서울시 구로구 남부순환로97길 20-7,37.493896,126.858873,24,0,6,6,303,59,6,진안종합건설(주),HT001,22.6,15.75,70,1,1,4,복도식,40200,104520,8040,56280,0,0,0,,,,,,,,,,,,,,,
4,개봉가연(도시형),24C㎡,서울시 구로구 개봉동,1153010700,202-15,서울시 구로구 남부순환로97길 20-7,37.493896,126.858873,24,0,6,6,303,59,6,진안종합건설(주),HT001,24.11,16.8,70,1,1,5,복도식,42600,110760,8520,59640,0,0,0,,,,,,,,,,,,,,,
5,개봉가연(도시형),25B㎡,서울시 구로구 개봉동,1153010700,202-15,서울시 구로구 남부순환로97길 20-7,37.493896,126.858873,24,0,6,6,303,59,6,진안종합건설(주),HT001,25.62,17.85,70,1,1,4,복도식,45600,118560,9120,63840,0,0,0,,,,,,,,,,,,,,,
6,개봉가연(도시형),25A㎡,서울시 구로구 개봉동,1153010700,202-15,서울시 구로구 남부순환로97길 20-7,37.493896,126.858873,24,0,6,6,303,59,6,진안종합건설(주),HT001,25.12,17.5,70,1,1,1,복도식,44400,115440,8880,62160,0,0,0,,,,,,,,,,,,,,,
7,개봉가연(도시형),33A㎡,서울시 구로구 개봉동,1153010700,202-15,서울시 구로구 남부순환로97길 20-7,37.493896,126.858873,24,0,6,6,303,59,6,진안종합건설(주),HT001,33.44,23.3,70,1,1,1,복도식,57600,149760,11520,80640,0,0,0,,,,,,,,,,,,,,,
8,개봉가연(도시형),33B㎡,서울시 구로구 개봉동,1153010700,202-15,서울시 구로구 남부순환로97길 20-7,37.493896,126.858873,24,0,6,6,303,59,6,진안종합건설(주),HT001,33.66,23.45,70,1,1,1,복도식,58200,151320,11640,81480,0,0,0,,,,,,,,,,,,,,,
9,개봉가연(도시형),47,서울시 구로구 개봉동,1153010700,202-15,서울시 구로구 남부순환로97길 20-7,37.493896,126.858873,24,0,6,6,303,59,6,진안종합건설(주),HT001,47.79,33.3,70,1,1,1,복도식,90600,221280,18120,112560,0,0,0,,,,,,,,,,,,,,,
0,개봉대상,88㎡,서울시 구로구 개봉동,1153010700,477,서울시 구로구 개봉로1길 170,37.482182,126.850081,208,0,25,7,388,22,173,대상(주),HT001,88.27,59.93,68,3,1,90,복도식,121500,356850,24300,211050,0,0,0,,181058,183924,"4억 9,000",5억,,,,"2억 4,000/10",,"2억 4,000/10",,,,
