,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,DMC마포청구,106B㎡,서울시 마포구 중동,1144012600,390,서울시 마포구 성암로11길 60,37.574336,126.901748,420,0,21,16,343,25,266,(주)청구,HT005,106.51,84.9,80,3,2,352,계단식,567000,1159200,113400,478800,0,0,0,,370622,227749,"8억 2,000","8억 6,000",,,,,,,,,,
1,DMC마포청구,106A,서울시 마포구 중동,1144012600,390,서울시 마포구 성암로11길 60,37.574336,126.901748,420,0,21,16,343,25,266,(주)청구,HT005,106.1,84.6,80,3,2,68,계단식,567000,1159200,113400,478800,0,0,0,,369313,226944,,"9억 5,000","4억 7,000","4억 7,500",,2억/110,,2억/110,,,,
0,강림월드타운,78A㎡,서울시 마포구 중동,1144012600,36-29,서울시 마포구 성암로7길 14,37.57014,126.90691,48,0,10,9,299,33,47,강림종합건설(주),HT005,78.92,66.59,84,3,2,9,계단식,161100,432090,32220,238770,0,0,0,,,,,,,,,,,,,,,
1,강림월드타운,80B㎡,서울시 마포구 중동,1144012600,36-29,서울시 마포구 성암로7길 14,37.57014,126.90691,48,0,10,9,299,33,47,강림종합건설(주),HT005,80.77,68.15,84,3,2,18,계단식,166500,442350,33300,242550,0,0,0,,,,"5억 5,000",7억,,,,,,,,,,
2,강림월드타운,94㎡,서울시 마포구 중동,1144012600,36-29,서울시 마포구 성암로7길 14,37.57014,126.90691,48,0,10,9,299,33,47,강림종합건설(주),HT005,94.34,79.6,84,3,2,20,계단식,201600,509040,40320,267120,0,0,0,,,,,,,5억,,3억/80,,3억/80,,,,
3,강림월드타운,102,서울시 마포구 중동,1144012600,36-29,서울시 마포구 성암로7길 14,37.57014,126.90691,48,0,10,9,299,33,47,강림종합건설(주),HT005,102.08,86.22,84,3,2,1,계단식,221400,546660,44280,280980,0,0,0,,,,,,,,,,,,,,,
0,건영월드컵,88A㎡,서울시 마포구 중동,1144012600,393,서울시 마포구 성암로 41,37.568905,126.91171,206,0,19,16,310,19,250,(주)건영,HT001,88.53,58.76,66,3,1,38,복도식,244800,591120,48960,297360,0,0,0,,149759,150755,"6억 9,000","7억 1,000",,,,1억/100,,1억/100,,,,
1,건영월드컵,88B㎡,서울시 마포구 중동,1144012600,393,서울시 마포구 성암로 41,37.568905,126.91171,206,0,19,16,310,19,250,(주)건영,HT001,88.53,58.76,66,3,1,19,복도식,244800,591120,48960,297360,0,0,0,,149759,150755,"6억 9,000","7억 1,000",,,1억/100,"1억 2,000/90",1억/100,"1억 2,000/90",,,,
2,건영월드컵,103㎡,서울시 마포구 중동,1144012600,393,서울시 마포구 성암로 41,37.568905,126.91171,206,0,19,16,310,19,250,(주)건영,HT001,103.97,78.39,75,3,2,51,계단식,313200,721080,62640,345240,0,0,0,,199789,201118,,"8억 2,000","4억 4,000","4억 6,000",,,,,,,,
3,건영월드컵,106A㎡,서울시 마포구 중동,1144012600,393,서울시 마포구 성암로 41,37.568905,126.91171,206,0,19,16,310,19,250,(주)건영,HT001,106.38,79.58,75,3,2,32,계단식,320400,734760,64080,350280,0,0,0,,202822,204171,8억,"8억 5,000","4억 9,000","5억 2,000",,,,,,,,
