,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,산경,142㎡,서울시 서대문구 천연동,1141010600,117-23,서울시 서대문구 독립문로8길 33,37.56827,126.95971,19,0,8,6,202,33,21,(주)산경종합건설,HT001,142.6,124.92,88,4,2,1,계단식,329400,751860,65880,356580,0,0,0,,,,,,,,,,,,,,,
1,산경,143A㎡,서울시 서대문구 천연동,1141010600,117-23,서울시 서대문구 독립문로8길 33,37.56827,126.95971,19,0,8,6,202,33,21,(주)산경종합건설,HT001,143.91,126.07,88,4,2,1,계단식,329400,751860,65880,356580,0,0,0,,,,,,,,,,,,,,,
2,산경,147㎡,서울시 서대문구 천연동,1141010600,117-23,서울시 서대문구 독립문로8길 33,37.56827,126.95971,19,0,8,6,202,33,21,(주)산경종합건설,HT001,147.63,129.33,88,4,2,5,계단식,351900,794610,70380,372330,0,0,0,,,,,,,,,,,,,,,
3,산경,147B㎡,서울시 서대문구 천연동,1141010600,117-23,서울시 서대문구 독립문로8길 33,37.56827,126.95971,19,0,8,6,202,33,21,(주)산경종합건설,HT001,147.03,128.8,88,4,2,4,계단식,351900,794610,70380,372330,0,0,0,,,,,10억,,,,,,,,,,
4,산경,152㎡,서울시 서대문구 천연동,1141010600,117-23,서울시 서대문구 독립문로8길 33,37.56827,126.95971,19,0,8,6,202,33,21,(주)산경종합건설,HT001,152,133.23,88,4,2,1,계단식,356400,803160,71280,375480,0,0,0,,,,,,,,,,,,,,,
5,산경,154,서울시 서대문구 천연동,1141010600,117-23,서울시 서대문구 독립문로8길 33,37.56827,126.95971,19,0,8,6,202,33,21,(주)산경종합건설,HT001,154.04,134.94,88,4,2,7,계단식,393300,873270,78660,401310,0,0,0,,,,,"11억 7,000",,,,,,,,,,
0,천연뜨란채,40㎡,서울시 서대문구 천연동,1141010600,145,서울시 서대문구 독립문로8길 54,37.567665,126.95798,1008,0,18,2,229,21,1161,JR종합건설(주),HT001,40.44,30.17,75,2,1,74,계단식,117150,346590,23430,206010,0,0,0,,93636,89137,"5억 5,000","5억 8,000",,,,1억/70,,1억/70,,,,
1,천연뜨란채,74D㎡,서울시 서대문구 천연동,1141010600,145,서울시 서대문구 독립문로8길 54,37.567665,126.95798,1008,0,18,2,229,21,1161,JR종합건설(주),HT001,74.97,55.82,74,3,1,104,계단식,359100,808290,71820,377370,0,0,0,,173245,164920,8억,"8억 5,000",,"4억 5,000",,,,,,,,
2,천연뜨란채,75B㎡,서울시 서대문구 천연동,1141010600,145,서울시 서대문구 독립문로8길 54,37.567665,126.95798,1008,0,18,2,229,21,1161,JR종합건설(주),HT001,75.24,56.02,74,3,1,127,복도식,359100,808290,71820,377370,0,0,0,,173865,165511,"7억 6,000","9억 5,000","4억 6,000","4억 8,000",,,,,,,,
3,천연뜨란채,75E㎡,서울시 서대문구 천연동,1141010600,145,서울시 서대문구 독립문로8길 54,37.567665,126.95798,1008,0,18,2,229,21,1161,JR종합건설(주),HT001,75.01,55.85,74,3,1,102,계단식,359100,808290,71820,377370,0,0,0,,173338,165008,"8억 3,000","9억 5,000",,"4억 8,000",,,,,,,,
