,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,더마크(주상복합),22㎡,서울시 성동구 용답동,1120012200,228-8,서울시 성동구 자동차시장1길 25,37.561434,127.060471,16,0,13,13,398,59,13,(주)이지종합건설,HT001,22.98,18.85,82,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,더마크(주상복합),26㎡,서울시 성동구 용답동,1120012200,228-8,서울시 성동구 자동차시장1길 25,37.561434,127.060471,16,0,13,13,398,59,13,(주)이지종합건설,HT001,26.75,21.94,82,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,더마크(주상복합),28A㎡,서울시 성동구 용답동,1120012200,228-8,서울시 성동구 자동차시장1길 25,37.561434,127.060471,16,0,13,13,398,59,13,(주)이지종합건설,HT001,28.98,23.77,82,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
3,더마크(주상복합),28C㎡,서울시 성동구 용답동,1120012200,228-8,서울시 성동구 자동차시장1길 25,37.561434,127.060471,16,0,13,13,398,59,13,(주)이지종합건설,HT001,28.94,23.73,82,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
4,더마크(주상복합),28B㎡,서울시 성동구 용답동,1120012200,228-8,서울시 성동구 자동차시장1길 25,37.561434,127.060471,16,0,13,13,398,59,13,(주)이지종합건설,HT001,28.83,23.65,82,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
5,더마크(주상복합),32,서울시 성동구 용답동,1120012200,228-8,서울시 성동구 자동차시장1길 25,37.561434,127.060471,16,0,13,13,398,59,13,(주)이지종합건설,HT001,32.6,26.74,82,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
0,덕현해밀,66㎡,서울시 성동구 용답동,1120012200,252,서울시 성동구 용답29길 29,37.564683,127.053318,66,0,10,10,248,34,75,덕현건설(주),HT001,66.89,51.04,76,2,1,2,계단식,162900,435510,32580,240030,0,0,0,,,,,,,,,,,,,,,
1,덕현해밀,93㎡,서울시 성동구 용답동,1120012200,252,서울시 성동구 용답29길 29,37.564683,127.053318,66,0,10,10,248,34,75,덕현건설(주),HT001,93.69,72.5,77,3,2,2,계단식,288900,674910,57780,328230,0,0,0,,,,,"9억 3,000",,,,,,,,,,
2,덕현해밀,95A㎡,서울시 성동구 용답동,1120012200,252,서울시 성동구 용답29길 29,37.564683,127.053318,66,0,10,10,248,34,75,덕현건설(주),HT001,95.31,73.74,77,3,2,1,계단식,242100,585990,48420,295470,0,0,0,,,,,,,,,,,,,,,
3,덕현해밀,96B㎡,서울시 성동구 용답동,1120012200,252,서울시 성동구 용답29길 29,37.564683,127.053318,66,0,10,10,248,34,75,덕현건설(주),HT001,96.5,75.11,78,3,2,1,계단식,304200,703980,60840,338940,0,0,0,,,,,,,,,,,,,,,
4,덕현해밀,100㎡,서울시 성동구 용답동,1120012200,252,서울시 성동구 용답29길 29,37.564683,127.053318,66,0,10,10,248,34,75,덕현건설(주),HT001,100.13,75.67,76,3,2,1,계단식,304200,703980,60840,338940,0,0,0,,,,,,,,,,,,,,,
5,덕현해밀,103㎡,서울시 성동구 용답동,1120012200,252,서울시 성동구 용답29길 29,37.564683,127.053318,66,0,10,10,248,34,75,덕현건설(주),HT001,103.55,80.42,78,3,2,1,계단식,314100,722790,62820,345870,0,0,0,,,,,,,,,,,,,,,
6,덕현해밀,104㎡,서울시 성동구 용답동,1120012200,252,서울시 성동구 용답29길 29,37.564683,127.053318,66,0,10,10,248,34,75,덕현건설(주),HT001,104.85,81.55,78,3,2,5,계단식,321300,736470,64260,350910,0,0,0,,,,,,,,,,,,,,,
7,덕현해밀,110,서울시 성동구 용답동,1120012200,252,서울시 성동구 용답29길 29,37.564683,127.053318,66,0,10,10,248,34,75,덕현건설(주),HT001,110.14,84.99,77,3,2,53,계단식,358200,806580,71640,376740,0,0,0,,,,11억,12억,,"5억 8,000",,,,,,,,
0,드레곤힐(도시형),32Bb㎡,서울시 성동구 용답동,1120012200,69-2,서울시 성동구 천호대로 298,37.565928,127.053472,91,0,9,9,398,59,49,한양개발(주),HT001,32.95,19.7,60,1,1,7,복도식,,,,,,,,,,,,,,,,"3,000/55",,"3,000/55",,,,
1,드레곤힐(도시형),33A㎡,서울시 성동구 용답동,1120012200,69-2,서울시 성동구 천호대로 298,37.565928,127.053472,91,0,9,9,398,59,49,한양개발(주),HT001,33.43,19.99,60,1,1,49,복도식,,,,,,,,,,,,,,,,,,,,,,
