,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,뉴센트빌7차(주상복합),36A㎡,서울시 성동구 홍익동,1120010300,125-1,서울시 성동구 마장로26길 13,37.565691,127.035879,14,0,10,9,395,52,11,경향건설(주),HT001,36.86,29.14,79,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,뉴센트빌7차(주상복합),37B㎡,서울시 성동구 홍익동,1120010300,125-1,서울시 성동구 마장로26길 13,37.565691,127.035879,14,0,10,9,395,52,11,경향건설(주),HT001,37.37,29.54,79,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,뉴센트빌7차(주상복합),43㎡,서울시 성동구 홍익동,1120010300,125-1,서울시 성동구 마장로26길 13,37.565691,127.035879,14,0,10,9,395,52,11,경향건설(주),HT001,43.95,34.74,79,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
3,뉴센트빌7차(주상복합),48㎡,서울시 성동구 홍익동,1120010300,125-1,서울시 성동구 마장로26길 13,37.565691,127.035879,14,0,10,9,395,52,11,경향건설(주),HT001,48.72,38.52,79,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
4,뉴센트빌7차(주상복합),52,서울시 성동구 홍익동,1120010300,125-1,서울시 성동구 마장로26길 13,37.565691,127.035879,14,0,10,9,395,52,11,경향건설(주),HT001,52.22,41.28,79,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,뉴센트빌9차(도시형),28㎡,서울시 성동구 홍익동,1120010300,144,서울시 성동구 왕십리로20길 36-1,37.565101,127.035792,10,0,9,9,378,59,7,경향건설(주),HT001,28.65,21.91,76,1,1,5,계단식,,,,,,,,,,,,,,,,,,,,,,
1,뉴센트빌9차(도시형),42,서울시 성동구 홍익동,1120010300,144,서울시 성동구 왕십리로20길 36-1,37.565101,127.035792,10,0,9,9,378,59,7,경향건설(주),HT001,42.86,32.78,76,1,1,5,계단식,,,,,,,,,,,,,,,,,,,,,,
0,동아맨숀(주상복합),67A㎡,서울시 성동구 홍익동,1120010300,125,서울시 성동구 고산자로 293,37.565878,127.036109,36,0,5,5,0,0,0,,HT001,67.8,60.36,89,2,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
1,동아맨숀(주상복합),68B㎡,서울시 성동구 홍익동,1120010300,125,서울시 성동구 고산자로 293,37.565878,127.036109,36,0,5,5,0,0,0,,HT001,68.63,61.19,89,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,동아맨숀(주상복합),75A㎡,서울시 성동구 홍익동,1120010300,125,서울시 성동구 고산자로 293,37.565878,127.036109,36,0,5,5,0,0,0,,HT001,75.07,67.6,90,3,2,3,계단식,,,,,,,,,,,,"5억 5,000",,,,,,,,,,
3,동아맨숀(주상복합),75B㎡,서울시 성동구 홍익동,1120010300,125,서울시 성동구 고산자로 293,37.565878,127.036109,36,0,5,5,0,0,0,,HT001,75.37,67.9,90,3,2,1,계단식,,,,,,,,,,,,"5억 4,000",,,,,,,,,,
4,동아맨숀(주상복합),76C㎡,서울시 성동구 홍익동,1120010300,125,서울시 성동구 고산자로 293,37.565878,127.036109,36,0,5,5,0,0,0,,HT001,76.4,68.96,90,3,2,4,계단식,,,,,,,,,,,,"5억 5,000",,,,,,,,,,
5,동아맨숀(주상복합),81㎡,서울시 성동구 홍익동,1120010300,125,서울시 성동구 고산자로 293,37.565878,127.036109,36,0,5,5,0,0,0,,HT001,81,72.56,90,3,2,4,계단식,,,,,,,,,,,,,,3억,,,,,,,,
6,동아맨숀(주상복합),95,서울시 성동구 홍익동,1120010300,125,서울시 성동구 고산자로 293,37.565878,127.036109,36,0,5,5,0,0,0,,HT001,95.74,85.36,89,3,2,12,계단식,,,,,,,,,,,,,,,,1억/100,,1억/100,,,,
0,미네하우스Ⅱ(도시형),20A㎡,서울시 성동구 홍익동,1120010300,295,서울시 성동구 무학로6길 17,37.565297,127.032238,20,0,6,6,188,52,11,(주)가온씨앤에이,HT001,20.63,16.32,79,1,1,1,계단식,54420,141492,10884,76188,0,0,0,,,,,,,,,,,,,,,
