,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,J&M하우스(도시형),20B㎡,서울시 강남구 청담동,1168010400,26-35,서울시 강남구 학동로59길 29-5,37.51941,127.044033,12,0,4,2,157,56,6,(주)에스앤제이종합건설,HT001,20.47,16.02,78,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,J&M하우스(도시형),20A㎡,서울시 강남구 청담동,1168010400,26-35,서울시 강남구 학동로59길 29-5,37.51941,127.044033,12,0,4,2,157,56,6,(주)에스앤제이종합건설,HT001,20.06,15.7,78,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
2,J&M하우스(도시형),22C㎡,서울시 강남구 청담동,1168010400,26-35,서울시 강남구 학동로59길 29-5,37.51941,127.044033,12,0,4,2,157,56,6,(주)에스앤제이종합건설,HT001,22.03,17.24,78,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
3,J&M하우스(도시형),56,서울시 강남구 청담동,1168010400,26-35,서울시 강남구 학동로59길 29-5,37.51941,127.044033,12,0,4,2,157,56,6,(주)에스앤제이종합건설,HT001,56.16,43.95,78,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
0,LG,263,서울시 강남구 청담동,1168010400,104-2,서울시 강남구 압구정로75길 40,37.528287,127.048213,11,0,7,6,248,46,24,엘지건설(주),HT001,263.42,244.73,93,5,3,11,계단식,4114800,6598440,822960,1660680,7680384,6400320,1280064,,,,,,,,,,,,,,,
0,PH129,332㎡,서울시 강남구 청담동,1168010400,129,서울시 강남구 압구정로79길 88,37.526054,127.054312,29,0,20,19,365,38,162,현대건설(주),HT001,332.88,273.96,82,5,3,27,계단식,,,,,,,,,,,105억,160억,100억,120억,"6,900/6900",10억/3000,"6,900/6900",10억/3000,,,,
1,PH129,495,서울시 강남구 청담동,1168010400,129,서울시 강남구 압구정로79길 88,37.526054,127.054312,29,0,20,19,365,38,162,현대건설(주),HT001,495.42,407.71,82,5,3,2,계단식,,,,,,,,,,,,,,,,,,,,,,
0,T.S.,176㎡,서울시 강남구 청담동,1168010400,115-5,서울시 강남구 압구정로73길 32,37.527971,127.047144,8,0,4,4,198,57,15,(주)티에스건설,HT001,176.7,176.7,100,4,2,1,계단식,1882800,3138840,376560,879480,412776,343980,68796,,,,,34억,,,,,,,,,,
1,T.S.,180㎡,서울시 강남구 청담동,1168010400,115-5,서울시 강남구 압구정로73길 32,37.527971,127.047144,8,0,4,4,198,57,15,(주)티에스건설,HT001,180.43,180.43,100,4,2,1,계단식,2158800,3566640,431760,976080,735696,613080,122616,,,,,,,,,,,,,,,
2,T.S.,202A㎡,서울시 강남구 청담동,1168010400,115-5,서울시 강남구 압구정로73길 32,37.527971,127.047144,8,0,4,4,198,57,15,(주)티에스건설,HT001,202.03,202.03,100,4,2,1,계단식,2646000,4321800,529200,1146600,1590120,1325100,265020,,,,,,,,,10억/235,,10억/235,,,,
