,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,JS타운(주상복합),14A㎡,서울시 동작구 노량진동,1159010100,39-9,서울시 동작구 노량진로12길 15-3,37.512603,126.938563,16,0,13,13,451,54,9,가우디피아건축,HT001,14.45,12.12,84,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
1,JS타운(주상복합),14B㎡,서울시 동작구 노량진동,1159010100,39-9,서울시 동작구 노량진로12길 15-3,37.512603,126.938563,16,0,13,13,451,54,9,가우디피아건축,HT001,14.48,12.12,84,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,JS타운(주상복합),17A㎡,서울시 동작구 노량진동,1159010100,39-9,서울시 동작구 노량진로12길 15-3,37.512603,126.938563,16,0,13,13,451,54,9,가우디피아건축,HT001,17.59,14.75,84,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
3,JS타운(주상복합),17B㎡,서울시 동작구 노량진동,1159010100,39-9,서울시 동작구 노량진로12길 15-3,37.512603,126.938563,16,0,13,13,451,54,9,가우디피아건축,HT001,17.63,14.75,84,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
4,JS타운(주상복합),20A㎡,서울시 동작구 노량진동,1159010100,39-9,서울시 동작구 노량진로12길 15-3,37.512603,126.938563,16,0,13,13,451,54,9,가우디피아건축,HT001,20.21,16.95,84,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
5,JS타운(주상복합),20B㎡,서울시 동작구 노량진동,1159010100,39-9,서울시 동작구 노량진로12길 15-3,37.512603,126.938563,16,0,13,13,451,54,9,가우디피아건축,HT001,20.25,16.95,84,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
6,JS타운(주상복합),22A㎡,서울시 동작구 노량진동,1159010100,39-9,서울시 동작구 노량진로12길 15-3,37.512603,126.938563,16,0,13,13,451,54,9,가우디피아건축,HT001,22.65,19,84,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
7,JS타운(주상복합),22B,서울시 동작구 노량진동,1159010100,39-9,서울시 동작구 노량진로12길 15-3,37.512603,126.938563,16,0,13,13,451,54,9,가우디피아건축,HT001,22.7,19,84,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,노량진큐브스테이트(도시형),21A㎡,서울시 동작구 노량진동,1159010100,267-6,서울시 동작구 노량진로 80,37.512829,126.934642,18,0,16,16,435,48,15,천명토건주식회사,HT001,21.47,15.94,74,1,1,10,계단식,,,,,,,,,,,,,,,,,,,,,,
1,노량진큐브스테이트(도시형),24B㎡,서울시 동작구 노량진동,1159010100,267-6,서울시 동작구 노량진로 80,37.512829,126.934642,18,0,16,16,435,48,15,천명토건주식회사,HT001,24.14,17.92,74,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,노량진큐브스테이트(도시형),25C,서울시 동작구 노량진동,1159010100,267-6,서울시 동작구 노량진로 80,37.512829,126.934642,18,0,16,16,435,48,15,천명토건주식회사,HT001,25.13,18.65,74,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,더클래식동작(도시형),21A㎡,서울시 동작구 노량진동,1159010100,37-1,서울시 동작구 노량진로8길 55,37.512405,126.938568,272,0,18,18,823,59,181,강남건영(주),HT001,21.75,14.17,65,1,1,80,복도식,,,,,,,,,,,,,,,,,,,,,,
1,더클래식동작(도시형),21B㎡,서울시 동작구 노량진동,1159010100,37-1,서울시 동작구 노량진로8길 55,37.512405,126.938568,272,0,18,18,823,59,181,강남건영(주),HT001,21.85,14.23,65,1,1,64,복도식,,,,,,,,,,,,,,,,,,,,,,
2,더클래식동작(도시형),24㎡,서울시 동작구 노량진동,1159010100,37-1,서울시 동작구 노량진로8길 55,37.512405,126.938568,272,0,18,18,823,59,181,강남건영(주),HT001,24.94,16.25,65,1,1,112,복도식,,,,,,,,,,,,,,,,,,,,,,
3,더클래식동작(도시형),47,서울시 동작구 노량진동,1159010100,37-1,서울시 동작구 노량진로8길 55,37.512405,126.938568,272,0,18,18,823,59,181,강남건영(주),HT001,47.77,31.77,67,1,1,16,복도식,,,,,,,,,,,,,,,,,,,,,,
0,메가스터디타워(도시형),27A㎡,서울시 동작구 노량진동,1159010100,57-1,서울시 동작구 노량진로 140,37.512664,126.941608,299,0,20,20,786,59,172,(주)효성,HT001,27.13,16.01,59,1,1,127,복도식,25650,102600,5130,71820,0,0,0,,,,"1억 7,000","1억 8,500",,"1억 6,000",,,,,,,,
1,메가스터디타워(도시형),27B㎡,서울시 동작구 노량진동,1159010100,57-1,서울시 동작구 노량진로 140,37.512664,126.941608,299,0,20,20,786,59,172,(주)효성,HT001,27.07,15.97,59,1,1,120,복도식,25650,102600,5130,71820,0,0,0,,,,"1억 6,000","1억 8,000","1억 6,000","1억 7,800","1,000/67","1억 5,000/15","1,000/67","1억 5,000/15",,,,
2,메가스터디타워(도시형),27C㎡,서울시 동작구 노량진동,1159010100,57-1,서울시 동작구 노량진로 140,37.512664,126.941608,299,0,20,20,786,59,172,(주)효성,HT001,27.13,16.01,59,1,1,23,복도식,25650,102600,5130,71820,0,0,0,,,,,,,"1억 7,800",,,,,,,,
3,메가스터디타워(도시형),36D㎡,서울시 동작구 노량진동,1159010100,57-1,서울시 동작구 노량진로 140,37.512664,126.941608,299,0,20,20,786,59,172,(주)효성,HT001,36.85,21.74,59,1,1,26,복도식,43350,154710,8670,102690,0,0,0,,,,,,,,,,,,,,,
4,메가스터디타워(도시형),55E,서울시 동작구 노량진동,1159010100,57-1,서울시 동작구 노량진로 140,37.512664,126.941608,299,0,20,20,786,59,172,(주)효성,HT001,55.32,32.64,59,1,1,3,복도식,69900,223740,13980,139860,0,0,0,,,,,,,,,,,,,,,
0,미도빌(도시형),17A㎡,서울시 동작구 노량진동,1159010100,148-5,서울시 동작구 노량진로 184,37.513295,126.9461,70,0,6,5,291,59,6,(주)도은이앤씨,HT001,17.56,13.26,76,1,1,7,계단식,38520,100152,7704,53928,0,0,0,,,,,,,,,,,,,,,
1,미도빌(도시형),17B㎡,서울시 동작구 노량진동,1159010100,148-5,서울시 동작구 노량진로 184,37.513295,126.9461,70,0,6,5,291,59,6,(주)도은이앤씨,HT001,17.73,13.39,76,1,1,7,계단식,39120,101712,7824,54768,0,0,0,,,,,,,,,,,,,,,
2,미도빌(도시형),19A㎡,서울시 동작구 노량진동,1159010100,148-5,서울시 동작구 노량진로 184,37.513295,126.9461,70,0,6,5,291,59,6,(주)도은이앤씨,HT001,19.27,14.56,76,1,1,21,계단식,41460,107796,8292,58044,0,0,0,,,,,,,,,,,,,,,
3,미도빌(도시형),19B㎡,서울시 동작구 노량진동,1159010100,148-5,서울시 동작구 노량진로 184,37.513295,126.9461,70,0,6,5,291,59,6,(주)도은이앤씨,HT001,19.46,14.7,76,1,1,21,계단식,42000,109200,8400,58800,0,0,0,,,,,,,,,,,,,,,
4,미도빌(도시형),19C㎡,서울시 동작구 노량진동,1159010100,148-5,서울시 동작구 노량진로 184,37.513295,126.9461,70,0,6,5,291,59,6,(주)도은이앤씨,HT001,19.63,14.82,75,1,1,7,계단식,42420,110292,8484,59388,0,0,0,,,,,,,,,,,,,,,
5,미도빌(도시형),19D,서울시 동작구 노량진동,1159010100,148-5,서울시 동작구 노량진로 184,37.513295,126.9461,70,0,6,5,291,59,6,(주)도은이앤씨,HT001,19.8,14.96,76,1,1,7,계단식,43020,111852,8604,60228,0,0,0,,,,,,,,,,,,,,,
0,벧엘포줌,47㎡,서울시 동작구 노량진동,1159010100,315-13,서울시 동작구 장승배기로17길 31,37.506563,126.938438,18,0,7,7,288,59,16,(주)진성그린건설,HT001,47.59,40.32,85,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,벧엘포줌,51㎡,서울시 동작구 노량진동,1159010100,315-13,서울시 동작구 장승배기로17길 31,37.506563,126.938438,18,0,7,7,288,59,16,(주)진성그린건설,HT001,51.08,43.27,85,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
2,벧엘포줌,61A㎡,서울시 동작구 노량진동,1159010100,315-13,서울시 동작구 장승배기로17길 31,37.506563,126.938438,18,0,7,7,288,59,16,(주)진성그린건설,HT001,61.44,52.05,85,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,벧엘포줌,63B㎡,서울시 동작구 노량진동,1159010100,315-13,서울시 동작구 장승배기로17길 31,37.506563,126.938438,18,0,7,7,288,59,16,(주)진성그린건설,HT001,63.98,54.21,85,3,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
4,벧엘포줌,75A㎡,서울시 동작구 노량진동,1159010100,315-13,서울시 동작구 장승배기로17길 31,37.506563,126.938438,18,0,7,7,288,59,16,(주)진성그린건설,HT001,75.53,64.01,85,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
5,벧엘포줌,77B㎡,서울시 동작구 노량진동,1159010100,315-13,서울시 동작구 장승배기로17길 31,37.506563,126.938438,18,0,7,7,288,59,16,(주)진성그린건설,HT001,77.03,65.26,85,3,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
6,벧엘포줌,89A㎡,서울시 동작구 노량진동,1159010100,315-13,서울시 동작구 장승배기로17길 31,37.506563,126.938438,18,0,7,7,288,59,16,(주)진성그린건설,HT001,89.66,75.97,85,3,2,3,계단식,,,,,,,,,,,,,,,,,,,,,,
7,벧엘포줌,90B,서울시 동작구 노량진동,1159010100,315-13,서울시 동작구 장승배기로17길 31,37.506563,126.938438,18,0,7,7,288,59,16,(주)진성그린건설,HT001,90.09,76.31,85,3,2,6,계단식,,,,,,,,,,,,,,,,,,,,,,
0,부자의길(도시형),17㎡,서울시 동작구 노량진동,1159010100,218-98,서울시 동작구 만양로11길 10-3,37.508728,126.945564,28,0,4,3,176,58,7,(주)신원개발,HT001,17.38,13.12,75,2,1,12,계단식,,,,,,,,,,,,,,,,,,,,,,
