,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,그린(도시형),18A㎡,서울시 동작구 대방동,1159010800,1,서울시 동작구 등용로 40-2,37.505861,126.934366,26,0,2,2,116,59,10,반석종합건설주식회사,HT001,18.67,12.6,67,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,그린(도시형),18㎡,서울시 동작구 대방동,1159010800,1,서울시 동작구 등용로 40-2,37.505861,126.934366,26,0,2,2,116,59,10,반석종합건설주식회사,HT001,18.11,12.22,67,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
2,그린(도시형),20B㎡,서울시 동작구 대방동,1159010800,1,서울시 동작구 등용로 40-2,37.505861,126.934366,26,0,2,2,116,59,10,반석종합건설주식회사,HT001,20.27,13.67,67,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
3,그린(도시형),22A㎡,서울시 동작구 대방동,1159010800,1,서울시 동작구 등용로 40-2,37.505861,126.934366,26,0,2,2,116,59,10,반석종합건설주식회사,HT001,22.44,15.14,67,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
4,그린(도시형),23C㎡,서울시 동작구 대방동,1159010800,1,서울시 동작구 등용로 40-2,37.505861,126.934366,26,0,2,2,116,59,10,반석종합건설주식회사,HT001,23.8,16.06,67,1,1,12,계단식,,,,,,,,,,,,,,,,,,,,,,
5,그린(도시형),23B㎡,서울시 동작구 대방동,1159010800,1,서울시 동작구 등용로 40-2,37.505861,126.934366,26,0,2,2,116,59,10,반석종합건설주식회사,HT001,23.67,15.97,67,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
6,그린(도시형),28,서울시 동작구 대방동,1159010800,1,서울시 동작구 등용로 40-2,37.505861,126.934366,26,0,2,2,116,59,10,반석종합건설주식회사,HT001,28.94,19.53,67,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
0,그린힐,75㎡,서울시 동작구 대방동,1159010800,381-35,서울시 동작구 여의대방로36길 16,37.504787,126.92359,17,0,5,4,224,50,18,(주)중원종합건설,HT001,75.12,65.43,87,3,1,1,계단식,,,,,,,,,,,,"5억 3,000",,,,,,,,,,
1,그린힐,79㎡,서울시 동작구 대방동,1159010800,381-35,서울시 동작구 여의대방로36길 16,37.504787,126.92359,17,0,5,4,224,50,18,(주)중원종합건설,HT001,79.46,69.21,87,3,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
2,그린힐,85A㎡,서울시 동작구 대방동,1159010800,381-35,서울시 동작구 여의대방로36길 16,37.504787,126.92359,17,0,5,4,224,50,18,(주)중원종합건설,HT001,85.5,74.47,87,3,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
