,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,경남아너스빌,105,서울시 마포구 신수동,1144011100,455,서울시 마포구 창전로2길 42,37.549619,126.933953,90,0,14,6,251,26,102,경남기업(주),HT001,105.87,84.97,80,3,2,90,계단식,568575,1161720,113715,479430,0,0,0,,,,11억,13억,,6억,,,,,,,,
0,대원칸타빌,105A㎡,서울시 마포구 신수동,1144011100,453,서울시 마포구 창전로2길 10,37.548174,126.93366,279,0,19,12,345,23,431,(주)대원,HT001,105.62,84.96,80,3,2,37,계단식,1078200,1891710,215640,597870,0,0,0,,233330,241745,,14억,,,,,,,,,,
1,대원칸타빌,105B㎡,서울시 마포구 신수동,1144011100,453,서울시 마포구 창전로2길 10,37.548174,126.93366,279,0,19,12,345,23,431,(주)대원,HT001,105.65,84.98,80,3,2,29,계단식,1033200,1821960,206640,582120,0,0,0,,233402,241819,,,,,,,,,,,,
2,대원칸타빌,107㎡,서울시 마포구 신수동,1144011100,453,서울시 마포구 창전로2길 10,37.548174,126.93366,279,0,19,12,345,23,431,(주)대원,HT001,107.39,84.87,79,3,2,69,계단식,1078200,1891710,215640,597870,0,0,0,,233091,241498,12억,14억,,,,,,,,,,
3,대원칸타빌,144㎡,서울시 마포구 신수동,1144011100,453,서울시 마포구 창전로2길 10,37.548174,126.93366,279,0,19,12,345,23,431,(주)대원,HT001,144.62,117.18,81,3,2,106,계단식,1263600,2179080,252720,662760,0,0,0,,321826,333432,15억,17억,9억,10억,,,,,,,,
4,대원칸타빌,170,서울시 마포구 신수동,1144011100,453,서울시 마포구 창전로2길 10,37.548174,126.93366,279,0,19,12,345,23,431,(주)대원,HT001,170.38,143.65,84,4,2,38,계단식,1504800,2552940,300960,747180,260064,216720,43344,,394530,408759,,,,11억,,6억/250,,6억/250,,,,
0,마포경남아너스빌,106B㎡,서울시 마포구 신수동,1144011100,456,서울시 마포구 신수로 81,37.549744,126.934365,160,0,12,7,216,25,182,경남기업(주),HT001,106.39,84.95,80,3,2,158,계단식,724500,1411200,144900,541800,0,0,0,,262007,271483,12억,"14억 5,000","6억 2,000","6억 3,000",,3억/140,,3억/140,,,,
1,마포경남아너스빌,106A,서울시 마포구 신수동,1144011100,456,서울시 마포구 신수로 81,37.549744,126.934365,160,0,12,7,216,25,182,경남기업(주),HT001,106.04,84.95,80,3,2,2,계단식,689850,1355760,137970,527940,0,0,0,,262007,271483,,,,,,,,,,,,
0,마포벽산e-솔렌스힐,106B㎡,서울시 마포구 신수동,1144011100,457,서울시 마포구 광성로 28,37.549494,126.93612,94,0,10,9,195,23,111,벽산엔지니어링(주),HT001,106.43,84.96,80,3,2,37,계단식,636300,1270080,127260,506520,0,0,0,,,,11억,12억,,,,,,,,,,
1,마포벽산e-솔렌스힐,108A㎡,서울시 마포구 신수동,1144011100,457,서울시 마포구 광성로 28,37.549494,126.93612,94,0,10,9,195,23,111,벽산엔지니어링(주),HT001,108.17,84.96,79,3,2,38,계단식,647325,1287720,129465,510930,0,0,0,,,,"10억 7,000",14억,,,,,,,,,,
2,마포벽산e-솔렌스힐,108C,서울시 마포구 신수동,1144011100,457,서울시 마포구 광성로 28,37.549494,126.93612,94,0,10,9,195,23,111,벽산엔지니어링(주),HT001,108.16,84.98,79,3,2,19,계단식,647325,1287720,129465,510930,0,0,0,,,,,12억,,,,,,,,,,
0,밤섬경남아너스빌,105A㎡,서울시 마포구 신수동,1144011100,459,서울시 마포구 독막로28길 10,37.546711,126.936204,313,0,25,17,245,15,359,경남기업(주),HT001,105.69,84.83,80,3,2,227,계단식,1173600,2039580,234720,631260,0,0,0,,251640,244853,13억,14억,,,,5억/55,,5억/55,,,,
1,밤섬경남아너스빌,107B,서울시 마포구 신수동,1144011100,459,서울시 마포구 독막로28길 10,37.546711,126.936204,313,0,25,17,245,15,359,경남기업(주),HT001,107.15,84.9,79,3,2,86,계단식,1173600,2039580,234720,631260,0,0,0,,251847,245054,12억,15억,,,,,,,,,,
0,성원,84㎡,서울시 마포구 신수동,1144011100,190,서울시 마포구 독막로28길 7,37.546983,126.937479,260,0,22,11,367,30,262,성원산업개발주식회사,HT001,84.66,59.76,71,3,1,104,복도식,417600,919440,83520,418320,0,0,0,,182424,180889,"9억 2,000","9억 9,000",,,,,,,,,,
1,성원,107㎡,서울시 마포구 신수동,1144011100,190,서울시 마포구 독막로28길 7,37.546983,126.937479,260,0,22,11,367,30,262,성원산업개발주식회사,HT001,107.85,84.96,79,3,2,112,계단식,540225,1116360,108045,468090,0,0,0,,259349,257167,11억,"13억 5,000",,,,,,,,,,
2,성원,140,서울시 마포구 신수동,1144011100,190,서울시 마포구 독막로28길 7,37.546983,126.937479,260,0,22,11,367,30,262,성원산업개발주식회사,HT001,140.6,114.78,82,4,2,44,계단식,691425,1358280,138285,528570,0,0,0,,350378,347430,,15억,,"7억 5,000","2억 5,000/190","5억 5,000/90","2억 5,000/190","5억 5,000/90",,,,
0,세양청마루,79㎡,서울시 마포구 신수동,1144011100,451,서울시 마포구 독막로 209,37.547995,126.936695,192,0,15,9,214,19,209,세양건설산업(주),HT001,79.23,57.44,72,2,2,78,복도식,423675,929880,84735,421470,0,0,0,,170133,166663,"8억 6,000","9억 4,000",,"5억 5,000",,,,,,,,
1,세양청마루,105㎡,서울시 마포구 신수동,1144011100,451,서울시 마포구 독막로 209,37.547995,126.936695,192,0,15,9,214,19,209,세양건설산업(주),HT001,105.08,82.86,79,3,2,84,계단식,584325,1186920,116865,485730,0,0,0,,245425,240419,,,,,,,,,,,,
2,세양청마루,140,서울시 마포구 신수동,1144011100,451,서울시 마포구 독막로 209,37.547995,126.936695,192,0,15,9,214,19,209,세양건설산업(주),HT001,140.86,111.88,79,4,2,30,계단식,696150,1365840,139230,530460,0,0,0,,331380,324621,,,,,,,,,,,,
0,신수르끌레브,34㎡,서울시 마포구 신수동,1144011100,400-1,서울시 마포구 토정로17길 6,37.544877,126.935943,27,0,7,7,199,39,22,(주)도시이엔씨종합건설,HT001,34.01,26.87,79,2,1,1,계단식,,,,,,,,,,,,"5억 3,000",,3억,,,,,,,,
1,신수르끌레브,39㎡,서울시 마포구 신수동,1144011100,400-1,서울시 마포구 토정로17길 6,37.544877,126.935943,27,0,7,7,199,39,22,(주)도시이엔씨종합건설,HT001,39.63,31.24,79,2,1,1,계단식,,,,,,,,,,,,"6억 3,000",,"3억 5,000",,,,,,,,
2,신수르끌레브,40A㎡,서울시 마포구 신수동,1144011100,400-1,서울시 마포구 토정로17길 6,37.544877,126.935943,27,0,7,7,199,39,22,(주)도시이엔씨종합건설,HT001,40.47,32.22,80,2,1,1,계단식,,,,,,,,,,,,"7억 5,000",,,,"2억 5,000/80",,"2억 5,000/80",,,,
3,신수르끌레브,40B㎡,서울시 마포구 신수동,1144011100,400-1,서울시 마포구 토정로17길 6,37.544877,126.935943,27,0,7,7,199,39,22,(주)도시이엔씨종합건설,HT001,40.96,32.67,80,2,1,1,계단식,,,,,,,,,,,,,,"4억 5,000",,,,,,,,
4,신수르끌레브,41C㎡,서울시 마포구 신수동,1144011100,400-1,서울시 마포구 토정로17길 6,37.544877,126.935943,27,0,7,7,199,39,22,(주)도시이엔씨종합건설,HT001,41.02,32.82,80,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
5,신수르끌레브,42D㎡,서울시 마포구 신수동,1144011100,400-1,서울시 마포구 토정로17길 6,37.544877,126.935943,27,0,7,7,199,39,22,(주)도시이엔씨종합건설,HT001,42.11,33.62,80,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
