,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,KCC엠파이어리버(주상복합),163A㎡,서울시 마포구 합정동,1144012200,381-16,서울시 마포구 양화로 26,37.54841,126.912087,70,0,25,25,966,57,105,(주)케이씨씨건설,HT001,163.11,140.88,86,3,2,18,계단식,,,,,,,,,,,15억,"17억 5,000",,12억,,,,,,,,
1,KCC엠파이어리버(주상복합),168B㎡,서울시 마포구 합정동,1144012200,381-16,서울시 마포구 양화로 26,37.54841,126.912087,70,0,25,25,966,57,105,(주)케이씨씨건설,HT001,168.25,145.33,86,3,2,17,계단식,,,,,,,,,,,"16억 5,000",18억,,"11억 5,000",,1억/450,,1억/450,,,,
2,KCC엠파이어리버(주상복합),168C㎡,서울시 마포구 합정동,1144012200,381-16,서울시 마포구 양화로 26,37.54841,126.912087,70,0,25,25,966,57,105,(주)케이씨씨건설,HT001,168.48,145.53,86,3,2,17,계단식,,,,,,,,,,,,"17억 5,000",,"11억 5,000",1억/650,9억/100,1억/650,9억/100,,,,
3,KCC엠파이어리버(주상복합),180D,서울시 마포구 합정동,1144012200,381-16,서울시 마포구 양화로 26,37.54841,126.912087,70,0,25,25,966,57,105,(주)케이씨씨건설,HT001,180.75,156.13,86,4,2,18,계단식,,,,,,,,,,,,,,,,,,,,,,
0,그레이스,58㎡,서울시 마포구 합정동,1144012200,375-2,서울시 마포구 양화진길 11,37.548015,126.912944,18,0,7,7,296,53,17,(주)그레이스종합건설,HT001,58.29,52.34,90,2,1,1,계단식,100500,303300,20100,182700,0,0,0,,,,,,,,,,,,,,,
1,그레이스,63㎡,서울시 마포구 합정동,1144012200,375-2,서울시 마포구 양화진길 11,37.548015,126.912944,18,0,7,7,296,53,17,(주)그레이스종합건설,HT001,63.33,56.86,90,2,1,1,계단식,109500,326700,21900,195300,0,0,0,,,,,,,,,,,,,,,
2,그레이스,78㎡,서울시 마포구 합정동,1144012200,375-2,서울시 마포구 양화진길 11,37.548015,126.912944,18,0,7,7,296,53,17,(주)그레이스종합건설,HT001,78.19,70.21,90,2,1,1,계단식,160200,430380,32040,238140,0,0,0,,,,,,,,,,,,,,,
3,그레이스,81A㎡,서울시 마포구 합정동,1144012200,375-2,서울시 마포구 양화진길 11,37.548015,126.912944,18,0,7,7,296,53,17,(주)그레이스종합건설,HT001,81.93,73.57,90,2,1,1,계단식,171900,452610,34380,246330,0,0,0,,,,,,,,,,,,,,,
4,그레이스,84B㎡,서울시 마포구 합정동,1144012200,375-2,서울시 마포구 양화진길 11,37.548015,126.912944,18,0,7,7,296,53,17,(주)그레이스종합건설,HT001,84.16,75.56,90,2,1,3,계단식,178200,464580,35640,250740,0,0,0,,,,,,,,,,,,,,,
5,그레이스,85A㎡,서울시 마포구 합정동,1144012200,375-2,서울시 마포구 양화진길 11,37.548015,126.912944,18,0,7,7,296,53,17,(주)그레이스종합건설,HT001,85.22,76.52,90,3,2,6,계단식,178200,464580,35640,250740,0,0,0,,,,,,,,,,,,,,,
