,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,금호어울림,80㎡,서울시 성동구 마장동,1120010500,820,서울시 성동구 마조로 57,37.562979,127.040855,367,0,24,18,280,18,470,금호산업(주),HT001,80.45,59.97,75,3,1,37,계단식,342900,777510,68580,366030,0,0,0,,146335,146819,,10억,,,,2억/170,,2억/170,,,,
1,금호어울림,96㎡,서울시 성동구 마장동,1120010500,820,서울시 성동구 마조로 57,37.562979,127.040855,367,0,24,18,280,18,470,금호산업(주),HT001,96.29,74.46,77,3,2,24,계단식,548100,1128960,109620,471240,0,0,0,,181693,182294,,,,,,,,,,,,
2,금호어울림,106B㎡,서울시 성동구 마장동,1120010500,820,서울시 성동구 마조로 57,37.562979,127.040855,367,0,24,18,280,18,470,금호산업(주),HT001,106.66,83.65,78,3,2,1,계단식,727650,1416240,145530,543060,0,0,0,,204118,204793,,,,,,,,,,,,
3,금호어울림,107A㎡,서울시 성동구 마장동,1120010500,820,서울시 성동구 마조로 57,37.562979,127.040855,367,0,24,18,280,18,470,금호산업(주),HT001,107.68,84.97,79,3,2,221,계단식,1009800,1785690,201960,573930,0,0,0,,207339,208024,13억,14억,,"6억 3,000",,3억/170,,3억/170,,,,
4,금호어울림,123㎡,서울시 성동구 마장동,1120010500,820,서울시 성동구 마조로 57,37.562979,127.040855,367,0,24,18,280,18,470,금호산업(주),HT001,123.84,101.96,82,3,2,1,계단식,1009800,1785690,201960,573930,0,0,0,,248797,249620,,,,,,,,,,,,
5,금호어울림,136B㎡,서울시 성동구 마장동,1120010500,820,서울시 성동구 마조로 57,37.562979,127.040855,367,0,24,18,280,18,470,금호산업(주),HT001,136.35,114.97,84,4,2,1,계단식,1116000,1950300,223200,611100,0,0,0,,280543,281470,,,,,,,,,,,,
6,금호어울림,137A,서울시 성동구 마장동,1120010500,820,서울시 성동구 마조로 57,37.562979,127.040855,367,0,24,18,280,18,470,금호산업(주),HT001,137.75,114.97,83,4,2,82,계단식,1152000,2006100,230400,623700,0,0,0,,280543,281470,14억,17억,,,,5억/160,,5억/160,,,,
0,대성유니드,77㎡,서울시 성동구 마장동,1120010500,825,서울시 성동구 마장로37길 7,37.56704,127.03838,248,0,22,20,241,15,280,대성산업(주),HT001,77.27,59.7,77,3,2,100,계단식,410400,905760,82080,413280,0,0,0,,163131,168802,9억,"9억 5,000",,5억,,,,,,,,
1,대성유니드,104㎡,서울시 성동구 마장동,1120010500,825,서울시 성동구 마장로37길 7,37.56704,127.03838,248,0,22,20,241,15,280,대성산업(주),HT001,104.61,84.71,81,3,2,104,계단식,581175,1181880,116235,484470,0,0,0,,231471,239519,,"12억 2,000",,,,"4억 5,000/22",,"4억 5,000/22",,,,
2,대성유니드,134,서울시 성동구 마장동,1120010500,825,서울시 성동구 마장로37길 7,37.56704,127.03838,248,0,22,20,241,15,280,대성산업(주),HT001,134.9,114.52,85,4,2,44,계단식,686700,1350720,137340,526680,0,0,0,,312927,323807,,13억,,7억,,,,,,,,
