,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,가온팰리스(도시형),35㎡,서울시 성북구 정릉동,1129013300,206-101,서울시 성북구 보국문로8나길 24-3,37.608735,127.012529,38,0,5,4,199,58,30,(주)반석,HT001,35.77,29.19,82,1,1,6,계단식,,,,,,,,,,,,"2억 2,000",,,,,,,,,,
1,가온팰리스(도시형),43㎡,서울시 성북구 정릉동,1129013300,206-101,서울시 성북구 보국문로8나길 24-3,37.608735,127.012529,38,0,5,4,199,58,30,(주)반석,HT001,43.1,37.33,87,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,가온팰리스(도시형),46㎡,서울시 성북구 정릉동,1129013300,206-101,서울시 성북구 보국문로8나길 24-3,37.608735,127.012529,38,0,5,4,199,58,30,(주)반석,HT001,46.45,40.28,87,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,가온팰리스(도시형),48A㎡,서울시 성북구 정릉동,1129013300,206-101,서울시 성북구 보국문로8나길 24-3,37.608735,127.012529,38,0,5,4,199,58,30,(주)반석,HT001,48.14,39.46,82,2,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
4,가온팰리스(도시형),48B㎡,서울시 성북구 정릉동,1129013300,206-101,서울시 성북구 보국문로8나길 24-3,37.608735,127.012529,38,0,5,4,199,58,30,(주)반석,HT001,48.47,39.73,82,2,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
5,가온팰리스(도시형),48C㎡,서울시 성북구 정릉동,1129013300,206-101,서울시 성북구 보국문로8나길 24-3,37.608735,127.012529,38,0,5,4,199,58,30,(주)반석,HT001,48.93,39.93,82,2,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
6,가온팰리스(도시형),48E㎡,서울시 성북구 정릉동,1129013300,206-101,서울시 성북구 보국문로8나길 24-3,37.608735,127.012529,38,0,5,4,199,58,30,(주)반석,HT001,48.24,41.83,87,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
7,가온팰리스(도시형),50D㎡,서울시 성북구 정릉동,1129013300,206-101,서울시 성북구 보국문로8나길 24-3,37.608735,127.012529,38,0,5,4,199,58,30,(주)반석,HT001,50.1,40.89,82,2,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
8,가온팰리스(도시형),52㎡,서울시 성북구 정릉동,1129013300,206-101,서울시 성북구 보국문로8나길 24-3,37.608735,127.012529,38,0,5,4,199,58,30,(주)반석,HT001,52.69,45.64,87,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
9,가온팰리스(도시형),65C㎡,서울시 성북구 정릉동,1129013300,206-101,서울시 성북구 보국문로8나길 24-3,37.608735,127.012529,38,0,5,4,199,58,30,(주)반석,HT001,65.07,56.42,87,3,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
10,가온팰리스(도시형),65D㎡,서울시 성북구 정릉동,1129013300,206-101,서울시 성북구 보국문로8나길 24-3,37.608735,127.012529,38,0,5,4,199,58,30,(주)반석,HT001,65.26,56.52,87,3,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
11,가온팰리스(도시형),65E㎡,서울시 성북구 정릉동,1129013300,206-101,서울시 성북구 보국문로8나길 24-3,37.608735,127.012529,38,0,5,4,199,58,30,(주)반석,HT001,65.59,56.81,87,3,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
12,가온팰리스(도시형),66A㎡,서울시 성북구 정릉동,1129013300,206-101,서울시 성북구 보국문로8나길 24-3,37.608735,127.012529,38,0,5,4,199,58,30,(주)반석,HT001,66.62,54.37,82,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
13,가온팰리스(도시형),66B㎡,서울시 성북구 정릉동,1129013300,206-101,서울시 성북구 보국문로8나길 24-3,37.608735,127.012529,38,0,5,4,199,58,30,(주)반석,HT001,66.67,54.41,82,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
14,가온팰리스(도시형),67F㎡,서울시 성북구 정릉동,1129013300,206-101,서울시 성북구 보국문로8나길 24-3,37.608735,127.012529,38,0,5,4,199,58,30,(주)반석,HT001,67.32,58.37,87,3,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
15,가온팰리스(도시형),69㎡,서울시 성북구 정릉동,1129013300,206-101,서울시 성북구 보국문로8나길 24-3,37.608735,127.012529,38,0,5,4,199,58,30,(주)반석,HT001,69.57,57.03,82,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
16,가온팰리스(도시형),71,서울시 성북구 정릉동,1129013300,206-101,서울시 성북구 보국문로8나길 24-3,37.608735,127.012529,38,0,5,4,199,58,30,(주)반석,HT001,71.19,58.36,82,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,갤럭시더정릉(도시형),19B㎡,서울시 성북구 정릉동,1129013300,150-27,서울시 성북구 정릉로 262,37.603704,127.01223,72,0,15,10,347,46,36,(주)은하주택건설,HT001,19.93,12.33,62,1,1,16,복도식,,,,,,,,,,,,,,,,,,,,,,
1,갤럭시더정릉(도시형),19A㎡,서울시 성북구 정릉동,1129013300,150-27,서울시 성북구 정릉로 262,37.603704,127.01223,72,0,15,10,347,46,36,(주)은하주택건설,HT001,19.05,11.79,62,1,1,8,복도식,,,,,,,,,,,,,,,,,,,,,,
2,갤럭시더정릉(도시형),19A㎡,서울시 성북구 정릉동,1129013300,150-27,서울시 성북구 정릉로 262,37.603704,127.01223,72,0,15,10,347,46,36,(주)은하주택건설,HT001,19.91,12.32,62,1,1,8,복도식,,,,,,,,,,,,,,,,,,,,,,
3,갤럭시더정릉(도시형),19B㎡,서울시 성북구 정릉동,1129013300,150-27,서울시 성북구 정릉로 262,37.603704,127.01223,72,0,15,10,347,46,36,(주)은하주택건설,HT001,19.39,12,62,1,1,8,복도식,,,,,,,,,,,,,,,,,,,,,,
4,갤럭시더정릉(도시형),20C㎡,서울시 성북구 정릉동,1129013300,150-27,서울시 성북구 정릉로 262,37.603704,127.01223,72,0,15,10,347,46,36,(주)은하주택건설,HT001,20.76,12.85,62,1,1,24,복도식,,,,,,,,,,,,"1억 9,300",,,,,,,,,,
5,갤럭시더정릉(도시형),23,서울시 성북구 정릉동,1129013300,150-27,서울시 성북구 정릉로 262,37.603704,127.01223,72,0,15,10,347,46,36,(주)은하주택건설,HT001,23.73,14.91,63,1,1,8,복도식,,,,,,,,,,,,,,,,,,,,,,
